Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Mustela,Mustela Arnica Gel,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
: AQUA/WATER/EAU, GLYCERIN, ARNICA MONTANA FLOWER EXTRACT, SCLEROTIUM GUM, SODIUM BENZOATE, CITRIC ACID, POTASSIUM SORBATE, CALENDULA OFFICINALIS FLOWER EXTRACT
Warnings from packaging:
Do not use on wounds or damaged
skin. Do not ingest. Do not apply to
mucuous membranes or the eye area.
Do not use in cases of sensitivty to
Arnica or the Asteraceae plant family.
Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Noleo,NOLEO 3-in-1 Diaper Care,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water, Organic helianthus annuus (sunflower) seed oil, Glyceryl stearate, Organic olea europaea (olive) fruit oil, Beeswax, Calcium hydroxide
Warnings from packaging:
For external use only. Keep out of reach of children. Avoid contact with eyes. Do not apply to broken skin. Discontinue use and consult a physician if you experience an allergic reaction. Keep away from heat","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Baby Organic Ground Squ Squ Lotion,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Caprylic/Capric Triglyceride, Camellia Sinensis Leaf, Butyrospermum Parkii (Shea) Butter, Salvia Hispanica Seed Oil, Cetyl Palmitate, Sclerotium Gum, Arachidyl Alcohol, Sorbitan Olivate, Sorbitan Palmitate, Behenyl Alcohol, Olea Europaea (Olive) Fruit Oil, Arachidyl Glucoside, Squalane, Persea Gratissima (Avocado) Oil, Calendula Officinalis Flower Extract, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Iris Florentina Root Extract, Vegetable Oil, Argania Spinosa Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Citric Acid, Glucose, Propanediol, Ceramide NP, Phytosphingosine, Glyceryl Caprylate, Centella Asiatica Extract
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously.
A) Symptoms such as red spots, swelling, itching or irritation during the use.
B) The above symptoms on the applied part due to direct sunlight.
2. Do not use the product on the part with a scar, eczema or dermatitis.
3. Precautions at Storage & Handling.
A) Close the cover after use.
B) Keep out of reach of the children.
C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,"ATTITUDE Baby Leaves Body Lotion, Pear Nectar",EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Aqua / water / eau, glycerin, persea gratissima (avocado) oil, butyrospermum parkii (shea) butter, dicaprylyl ether, tapioca starch, propanediol dicaprylate / caprate, isoamyl laurate, glyceryl stearate, polyglyceryl-2 stearate, stearyl alcohol, levulinic acid, p-anisic acid, sodium levulinate, citric acid, xanthan gum, vaccinium angustifolium (blueberry / bleuet) leaf extract, moringa oleifera seed extract, maltodextrin, gamma-undecalactone (sweet fruit), ethyl acetate (pear).
Warnings from packaging:
FOR EXTERNAL USE ONLY.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Bare Nuhcessities,Bare Nuhcessities Bare Barrier Baby Balm,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Corylus Avellana (Hazelnut) Seed Oil, Olea Europaea (Olive) Husk Oil, Beeswax, Euphorbia Cerifera (Candelilla) Wax, Butyrospermum Parkii (Shea) Butter, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter, Glycine Soja (Soybean) Oil, Linoleic Acid, Allantoin, Niacinamide, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Boswellia Carterii Oil (Frankincense oil), Dicaprylyl Ether, Anthemis Nobilis Flower Oil (Chamomile oil), Magnolia Grandiflora Bark Extract, Lauryl Alcohol, Linolenic Acid
Warnings from packaging:
Patch test and discontinue use if irritation occurs.","EWG Verified,Product's animal testing policies,Unknown"
Pipette,Pipette Baby Lotion with Calming Aroma,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Squalane, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Punica Granatum Sterols, Ceramide NP, Rosa Damascena Extract, Pelargonium Graveolens Flower Oil, Sodium Carbomer, Sodium Benzoate, Pogostemon Cablin Leaf Oil, Potassium Sorbate, Triethyl Citrate, Phenethyl Alcohol, Sodium Dehydroacetate, Phytic Acid.
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
EllaOla,EllaOla Soothing Baby Face Cream,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water (Aqua), Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Cocos Nucifera (Coconut) Oil, Squalane, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Dimethicone, Glyceryl Stearate, Glyceryl Stearate Citrate, Glyceryl Caprylate, Laminaria Ochroleuca Extract, Kappaphycus Alvarezii Extract, Vitis Vinifera (Grape) Seed Oil, Cocos Nucifera (Coconut) Water, Ceramide NP, Panthenol, Inulin, Helianthus Annuus (Sunflower) Seed Oil, Hydroxyethylcellulose, Caesalpinia Spinosa Fruit Extract, Trehalose, Maltodextrin, Cetearyl Glucoside, Sodium Phytate, Sodium Citrate, Potassium Cetyl Phosphate, Caprylhydroxamic Acid, Arginine, Carbomer, Sodium Hydroxide, Citric Acid
Warnings from packaging:
For external use only. Avoid contact with eyes. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Rainbow Baby,Rainbow Baby SRST Extra Moisturizing & Repairing Cream,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
AQUA, HYDROGENATED COCO-GLYCERIDES, PETROLATUM, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, GLYCERYL STEARATE, CYCLOPENTASILOXANE, CETEARYL ALCOHOL, DIMETHICONE, BEHENETH-25, BUTYROSPERMUM PARKII (SHEA BUTTER), GLYCERYL GLUCOSIDE, PHYTOSTERYL OLEATE, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, BETA-GLUCAN, CAMELLIA JAPONICA SEED OIL, CERAMIDE 3, PHYTOSPHINGOSINE, HYDROGENATED LECITHIN, HYDROLYZED CORNPROTEIN,PAEONIA SUFFRUTICOSA ROOT EXTRACT, HYDROLYZED GINSENG SAPONINS, CISTANCHE DESERTICOLA EXTRACT, PORIA COCOS EXTRACT, TOCOPHEROL, CETEARYL OLIVATE, CARBOMER, SORBITAN OLIVATE, DIMETHICONOL, BUTYLENE GLYCOL, PENTYLENE GLYCOL, TROMETHAMINE,XANTHAN GUM, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, BENZOTRIAZOLYL DODECYL p-CRESOL, HYDROXYPHENYL PROPAMIDOBENZOIC ACID, CAPRYLYL GLYCOL, 1,2-HEXANEDIOL, ETHYLHEXYLGLYCERIN, HYDROXYACETOPHENONE.
Warnings from packaging:
Precautions: Use under adult supervision. If you feel unwell, please suspend use.","EWG Verified,Product's animal testing policies,Unknown"
Baja Baby,Baja Baby Unscented Body Lotion,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Glacial Water (Aqua), Organic Avocado (Persea Gratissima) Oil, Organic Grape (Vitis Vinifera) Seed Oil, Organic Sweet Almond (Prunus Amygdalus Dulcis) Oil, Stearic Acid, Organic Glycerine, Cetearyl Alcohol, Isopropyl Myristate, Euphorbia Cerifera (Candelilla) Wax, Shea Butter (Butyrospermum Parkii), Pro-Vitamin B5 (Panthenol), Allantoin, Glucose, Glucose Oxidase, Lactoperoxidase.
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Ora&#39;s Amazing Herbal,Ora's Amazing Herbal Newborn Salve,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Vitis vinifera (Grapeseed Oil Non-GMO), Infused with *Calendula officinalis (Calendula), and *Glycyrrhiza glabra (Licorice Root), Ricinus communis (Castor) Oil, Beeswax, and Tocopherol (Vitamin E Non-GMO).","EWG Verified,Product's animal testing policies,Unknown"
