Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Adorable Baby,Adorable Baby Natural Baby Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata Seed (Baobab) Oil, Tocopherol.
Warnings from packaging:
For external use only, Stop use if irritation occurs.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Proudly,Proudly Nourishing Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina (Rose Hip) Seed Oil, Squalane, Tocopherol
Directions from packaging:
Nourish your littlest love's skin with the perfect silky-smooth premium oil to layer and lock-in moisture when they need it most.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Pipette,Pipette Baby Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Squalane, Caprylic/Capric Triglyceride, Euterpe Oleracea Sterols, Ceramide NP, Linoleic Acid, Oleic Acid, Linolenic Acid, Lecithin, Tocopherol
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Baby Organic Ground Squ Squ Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Squalane, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Salvia Hispanica Seed Oil*
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously.
A) Symptoms such as red spots, swelling, itching or irritation during the use.
B) The above symptoms on the applied part due to direct sunlight.
2. Do not use the product on the part with a scar, eczema or dermatitis.
3. Precautions at Storage & Handling.
A) Close the cover after use.
B) Keep out of reach of the children.
C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
vivvi &amp; bloom,vivvi & bloom Baby 2-in-1 Scalp and Body Massage Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, [[DISCLOSED FRAGRANCE]]**, Lecithin, Ascorbyl Palmitate, Tocopherol
**COMPONENTS: DIHYDRO MYRCENOL, FLOROSA, HEDIONE, HELVETOLIDE, OCTALACTONE GAMMA, PEACH PURE, PRUNOLIDE, TRIETHYL CITRATE","EWG Verified,Product's animal testing policies,PETA: Companies That Do Test on Animals"
Qet Botanicals,Qet Botanicals Lite Garden Serum for Body,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Vitis Vinifera (Grape) Seed Oil*, Helianthus Annus (Sunflower) Seed Oil*, Olea Europaea (Olive) Fruit Oil*, Brassica Oleracea (Broccoli) Seed Oil, Lavandula Angustifolia (Lavender) Flower Oil*, Tocopherol (Non-GMO Vitamin E), Rosmarinus Officinalis (Rosemary) Flower Oil*, Jasminum Sambac (Jasmine) Flower Oil, Daucus Carota (Carrot) Seed Oil*, Vanilla Planifolia (Madagascar Vanilla) Bean Oil*, Pelargonium Graveolens (Geranium) Flower Oil*. *Organic Ingredient
Warnings from packaging:
If you have a negative reaction, discontinue use and consult with a health professional.","EWG Verified,Product's animal testing policies,Unknown"
Evereden,Evereden Soothing Baby Massage Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cocos Nucifera (Coconut) Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil
Warnings from packaging:
N/A","EWG Verified,Product's animal testing policies,Unknown"
EllaOla,EllaOla Baby Massage Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, Argania Spinosa Kernel Oil
Warnings from packaging:
External use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
,"Green People Organic Babies Nuturing Baby Oil, Scent Free",01,Baby Oil,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL*, SESAMUM INDICUM (SESAME) SEED OIL*F, OENOTHERA BIENNIS (EVENING PRIMROSE) SEED OIL*, ROSA CANINA (ROSEHIP) FRUIT OIL*, SAMBUCUS NIGRA (ELDERFLOWER) SEED OIL*, PUNICA GRANATUM (POMEGRANATE) SEED OIL*.","Product's animal testing policies,Unknown"
,Wishgarden Herbs Oh Baby! Oil,01,Baby Oil,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Calendula flower(Calendula officinalis), Chamomile leaf(Matricaria recutita, M. chamomilla), Elder flower(Sambucus nigra), Vitamin E Oil, Almond Oil, Lavender Essential Oil","Product's animal testing policies,Unknown"
