Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Nature&#39;s Baby Organics,"Nature's Baby Organics Silky Dusting Powder, Fragrance Free",01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Organic Tapioca Starch, Organic Aloe Barbadensis Leaf Juice, Organic Echinacea Angustifolia Extract, Organic Chamomilla Recutita (Matricaria) Flower Extract","Product's animal testing policies,PETA Cruelty-free Companies"
,MOMin Greenicare Organic Baby Dusting Powder,01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Organic Chamomile Extract, Organic Cornstarch, Organic Calendula Extract, Mixed Tocopherols","Product's animal testing policies,Unknown"
Rainwater Botanicals,"Rainwater Botanicals Baby Powder, Slippery Elm & Chamomile",01,Baby Powder,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
Organic Arrowroot Powder, Organic Slippery Elm, Kaolin Clay, Zinc Oxide(non nano), Essential oils of Chamomile and Lavender","Product's animal testing policies,Unknown"
Primally Pure,Primally Pure Baby Powder,01,Baby Powder,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Kaolin Clay, Arrowroot Powder*, Lavender Flower*, Chamomile Flower*, Calendula Flower*","Product's animal testing policies,Unknown"
Be Green Bath &amp; Body,Be Green Bath & Body Baby Powder,01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Maranta Arundinaceae (Arrowroot) powder, Zea Mays (Corn) Starch, Lavandula Officinalis (Lavender) Flower Powder*, Chamomilla Recutita (Matricaria) Flower Powder*.","Product's animal testing policies,PETA Cruelty-free Companies"
Ora&#39;s Amazing Herbal,"Ora's Amazing Herbal Baby Powder, Vanilla Amber",01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Kaolin Clay Powder, Maranta arundinacea (Arrowroot) Powder, Sodium Bicarbonate (Baking Soda), *Plantago major (Plantain) leaf Powder, and Essential Oils (resins of) Vanilla planifolia (Vanilla Oleoresin) and Pinus succinifera (Amber Resin). *Organic","Product's animal testing policies,Unknown"
Wild Carrot Herbals,"Wild Carrot Herbals, Botanical Baby Powder, Flower fresh",01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
MARANTA ARUNDINACEA (ARROWROOT) POWDER, SODIUM BICARBONATE (BAKING SODA), KAOLIN (CLAY), ALTHAEA OFFICINALIS (MARSHMALLOW) ROOT POWDER*, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL*, CITRUS RETICULATA (MANDARIN) OIL*, ANTHEMIS NOBILIS (CHAMOMILE) OIL*.","Product's animal testing policies,Unknown"
Herbaliz,"Herbaliz Herbal Silk Baby Powder, Lavender & Chamomile",01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Zea Mays (Corn) Starch*, Maranta Arundinacea (Arrowroot)*, Sodium Bicarbonate, Kaolin Clay, Iris Germanica (Orris) Root Powder*, Lavandula Angustifolia (Lavender) Oil*, Anthemis Nobilis (Chamomile) Flower Oil. *Certified Organic
Warnings from packaging:
Keep out of eyes, nose and mouth. Not for internal use. Do not inhale powder. Use within 1 year of purchase.","Product's animal testing policies,PETA Cruelty-free Companies"
made of,made of Calming Baby Powder,01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Kaolin Clay, Non-GMO Tocopherol, Organic Aloe Barbadensis (Aloe Vera), Organic Argania Spinosa (Argan) Oil, Organic Maranta Arundinacea (Arrowroot) Powder, Organic Zea Mays (Corn) Starch, Sodium Bicarbonate","Product's animal testing policies,Unknown"
Herbaliz,"Herbaliz Herbal Silk Baby Powder, Unscented",01,Baby Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Zea Mays (Corn) Starch*, Maranta Arundinacea (Arrowroot)*, Sodium Bicarbonate, Kaolin Clay, Iris Germanica (Orris)*. *Certified Organic
Warnings from packaging:
Keep out of eyes, nose and mouth. Not for internal use. Do not inhale powder. Use within 1 year of purchase.","Product's animal testing policies,PETA Cruelty-free Companies"
