Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Mustela,"Mustela No-Rinse Soothing Cleansing Water, Fragrance Free",EWG Verified,Baby Soap,,,,,"Ingredients from packaging:
AQUA/WATER/EAU, GLYCERIN, CAPRYLYL/CAPRYL GLUCOSIDE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, SODIUM BENZOATE, CITRIC ACID, MALTODEXTRIN*, SACCHARIDE HYDROLYSATE*, SODIUM HYDROXIDE, LECITHIN, PERSEA GRATISSIMA (AVOCADO) FRUIT EXTRACT, TOCOPHEROL.","EWG Verified,Product's animal testing policies,Unknown"
Mustela,"Mustela Baby-Child Micellar Water with Olive Oil and Aloe, Fragrance Free",EWG Verified,Baby Soap,,,,,"Ingredients from packaging:
ALOE BARBADENSIS (ALOE VERA) LEAF JUICE*, WATER, GLYCERIN, CAPRYLYL/CAPRYL GLUCOSIDE, SODIUM BENZOATE, POTASSIUM SORBATE, CITRIC ACID, OLEA EUROPAEA (OLIVE) FRUIT OIL*","EWG Verified,Product's animal testing policies,Unknown"
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Soap, Baby Unscented",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sea Salt, Citric Acid, Tocopherol","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Dr. Bronner&#39;s,"Dr. Bronner's 4-in-1 Organic Sugar Soap, Baby Unscented",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Sucrose, Vitis Vinifera (Grape) Juice, Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Kernel Oil, Potassium Hydroxide, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Acacia Concinna (Shikakai) Fruit Powder, Citric Acid, Tocopherol
Warnings from packaging:
CAUTION! Keep out of eyes: wash with water 15 min. and consult a physician if irritation persists. DO NOT REFILL with Dr. Bronner's 18-in-1 Pure-Castile Liquid Soaps, which can clog the dispenser and spurt soap. In this formula, the shikakai extracted in organic natural sugars also keeps th epump from clogging. Don't drink soap!","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
made of,"Made Of Baby Hand Soap, Fragrance Free",EWG Verified,Baby Soap,,,,,"Ingredients from packaging:
aqua, helianthus annuus (sunflower) seed oil*, cocos nucifera (coconut) oil*, potassium hydroxide, glycerin*, ricinus communis (castor) seed oil*, aloe barbadensis leaf juice*, tocopherol, rosmarinus officinalis (rosemary) extract","EWG Verified,Product's animal testing policies,Unknown"
La Petite Creme,La Petite Creme Organic Diapering Lotion,EWG Verified,Baby Soap,,,,,"Ingredients from packaging:
Organic Olea Europaea Fruit (Olive) Oil, Water, Organic Glycerin, Organic Beeswax, Tocopherols (Vitamin E), Calcium Hydroxide (Limestone).
Warnings from packaging:
For external use on unbroken skin. Keep out of reach of children. Avoid contact with eyes. Store at room temperature 59-77F (15-25C). Best if used before date shown below. Safety of this product has not been determined by FDA-approved laboratory testing.","EWG Verified,Product's animal testing policies,Unknown"
vivvi &amp; bloom,"vivvi & bloom Baby 2-in-1 Wash and Shampoo, Cleansing Gel, Fragrance Free",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Water, Coco-Glucoside, Glycerin, Sodium Cocoyl Glutamate, Cocamidopropyl Betaine, Xanthan Gum, Citric Acid, Sodium Benzoate, Caprylyl Glycol, Carrageenan, Glyceryl Oleate, Butyrospermum Parkii (Shea) Butter","EWG Verified,Product's animal testing policies,PETA: Companies That Do Test on Animals"
Noleo,NOLEO 3-in-1 Diaper Care,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water, Organic helianthus annuus (sunflower) seed oil, Glyceryl stearate, Organic olea europaea (olive) fruit oil, Beeswax, Calcium hydroxide
Warnings from packaging:
For external use only. Keep out of reach of children. Avoid contact with eyes. Do not apply to broken skin. Discontinue use and consult a physician if you experience an allergic reaction. Keep away from heat","EWG Verified,Product's animal testing policies,Unknown"
Pipette,"Pipette Baby Shampoo & Wash, Fragrance Free",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Decyl Glucoside, Sodium Lauroyl Lactylate, Glycerin, Coco-Glucoside, Glycolipids, Squalane, Citric Acid, Magnesium Chloride, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Sodium Dehydroacetate, Sodium Gluconate.
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
thinkbaby,"Thinkbaby Shampoo & Body Wash, Chlorine Remover",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Purified Water, Cocamidopropyl Hydroxysultaine, Sodium Methyl 2-Sulfolaurate (&) Disodium 2-Sulfolaurate, Aloe Barbadensis Leaf Juice, Glycerin, Caprylyl Glycol, Starch Hydroxypropyltrimonium Chloride, Carica PAPAYA fruit extract, Sodium Phytate, Panthenol, Allantoin, Chamomile Recutita (Matricaria) Flower Extract, Camellia Sinensis (Green Tea) Extract, Calendula Officinalis Flower Extract, Arnica Montana extract, Beta Glucan, Helianthus Annuus (Sunflower) Seed Oil","EWG Verified,Product's animal testing policies,Unknown"
