Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Bets &amp; Emy,Bets & Emy Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Water (99.9%), CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT(0.1%)
Warnings from packaging:
To avoid danger of suffocation, keep all plastic bags away from babies and children. Do not place in cribs, beds, carriages or playpens.","EWG Verified,Product's animal testing policies,Unknown"
Hanulsoo,Hanulsoo Premium Wet Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
water, zinc zeolite","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,ATTITUDE Sensitive Skin Baby Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Aqua / water / eau, sodium citrate, sodium benzoate, potassium sorbate, glycerin, sodium cocoamphoacetate, chamomilla recutita (matricaria) flower extract, citric acid, avena sativa kernel flour (colloidal oatmeal/avoine). The wipe material is made from 100% cellulose fiber
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Healthybaby,Healthybaby Our Wet Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Water, Aloe Barbadensis Leaf Juice*, Chamomilla Recutita (Matricaria), Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower, Glycerin, Tocopherol, Gluconic Acid, Sodium Benzoate, Citric Acid.
Warnings from packaging:
Caution: For external use only. Avoide concatc with eyes. Keep out of reach of children. Discontinue use if signs of irritation or rash appear.","EWG Verified,Product's animal testing policies,Unknown"
Dabble Ducky,Dabble Ducky Infant Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Water (Aqua), Aloe Barbadensis Leaf Juice, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japoinica (Honeysuckle) Flower Extract, Gluconic Acid, Sodium Benzoate, Lactic Acid
Warnings from packaging:
For external use only. Discontinue use if prolonged irritation or redness occurs. To avoid risk of choking or suffication, keep away from children.","EWG Verified,Product's animal testing policies,Unknown"
Pura,Pura Flushable Baby Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Water (Aqua), Aloe barbadensis leaf juice, Glycerin, Levulinic acid, Sodium levulinate, Sodium benzoate, Disodium cocoamphodiacetate, Potassium sorbate, Sodium chloride
Warnings from packaging:
To avoid the risk of choking or suffocation, keep wipes and packaging out of reach of babies and children. Do not leave the bag or wipes in cribs, beds, carriages or play pens.","EWG Verified,Product's animal testing policies,Unknown"
Pura,Pura Baby Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Water (Aqua), Aloe barbadensis leaf juice, Glycerin, Levulinic acid, Sodium levulinate, Sodium benzoate, Disodium cocoamphodiacetate, Potassium sorbate, Sodium chloride
Warnings from packaging:
To avoid the risk of choking or suffocation, keep wipes and packaging out of reach of babies and children. Do not leave the bag or wipes in cribs, beds, carriages or play pens.","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,"ATTITUDE 100% Biodegradable Baby Wipes, Fragrance Free",EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Aqua/water/eau, sodium citrate, sodium benzoate, potassium sorbate, glycerin, sodium cocoamphoacetate, chamomilla recutita (matricaria) flower extract, citric acid, cellulose.
Warnings from packaging:
Keep out of reach of children.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Kudos,Kudos Baby Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Water, Pyrus Malus (Apple) Fruit Extract, Glycerin, Citric Acid, Squalane, Decyl Glucoside, Tocopherol, Sodium Levulinate, Potassium Sorbate
Warnings from packaging:
For external use only. Please discontinue use if prolonged irritation or redness occurs. To avoid risk of choking or suffocation, keep away from children.","EWG Verified,Product's animal testing policies,Unknown"
Doctor Butler&#39;s,Doctor Butler's Organic Soothing Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Organic Bamboo Cloth, Filtered Water, Vitamin E (Non-Synthetic Tocopherols), Rosemary Oil Extract, Lysine, Calendula Officinalis, Chamomilia Recutita, Sodium Citrate, Betaine","EWG Verified,Product's animal testing policies,Unknown"
Natracare,natracare Baby Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Aqua, Brassica Campestris Seed Oil, Glycerin, Lauryl Glucoside, Polyglyceryl-2-dipolyhydroxystearate, Prunus Armeniaca Kernal Oil*, Levulinic Acid, Citrus Dulcis Extract, Amyris Balsamifera Bark Oil, Coriandrum Sativum (Coriander) Fruit Oil, Juniperus Virginiana, Citrus Bergamia Peel Oil Expressed, Citrus Amara, Piper Nigrum Oil, Sodium Levulinate, Sodium Chloride, Chamomilla Recutita (Matricaria) Flower Extract*, Maltodextrin, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Tocopherol, Helianthus Annuus (sunflower) Seed Oil, Potassium Sorbate, Glyceryl Oleate, Dicapryl Carbonate, Sodium Phytate, Limonene**, Linalool**","EWG Verified,Product's animal testing policies,Unknown"
The Honest Company,Honest Baby Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Water (Aqua), Glycerin, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Punica Granatum Juice Extract, Decyl Glucoside, Citric Acid, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, Ethylhexylglycerin, Sodium Benzoate
Warnings from packaging:
Caution: For external use only -- please discontunue use if prolonged irritation or redness occurs. To avoid risk of choking or suffocation, keep away from children.","EWG Verified,Product's animal testing policies,Unknown"
