Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
La Petite Creme,La Petite Creme Organic Diapering Lotion,EWG Verified,Baby Soap,,,,,"Ingredients from packaging:
Organic Olea Europaea Fruit (Olive) Oil, Water, Organic Glycerin, Organic Beeswax, Tocopherols (Vitamin E), Calcium Hydroxide (Limestone).
Warnings from packaging:
For external use on unbroken skin. Keep out of reach of children. Avoid contact with eyes. Store at room temperature 59-77F (15-25C). Best if used before date shown below. Safety of this product has not been determined by FDA-approved laboratory testing.","EWG Verified,Product's animal testing policies,Unknown"
Noleo,NOLEO 3-in-1 Diaper Care,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water, Organic helianthus annuus (sunflower) seed oil, Glyceryl stearate, Organic olea europaea (olive) fruit oil, Beeswax, Calcium hydroxide
Warnings from packaging:
For external use only. Keep out of reach of children. Avoid contact with eyes. Do not apply to broken skin. Discontinue use and consult a physician if you experience an allergic reaction. Keep away from heat","EWG Verified,Product's animal testing policies,Unknown"
La Petite Creme,La Petite Creme Organic Diaper Balm,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Organic Olea Europaea Fruit (Olive) Oil, Water, Organic Beeswax, Tocopherols (Vitamin E), Calcium Hydroxide (Limestone).
Warnings from packaging:
For external use on unbroken skin. Keep out of reach of children. Avoid contact with eyes. Store at room temperature 59-77F (15-25C). Best if used before date shown below.","EWG Verified,Product's animal testing policies,Unknown"
Healthybaby,Healthybaby Our Diaper Cream,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Zinc Oxide, Polyhydroxystearic Acid, Ricinus Communis (Castor) Seed Oil, Caprylic/Capric Triglyceride, Cera Alba (Beeswax), Helianthus Annuus (Sunflower) Seed Wax, Isostearic Acid, Polyglyceryl-3 Polyricinoleate, Squalane, Aloe Barbadensis (Aloe Vera) Leaf Extract, Calendula Officinalis Flower Extract, Carthamus Tinctorius (Safflower) Seed Oil, Centella Asiatica Leaf Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Glycerin, Lecithin, Tocopherol, Water/Aqua","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,ATTITUDE Baby Leaves Diaper Zinc Cream,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Active ingredient: zinc oxide 25%; Inactive ingredients: Olea europaea (olive) fruit oil, ricinus communis (castor) seed oil, cocos nucifera (coconut) oil, tapioca starch, glyceryl dibehenate, tribehenin, caprylic / capric triglyceride, butyrospermum parkii (shea) butter, copernicia cerifera (carnauba) wax, glyceryl behenate, glycerin, chamomilla recutita (matricaria) flower extract, rosmarinus officinalis (rosemary) leaf extract, vaccinium angustifolium (blueberry) leaf extract.
Warnings from packaging:
: For external use only. When using this product do not get into eyes. Stop use and ask a doctor if -condition worsens - symptoms last more than 7 days or clear up and occur again within a few days. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Pipette,Pipette Baby Cream to Powder,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Glycerin, Tapioca Starch, Squalane, Maranta Arundinacea (Arrowroot) Root Powder, Cetearyl Alcohol, Mangifera Indica (Mango) Seed Butter, Cetearyl Olivate, Sorbitan Olivate, Potassium Sorbate, Citric Acid, Sodium Levulinate.
Warnings from packaging:
Use only as directed. Avoid contact with eyes.
For external use only.","EWG Verified,Product's animal testing policies,Unknown"
Be Green Bath &amp; Body,Be Green Bath & Body Baby Balm,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Olea Europaea (Olive) Oil*, Anthemis Nobilis (Chamomile)*, Butyrospermum Parkii (Shea Butter)*, Simmondsia Chinensis (Jojoba) Oil*, Cera Alba (beeswax), Cocos Nucifera (Coconut) Oil*","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Earth Mama,Earth Mama Organic Diaper Balm,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Organic Olive (Olea Europaea) Fruit Oil, Organic Shea (Butyrospermum Parkii) Butter, Organic Beeswax (Cera Flava), Organic Jojoba (Simmondsia Chinensis) Seed Oil, Organic lavender (lavandula Angustifolia) Flower Oil, Organic Calendula (Calendula Officinalis) Flower Extract, Organic St. John's Wort (Hypericum Perforatum) Extract, Organic Chickweed (Stellaria Media) Extract, Organic Plantain (Plantago Major) Extract, Organic Tea Tree (Melaleuca Alternifolia) leaf Oil
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
EllaOla,EllaOla Protective Diaper Rash Cream,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Active Ingredient: Zinc Oxide 14%, Inactive Ingredients: Beeswax, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Copernicia Cerifera (Carnauba) Wax, Helianthus Annuus (Sunflower) Seed Oil, Laminaria Ochroleuca Extract, Polyglyceryl-2 Dipolyhydroxystearate, Ricinus Communis (Castor) Seed Oil
Warnings from packaging:
OTC Monogram
For external use only.
When using this product do not get into eyes.
Stop use and ask a doctor if condition worsens, symptoms last more than 7 days or clear up and occur again within a few days.
Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.","EWG Verified,Product's animal testing policies,Unknown"
Lowen&#39;s Natural Skin Care,Lowen's Natural Skin Care Bum Balm Blues Diaper Balm,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Zinc oxide, canola oil, cocos nucifera (coconut) oil, beeswax, camelina sativa oil, hamamelis virginiana (witch hazel) water, vinifera (grape) seed oil, citrus aurantium dulcis (orange) peel wax, tocopherol
Warnings from packaging:
For external use only.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Adorable Baby,Adorable Baby Natural Diaper Rash Ointment,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Active Ingredient: Zinc Oxide 14%, Inactive Ingredients: Caprylic/Capric Triglycerides, Beeswax, Lauryl Laurate, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Oleic/Linoleic/Linolenic Polyglycerides, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Persea Gratissima (Avocado) Oil, Adansonia Digitata Seed (Baobab) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol.
Warnings from packaging:
For external use only, when using this product do not get into eyes. Stop use and ask doctor if conditions worsen, symptoms last more than 7 days or clear up and occur again within a few days. Keep out of reach of children. If swallowed, get medical help or contact Poison Control Center right away","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
ATTITUDE,"ATTITUDE Baby Natural Baby Diaper Cream, Zinc",EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Zinc oxide, olea europaea (olive) fruit oil, cocos nucifera (coconut) oil, canola oil, glyceryl dibehenate, tapioca starch, caprylic / capric triglyceride, copernicia cerifera (carnauba) wax, butyrospermum parkii (shea) butter, tribehenin, avena sativa kernel flour (colloidal oatmeal / avoine), glyceryl behenate, chamomilla recutita (matricaria) flower extract, rosmarinus officinalis (rosemary) leaf extract.
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Evereden,Evereden Soothing Diaper Rash Cream,EWG Verified,Diaper Cream,,,,,"Ingredients from packaging:
Active Ingredient: Zinc Oxide 14%, Inactive Ingredient: Helianthus Annuus (Sunflower) Seed Oil, Ricinus Communis (Castor) Seed Oil, Cera Alba (Beeswax), Cocos Nucifera (Coconut) Oil, Vitis Vinifera (Grape) Seed Oil, Brassica Campestris/ Aleurites Fordi Oil Copolymer, Simmondsia Chinensis (Jojoba) Oil, Butyrospermum Parkii (Shea) Butter, Tocopherol, Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract
Warnings from packaging:
""For external use only. When using this product: Keep out of eyes. Rinse with water to remove. Stop use and ask a doctor if: Conditions worsen. If symptoms last more than 7 days or clear up and occur again within a few days. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.""","EWG Verified,Product's animal testing policies,Unknown"
