Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Proudly,Proudly Calming Spray,EWG Verified,Body Spray,,,,,"Ingredients from packaging:
aqua/water/eau, propanediol, cocos nucifera (coconut) water, calendula officinalis flower, helianthus annuus (sunflower) seed oil, lavandula hybrida (lavender) oil, anthemis nobilis (chamomile) flower oil, salvia sclarea (clary) oil, papaver somniferum (poppy) seed oil, glycerin, citric acid, glyceryl caprylate, caprylhydroxamic acid
Directions from packaging:
Lightly spray your littlest love s nursery, sheets, or onesie and let dry to leave the light scent of calming lavender chamomile. Even gentle for baby s skin, take a few sprays to your palms, rub hands together, and pat their arms, legs, and chest. Take a deep breath and savor the calm.","EWG Verified,Product's animal testing policies,Leaping Bunny"
,Scentuals Calming Lavender Ambiance & Body Mist,01,Body Spray,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
AQUA, GLYCERIN, LAVANDULA ANGUSTIFOLIA OIL","Product's animal testing policies,Unknown"
Heritage Store,"Heritage Store, Rose Pedals Rose Water Facial Mist",01,Body Spray,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
PURIFIED WATER* AND ROSA DAMASCENA (HYDROESSENTIAL ROSE) FLOWER OIL.","Product's animal testing policies,Unknown"
Heritage Store,"Heritage Store, Rose Petals Atomizer Mist Sprayer, Rosewater",01,Body Spray,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
PURIFIED WATER* AND ROSA DAMASCENA (HYDROESSENTIAL ROSE) FLOWER OIL.","Product's animal testing policies,Unknown"
now,Now Magnesium Topical Spray,01,Body Spray,LOW,LOW,LOW,LOW,"Ingredients from packaging:
WATER AND MAGNESIUM CHLORIDE HEXAHYDRATE.","Product's animal testing policies,Unknown"
,"Nature's Brands Organic Body Mist, Lavender",01,Body Spray,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Purified Water, Organic Lavender Essential Oil, Organic Extra Virgin Olive Oil, Organic Rosehip Seed Oil","Product's animal testing policies,Unknown"
,"Asutra Mist Your Mood Instant Stress Relief, Patchouli & Bergamot",01,Body Spray,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
DISTILLED WATER, PATCHOULI ESSENTIAL OIL, BERGAMOT ESSENTIAL OIL, WITCH HAZEL, ROSEMARY EXTRACT, ALOE VERA, JOJOBA OIL","Product's animal testing policies,Unknown"
,"Nature's Brands Organic Body Mist, Lemongrass",01,Body Spray,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Purified Water, Organic Lemongrass Essential Oil, Organic Extra Virgin Olive Oil, Organic Rosehip Seed Oil","Product's animal testing policies,Unknown"
Limegreen,"Limegreen Multi-Spray, Lemongrass",02,Body Spray,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
* = CERTIFIED ORGANIC Water, Witch Hazel Distillate*, Vegetable Glycerin*, Essential Oils*","Product's animal testing policies,Unknown"
Limegreen,"Limegreen Multi-Spray, Lavandula",02,Body Spray,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
* = CERTIFIED ORGANIC Water, Witch Hazel Distillate*, Vegetable Glycerin*, Essential Oils*","Product's animal testing policies,Unknown"
