Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Henry Rose,"Henry Rose Fragrance, Windows Down",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
Alcohol Denat, [[DISCLOSED FRAGRANCE]]**, Water, **COMPONENTS: Ethylene Brassylate, 1,4-Methanonaphthalen-6(2H)-one,octahydro-7-methyl-, 1,6-Nonadien-3-ol,3,7-dimethyl-,acetate, 1-Naphthalenol,1,2,3,4,4a,7,8,8a-octahydro-2,4a,5,8a-tetramethyl-,formate, 1-Propanol,2-1-(3; 3-dimethylcyclohexyl)ethoxy-2-methyl-,propanoate, 2,4-Dihyroxy-3,6-Dimethyl-Benzoic Acid Methyl Ester, 2,6-Octadien-1-ol,3,7-dimethyl-,acetate,(E)-, 2,6-Octadien-1-ol,3,7-dimethyl-,acetate,(Z)-, 3-Buten-2-one,4-(2; 6; 6-trimethyl-1-cyclohexen-1-yl)-,(E)-, 3-Hexenol, 4H-Indeno4,5-D-1,3-dioxole,3a,5,6,7,8,8b-hexahydro-2,2,6,6,7,8,8-heptamethyl-, 6-Octen-1-ol,3,7-dimethyl-,acetate, Acetic acid,hexyl ester, Cyclopentadecanone, Decanal, Dimethyl-4-Isoheptenal Dimethyl Acetal, Ethyl Linalool, Bulnesia Sarmientoi Wood Oil, Hedione (Methyl Dihydrojasmonate), Hexadecanolactone, Isopropyl Myristate, Linalool, Linalyl Acetate, Medium Chain Triglycerides, Meth-2(2-Pentenyl)2-Cyclopenten-1-One/3-, Methylcyclopentadecenone, Naphtho2,1-bfuran,dodecahydro-3a,6,6,9a-tetramethyl-,3aR-(3a.alpha.; 5a.beta.; 9a.alpha.; 9b.beta.)-, Spartium Junceum Flower Extract, Pentadecalactone, Phenethyl Alcohol, Rose Ketone-4, t-butyl alcohol, Terpineol acetate, Tetrahydro-Methyl-Methylpropyl)-Pyran-4-OL, Tetramethyl Acetyloctahydronaphthalenes, Water, 2-Acetonaphthone, 4H-4a,9-Methanoazuleno5,6-d-1,3-dioxole,octahydro-2,2,5,8,8,9a-hexamethyl-,(4aR; 5R; 7aS; 9R)-, 7-Methyl-3,4-Dihyro-2H-1,5-Benzodioxepine-3-One, Acetic acid,(cyclohexyloxy)-,2-propenyl ester, Benzenemethanaminium,N-2-(2; 6-dimethylphenyl)amino-2-oxoethyl-N,N-diethyl-,benzoate, Ethyl 2,2-Dimethylhydrocinnamal, gamma-Undecalactone, Ionone,Alpha-, Nonanal, Citrus Paradisi (Grapefruit) Oil, Citrus Limon (Lemon) Fruit Oil, Citrus Reticulata Oil, Ilex Paraguariensis (Mate) Leaf Extract, Tocopherol, Alcohol Denatured,","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Body Spray, Mustang Sally",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
WATER, 1,2-HEXANEDIOL, [[DISCLOSED FRAGRANCE]]**, CAPRYLYL GLYCOL, PENTYLENE GLYCOL, SODIUM BENZOATE, POTASSIUM SORBATE, **COMPONENTS: METHYL DIHYDROJASMONATE, HIGH CIS; ETHYLENE BRASSYLATE; ORANGE PEEL OIL, SWEET FOLDED; LINALOOL; BENZYL SALICYLATE; TETRAHYDRO-2-ISOBUTYL-4-METHYLPYRAN-4-OL, MIXED ISOMERS (CIS, TRANS); PHENYL ETHYL ALCOHOL; PROPANEDIOIC ACID, 1-(3,3-DIMETHYLCYCLOHEXYL) ETHYL, ETHYL ESTER; METHYLCYCLOPENTADECENONE; 2-HEXENE, 6,6-DIMETHOXY-2,5,5-TRIMETHYL-; LINALYL ACETATE; HEXYL CINNAMIC ALDEHYDE/ALPHA; CYCLOPENTADECANOLIDE; DIPROPYLENE GLYCOL; NEROLIDOL; PENTAMETHYL OCTAHYDROINDENODIOXANE; GERANIOL; METHYL NAPHTHYL KETONE, BETA; ORANGE PEEL OIL, SWEET; ISOPROPYL MYRISTATE; GERANYL ACETATE; 5H-CYCLOPENTA[H]QUINAZOLINE, 6,6A,7,8,9,9A-HEXAHYDRO-7,7,8,9,9-PENTAMETHYL-; NAPHTHO[2,1-B]FURAN, DODECAHYDRO-3A,6,6,9A-TETRAMETHYL-, [3AR (3A.ALPHA.,5A.BETA.,9A.ALPHA.,9B.BETA.)]-; ORANGE FLOWER ABSOLUTE; ISOEUGENYL ACETATE; OXACYCLOHEPTADEC-10-EN-2-ONE; BENZYL ACETATE; COUMARIN; TERPINEOL / ALPHA; RHODINYL ACETATE; PETITGRAIN MANDARINIER; HEXENOL/CIS-3; HEXENYL BENZOATE / CIS 3; INDOLE; JASMONE CIS; VERAMOSS, BENZYL SALICYLATE, CITRAL, COUMARIN, FARNESOL, GERANIOL, HEXYL CINNAMAL, LIMONENE, LINALOOL","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Jake's House",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: ETHYLENE BRASSYLATE, METHYLDIHYDROJASMONATE, OXACYCLOHEPADEC-10-EN-2-ONE, DODECAHYDRO-TETRAMETHYLNAPHTHOFURAN, PROPANEDIOIC ACID 1-[3,3-DIMETHYLCYCLOHEXYL]ETHYL ETHYL ESTER, ETHYLENE DODECANEDIOATE, DIPROPYLENE GLYCOL, LINALOOL, LINALYL ACETATE, BENZYL ACETATE, TRIETHYL CITRATE, 2-ACETONAPHTHONE, PHENETHYL ALCOHOL, BETA-IONONE, ISOEUGENOL ACETATE, METHYLBENZODIOXEPINONE, ETHYL 2,2-DIMETHYLHYDROCINNAMAL, METHYL DIHYDROXY-DIMETHYLBENZOATE, BENZOIC ACID 2-METHYL-METHYL ESTER, POGOSTEMON CABLIN (PATCHOULI) OIL, VANILLIN, UNDECYLENAL, METH-2[2-PENTENYL]2-CYCLOPENTEN-1-ONE/3-, CIS-3-HEXENYL ACETATE, 3-HEXENOL, METHYL DI-t-BUTYL HYDROXYHYDROCINNAMATE, METHYLBENZYL ACETATE, IONONE ALPHA-, TOCOPHEROL, ETHYL BENZOATE, ETHYL SALICYLATE, BENZYL ALCOHOL, CITRONELLOL, GERANIOL
Warnings from packaging:
FLAMMABLE / INFLAMMABLE","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Last Light",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: METHYLDIHYDROJASMONATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, ETHYLENE BRASSYLATE, DIPROPYLENE GLYCOL, PROPANEDIOIC ACID,1-[3,3-DIMETHYLCYCLOHEXYL]ETHYL ETHYL ESTER, POGOSTEMON CABLIN (PATCHOULI) OIL, CYCLOPENTADECANONE, HEXADECANOLIDE, TRIETHYL CITRATE, LINALYL ACETATE, ETHYL LINALOOL, OXACYCLOHEPTADEC-10-EN-2-ONE, DODECAHYDRO TETRAMETHYLNAPHTHOFURAN, VETIVERIA ZIZANIOIDES (VETIVER) OIL, LINALOOL, TRIMETHYL-PROPYLCYCLOHEXANEPROPANOL, BENZYL ACETATE, GAMMA-UNDECALACTONE, VANILLIN, TOCOPHEROL
Warnings from packaging:
FLAMMABLE / INFLAMMABLE","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Queens & Monsters",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: Tetramethyl Acetyloctahydronaphthalenes, Methyl Dihydrojasmonate, 3,3-Dimethyl-5-(2; 2; 3-timethyl-3-cyclopenten-1-yl)-4-penten-2-ol, Ethylene Brassylate, 2-Ethyl-4-(2; 2; 3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol, Pentamethylcyclopent-3-ene-Butanol, 1-Propanol,2-[1-(3; 3-dimethylcyclohexyl)ethoxy]-2-methyl-,propanoate, Dodecahydro-3a,6,6,9a-Tetramethylnaphtho(2; 1-b)furan, Vanillin, Ethyl Vanillin, Methylcyclopentadecenone, Juniperus Mexicana Oil, Tetrahydro-Methyl-Methylpropyl)-Pyran-4-OL, Linalool, Propanedioic acid,1-(3; 3-dimethylcyclohexyl)ethyl ethyl ester, Linalyl Acetate, Phenylisohexanol, gamma-Octalactone, 2-Acetonaphthone, y-Nonalactone, Ethyl Hydroxypyrone, 1-methyl-2-[(1; 2; 2-timethylbicyclo[3.1.0]hex-3-yl)methyl]-cyclopropanemethanol, 4-Methyl-3-Decen-5-OL, Pogostemon Cablin (Patchouli) Oil","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Fog",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: METHYLDIHYDROJASMONATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, ETHYLENE BRASSYLATE, LINALOOL, LINALYL ACETATE, ETHYL LINALOOL, PENTADECALACTONE, VETIVERIA ZIZANIOIDES (VETIVER) OIL, [3,3-DIMETHYL-5-[2,2,3-TRIMETHYL-3-CYCLOPENTEN-1-YL]-4-PENTEN-2-OL], ETHYL TRIMETHYLCYCLOPENTENE BUTENOL, OXACYCLOHEPTADEC-10-EN-2-ONE, DIMETHYL-4-ISOHEPTENAL DIMETHYL ACETAL, PROPANEDIOIC ACID,1-[3,3-DIMETHYLCYCLOHEXYL]ETHYL ETHYL ESTER, PENTAMETHYLCYCLOPENT-3-ENE-BUTANOL, RHODINYL ACETATE, DIPROPYLENE GLYCOL, METHYLCYCLOPENTADECENONE, POGOSTEMON CABLIN (PATCHOULI) OIL, DODECAHYDRO-TETRAMETHYLNAPHTHOFURAN, NEROLIDOL, CYCLOPROPANEMETHANOL,1-METHYL-2-[[1,2,2-TRIMETHYLBICYCLO[3.1.0]HEX-3-YL]METHYL]-, 2H-INDENO [4,5-B]FURAN,[DECAHYDRO-2,6,6,7,8,8-HEXAMETHYL-, 4H-IDENO[4,5-D]-1,3-DIOXOLE],[3A,5,6,7,8,8B-HEXAHYDRO-2,2,6,6,7,8,8-HEPTAMETHYL-], VANILLIN, CYCLOPENTADECENONE, 3-P-CUMENYL PROPIONALDEHYDE, TOCOPHEROL, ETHYL MALTOL, METHYL DI-T-BUTYL HYDROXYHYDROCINNAMATE. TETRADIBUTYL PENTAERITHRITYL HYDROXYHYDROCINNAMATE, CITRIC ACID, ISOEUGENOL, LIMONENE
Warnings from packaging:
FLAMMABLE / INFLAMMABLE","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Dark is Night",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, METHYLDIHYDROJASMONATE, ETHYL VANILLIN, OXACYCLOHEPTADEC-10-EN-2-ONE, POGOSTEMON CABLIN J7(PATCHOULI) OIL, ETHYLENE BRASSYLATE, LINALYL ACETATE, VANILLIN, ETHYL TRIMETHYLCYCLOPENTENE BUTENOL, 3-METHYL-5-[2,2,3-TRIMETHYL-3-CYCLOPENTENYL]PENT-4-EN-2-OL, LINALOOL, TRIETHYL CITRATE, VETIVERIA ZIZANIOIDES (VETIVER) OIL, BETA-IONONE, 2,6-DIMETHYL-7-OCTEN-2-OL, DODECAHYDRO-TETRAMETHYLNAPHTHOFURAN, TETRADIBUTYL PENTAERITHRITYL HYDROXYHYDROCINNAMATE, DIMETHYLBENZYL CARBINYL BUTYRATE, DIPROPYLENE GLYCOL, CYCLOPROPANEMETHANOL,1-METHYL-2-[[1,2,2-TRIMETHYLBICYCLO[3.1.0]HEX-3-YL]METHYL]-, GAMMA-OCTALACTONE, 4H-IDENO[4,5-D]-1,3-DIOXOLE,3A,5,6,7,8,8B-HEXAHYDRO-2,2,6,6,7,8,8-HEPTAMETHYL-, ETHYL MALTOL, 3-HEXENOL, VANILLA PLANIFOLIA (VANILLA) FRUIT EXTRACT
Warnings from packaging:
FLAMMABLE / INFLAMMABLE","EWG Verified,Product's animal testing policies,Unknown"
Rosy &amp; Earnest,Rosy & Earnest Be Earnest,EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
Water, Denatured Ethyl Alcohol, [[DISCLOSED FRAGRANCE]]**, Benzyl Salicylate, Citral, Citronellol, Eugenol, Geraniol, Isoeugenol, Limonene, Linalool. **COMPONENTS: PHENETHYL ALCOHOL (60-12-8), GAMMA UNDECALACTONE (104-67-6), CYCLAMEN ALDEHYDE (103-95-7), 2-(2,2,7,7-TETRAMETHYL-5-TRICYCLO[6.2.1.01,6]UNDEC- 5-ENYL)PROPAN-1-OL (929625-08-1), OXACYCLOHEPTADEC-10-EN-2-ONE (28645-51-4), 8-ALPHA,12-OXIDO-13,14,15,16-TETRANORLABDANE (6790-58-5), AMYRIS BALSAMIFERA (SANDALWOOD) ESSENTIAL OIL (8015-65-4), CITRUS BERGAMIA (8007-75-8), FORMALDEHYDE CYCLOPDECYL ETHYL ACETAL (58567-11-6), JUNIPERUS VIRGINIANA (VIRGINIA RED CEDAR) OIL (8000-27-9), POGOSTEMON CABLIN (PATCHOULI) LEAF EXTRACT (84238-39-1), ETHYL LINALOOL (10339-55-6), ABIES BALSAMEA EXTRACT, METHYL DIHYDROJASMONATE (24851-98-7), 2-(1-(3',3'-DIMETHYL-1'-CYCLOHEXYL)ETHOXY)-2-METHYL PROPYL PROPANOATE (141773-73-1), 1,2,3,4,5,6,7,8-OCTAHYDRO-2,3,8,8-TETRAMETHYL-2-NAPHTHYL-ETHANONE (54464-57-2), ETHYLENE BRASSYLATE (105-95-3), METHYLCYCLOPENTADECENONE (82356-51-2), 6-ETHYLIDENEOCTAHYDRO-5,8-METHANO-2H-BENZO-1-PYRAN (93939-86-7), TINOGARD TT (6683-19-8), TRIETHYL CITRATE (77-93-0), 2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE (68039-49-6), 2-T-BUTYLCYCLOHEXYL ACETATE (88-41-5)","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Torn",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
Alcohol Denat., [[DISCLOSED FRAGRANCE]]**, Water, Benzyl Alcohol, Eugenol, Linalool, Farnesol, Limonene
**COMPONENTS: 1,2,3-Propanetricarboxylic acid2-hydroxy-triethyl ester; 1,4-Dioxacycloheptadecane-5,17-dione; 1,6-Octadien-3-ol3,7-dimethyl-; 1,6-Octadien-3-ol3,7-dimethyl-acetate; 2(3H)-Furanone5-butyldihydro-; 2-Buten-1-ol2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-; 2H-Pyran-4-oltetrahydro-4-methyl-2-(2-methylpropyl)-; 2-Propanol2-methyl-; 3-Buten-2-one4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-(E)-; 3-Cyclopentene-1-butanol.alpha.,.beta.,2,2,3-pentamethyl-; 3-Decen-5-ol4-methyl-; 4H-Pyran-4-one2-ethyl-3-hydroxy-; Acetic acidphenylmethyl ester; Alcohol Denatured; Benzaldehyde3-ethoxy-4-hydroxy-; Benzaldehyde4-hydroxy-3-methoxy-; Benzeneethanol; Benzenepentanol.gamma.-methyl-; Cyclopentadecanone; Cyclopentaneacetic acid3-oxo-2-pentyl-methyl ester; Ethanone1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)-; Naphtho[2,1-b]furandodecahydro-3a,6,6,9a-tetramethyl-[3aR-(3a.alpha.,5a.beta.,9a.alpha.,9b.beta.)]-; Oxacycloheptadec-10-en-2-one; Oxacycloheptadecan-2-one; Pogostemon Cablin oil; Vetiveria Zizanoides Root Oil; Water","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Flora Carnivora",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
Alcohol Denatured, Fragrance, Water (Aua/Eau), Alpha-Isomethyl Ionone, Benzyl Benzoate, Geraniol, Limonene, Linalool","EWG Verified,Product's animal testing policies,Unknown"
