Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Henry Rose,"Henry Rose Fragrance, Windows Down",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
Alcohol Denat, [[DISCLOSED FRAGRANCE]]**, Water, **COMPONENTS: Ethylene Brassylate, 1,4-Methanonaphthalen-6(2H)-one,octahydro-7-methyl-, 1,6-Nonadien-3-ol,3,7-dimethyl-,acetate, 1-Naphthalenol,1,2,3,4,4a,7,8,8a-octahydro-2,4a,5,8a-tetramethyl-,formate, 1-Propanol,2-1-(3; 3-dimethylcyclohexyl)ethoxy-2-methyl-,propanoate, 2,4-Dihyroxy-3,6-Dimethyl-Benzoic Acid Methyl Ester, 2,6-Octadien-1-ol,3,7-dimethyl-,acetate,(E)-, 2,6-Octadien-1-ol,3,7-dimethyl-,acetate,(Z)-, 3-Buten-2-one,4-(2; 6; 6-trimethyl-1-cyclohexen-1-yl)-,(E)-, 3-Hexenol, 4H-Indeno4,5-D-1,3-dioxole,3a,5,6,7,8,8b-hexahydro-2,2,6,6,7,8,8-heptamethyl-, 6-Octen-1-ol,3,7-dimethyl-,acetate, Acetic acid,hexyl ester, Cyclopentadecanone, Decanal, Dimethyl-4-Isoheptenal Dimethyl Acetal, Ethyl Linalool, Bulnesia Sarmientoi Wood Oil, Hedione (Methyl Dihydrojasmonate), Hexadecanolactone, Isopropyl Myristate, Linalool, Linalyl Acetate, Medium Chain Triglycerides, Meth-2(2-Pentenyl)2-Cyclopenten-1-One/3-, Methylcyclopentadecenone, Naphtho2,1-bfuran,dodecahydro-3a,6,6,9a-tetramethyl-,3aR-(3a.alpha.; 5a.beta.; 9a.alpha.; 9b.beta.)-, Spartium Junceum Flower Extract, Pentadecalactone, Phenethyl Alcohol, Rose Ketone-4, t-butyl alcohol, Terpineol acetate, Tetrahydro-Methyl-Methylpropyl)-Pyran-4-OL, Tetramethyl Acetyloctahydronaphthalenes, Water, 2-Acetonaphthone, 4H-4a,9-Methanoazuleno5,6-d-1,3-dioxole,octahydro-2,2,5,8,8,9a-hexamethyl-,(4aR; 5R; 7aS; 9R)-, 7-Methyl-3,4-Dihyro-2H-1,5-Benzodioxepine-3-One, Acetic acid,(cyclohexyloxy)-,2-propenyl ester, Benzenemethanaminium,N-2-(2; 6-dimethylphenyl)amino-2-oxoethyl-N,N-diethyl-,benzoate, Ethyl 2,2-Dimethylhydrocinnamal, gamma-Undecalactone, Ionone,Alpha-, Nonanal, Citrus Paradisi (Grapefruit) Oil, Citrus Limon (Lemon) Fruit Oil, Citrus Reticulata Oil, Ilex Paraguariensis (Mate) Leaf Extract, Tocopherol, Alcohol Denatured,","EWG Verified,Product's animal testing policies,Unknown"
Just the Goods,"Just the Goods Vegan Perfume Oil, Neroli + Ylang Ylang",EWG Verified,Fragrance For Women,,,,,"Ingredients from packaging:
caprylic/capric triglyceride (fractionated coconut oil MCT 60/40 / huile de la noix de coco (triglycÃ©rides Ã chaÃ®ne moyenne)), citrus aurantium (neroli/oranger amer) oil, canaga odorata (ylang ylang) flower oil, tocopherol (vitamin e - non-GMO soy/non-OGM soja)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Leaping Bunny"
Just the Goods,"Just the Goods Vegan Perfume Oil, Steamy Dreamy",EWG Verified,Fragrance For Women,,,,,"Ingredients from packaging:
caprylic/capric triglyceride (fractionated coconut oil MCT 60/40 / huile de la noix de coco (triglycÃ©rides Ã  chaÃ®ne moyenne)), lavandula angustifolia (lavender/lavande) oil, canaga odorata (ylang ylang) flower oil, tocopherol (vitamin e â€“ non-GMO soy/non-OGM soja)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Leaping Bunny"
Henry Rose,"Henry Rose Body Spray, Mustang Sally",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
WATER, 1,2-HEXANEDIOL, [[DISCLOSED FRAGRANCE]]**, CAPRYLYL GLYCOL, PENTYLENE GLYCOL, SODIUM BENZOATE, POTASSIUM SORBATE, **COMPONENTS: METHYL DIHYDROJASMONATE, HIGH CIS; ETHYLENE BRASSYLATE; ORANGE PEEL OIL, SWEET FOLDED; LINALOOL; BENZYL SALICYLATE; TETRAHYDRO-2-ISOBUTYL-4-METHYLPYRAN-4-OL, MIXED ISOMERS (CIS, TRANS); PHENYL ETHYL ALCOHOL; PROPANEDIOIC ACID, 1-(3,3-DIMETHYLCYCLOHEXYL) ETHYL, ETHYL ESTER; METHYLCYCLOPENTADECENONE; 2-HEXENE, 6,6-DIMETHOXY-2,5,5-TRIMETHYL-; LINALYL ACETATE; HEXYL CINNAMIC ALDEHYDE/ALPHA; CYCLOPENTADECANOLIDE; DIPROPYLENE GLYCOL; NEROLIDOL; PENTAMETHYL OCTAHYDROINDENODIOXANE; GERANIOL; METHYL NAPHTHYL KETONE, BETA; ORANGE PEEL OIL, SWEET; ISOPROPYL MYRISTATE; GERANYL ACETATE; 5H-CYCLOPENTA[H]QUINAZOLINE, 6,6A,7,8,9,9A-HEXAHYDRO-7,7,8,9,9-PENTAMETHYL-; NAPHTHO[2,1-B]FURAN, DODECAHYDRO-3A,6,6,9A-TETRAMETHYL-, [3AR (3A.ALPHA.,5A.BETA.,9A.ALPHA.,9B.BETA.)]-; ORANGE FLOWER ABSOLUTE; ISOEUGENYL ACETATE; OXACYCLOHEPTADEC-10-EN-2-ONE; BENZYL ACETATE; COUMARIN; TERPINEOL / ALPHA; RHODINYL ACETATE; PETITGRAIN MANDARINIER; HEXENOL/CIS-3; HEXENYL BENZOATE / CIS 3; INDOLE; JASMONE CIS; VERAMOSS, BENZYL SALICYLATE, CITRAL, COUMARIN, FARNESOL, GERANIOL, HEXYL CINNAMAL, LIMONENE, LINALOOL","EWG Verified,Product's animal testing policies,Unknown"
Just the Goods,"Just the Goods Vegan Perfume Oil, Safety Net",EWG Verified,Fragrance For Women,,,,,"Ingredients from packaging:
caprylic/capric triglyceride (fractionated coconut oil MCT 60/40 / huile de la noix de coco (triglycerides a chaine moyenne)), jasminum sambac (jasmine/jasmin) extract, citrus nobilis (mandarin orange/mandarine) peel oil, elettaria cardamomum (cardamom/cardamome) oil, tocopherol (vitamin e - non-GMO soy/non-OGM soja)
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Leaping Bunny"
Just the Goods,"Just the Goods Vegan Perfume Oil, Spicy Nights",EWG Verified,Fragrance For Women,,,,,"Ingredients from packaging:
caprylic/capric triglyceride (fractionated coconut oil MCT 60/40 / huile de la noix de coco (triglycerides a chaine moyenne)), citrus sinensis (sweet orange/orange douce) oil, cinnmomum zeylanicum (cinnamon leaf/feuille de cannelle) oil, canaga odorata (ylang ylang) flower oil, tocopherol (vitamin e - non-GMO soy/non-OGM soja)
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Leaping Bunny"
Qet Botanicals,Qet Botanicals Rosewood Botanical Nectar,EWG Verified,Fragrance For Women,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil*, Rosa Damascena (Rose) Flower Oil, Santalum Album (Australian Sandalwood) Oil*, Vanilla Planifolia (Tahitian Vanilla) Bean Oil*, Pelargonium Graveolens (*) Flower Oil* Rosa Damascena (Rose) Flower Petals*, Rosa Damascena (Rose) Flower Buds*, Rosmarinus Officinalis (Rosemary) Leaf Extract. *Organic Ingredient
Warnings from packaging:
We only use fresh ingredients, so colors and aromas may vary.","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Jake's House",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: ETHYLENE BRASSYLATE, METHYLDIHYDROJASMONATE, OXACYCLOHEPADEC-10-EN-2-ONE, DODECAHYDRO-TETRAMETHYLNAPHTHOFURAN, PROPANEDIOIC ACID 1-[3,3-DIMETHYLCYCLOHEXYL]ETHYL ETHYL ESTER, ETHYLENE DODECANEDIOATE, DIPROPYLENE GLYCOL, LINALOOL, LINALYL ACETATE, BENZYL ACETATE, TRIETHYL CITRATE, 2-ACETONAPHTHONE, PHENETHYL ALCOHOL, BETA-IONONE, ISOEUGENOL ACETATE, METHYLBENZODIOXEPINONE, ETHYL 2,2-DIMETHYLHYDROCINNAMAL, METHYL DIHYDROXY-DIMETHYLBENZOATE, BENZOIC ACID 2-METHYL-METHYL ESTER, POGOSTEMON CABLIN (PATCHOULI) OIL, VANILLIN, UNDECYLENAL, METH-2[2-PENTENYL]2-CYCLOPENTEN-1-ONE/3-, CIS-3-HEXENYL ACETATE, 3-HEXENOL, METHYL DI-t-BUTYL HYDROXYHYDROCINNAMATE, METHYLBENZYL ACETATE, IONONE ALPHA-, TOCOPHEROL, ETHYL BENZOATE, ETHYL SALICYLATE, BENZYL ALCOHOL, CITRONELLOL, GERANIOL
Warnings from packaging:
FLAMMABLE / INFLAMMABLE","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Queens & Monsters",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: Tetramethyl Acetyloctahydronaphthalenes, Methyl Dihydrojasmonate, 3,3-Dimethyl-5-(2; 2; 3-timethyl-3-cyclopenten-1-yl)-4-penten-2-ol, Ethylene Brassylate, 2-Ethyl-4-(2; 2; 3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol, Pentamethylcyclopent-3-ene-Butanol, 1-Propanol,2-[1-(3; 3-dimethylcyclohexyl)ethoxy]-2-methyl-,propanoate, Dodecahydro-3a,6,6,9a-Tetramethylnaphtho(2; 1-b)furan, Vanillin, Ethyl Vanillin, Methylcyclopentadecenone, Juniperus Mexicana Oil, Tetrahydro-Methyl-Methylpropyl)-Pyran-4-OL, Linalool, Propanedioic acid,1-(3; 3-dimethylcyclohexyl)ethyl ethyl ester, Linalyl Acetate, Phenylisohexanol, gamma-Octalactone, 2-Acetonaphthone, y-Nonalactone, Ethyl Hydroxypyrone, 1-methyl-2-[(1; 2; 2-timethylbicyclo[3.1.0]hex-3-yl)methyl]-cyclopropanemethanol, 4-Methyl-3-Decen-5-OL, Pogostemon Cablin (Patchouli) Oil","EWG Verified,Product's animal testing policies,Unknown"
Henry Rose,"Henry Rose Fragrance, Last Light",EWG Verified,Fragrance For Men,,,,,"Ingredients from packaging:
ALCOHOL DENAT, [[DISCLOSED FRAGRANCE]]**, WATER (AQUA/EAU), **COMPONENTS: METHYLDIHYDROJASMONATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, ETHYLENE BRASSYLATE, DIPROPYLENE GLYCOL, PROPANEDIOIC ACID,1-[3,3-DIMETHYLCYCLOHEXYL]ETHYL ETHYL ESTER, POGOSTEMON CABLIN (PATCHOULI) OIL, CYCLOPENTADECANONE, HEXADECANOLIDE, TRIETHYL CITRATE, LINALYL ACETATE, ETHYL LINALOOL, OXACYCLOHEPTADEC-10-EN-2-ONE, DODECAHYDRO TETRAMETHYLNAPHTHOFURAN, VETIVERIA ZIZANIOIDES (VETIVER) OIL, LINALOOL, TRIMETHYL-PROPYLCYCLOHEXANEPROPANOL, BENZYL ACETATE, GAMMA-UNDECALACTONE, VANILLIN, TOCOPHEROL
Warnings from packaging:
FLAMMABLE / INFLAMMABLE","EWG Verified,Product's animal testing policies,Unknown"
