Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Dr. Bronner&#39;s,"Dr. Bronner's 4-in-1 Organic Sugar Soap, Baby Unscented",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Sucrose, Vitis Vinifera (Grape) Juice, Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Kernel Oil, Potassium Hydroxide, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Acacia Concinna (Shikakai) Fruit Powder, Citric Acid, Tocopherol
Warnings from packaging:
CAUTION! Keep out of eyes: wash with water 15 min. and consult a physician if irritation persists. DO NOT REFILL with Dr. Bronner's 18-in-1 Pure-Castile Liquid Soaps, which can clog the dispenser and spurt soap. In this formula, the shikakai extracted in organic natural sugars also keeps th epump from clogging. Don't drink soap!","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
vivvi &amp; bloom,"vivvi & bloom Baby 2-in-1 Wash and Shampoo, Cleansing Gel, Fragrance Free",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Water, Coco-Glucoside, Glycerin, Sodium Cocoyl Glutamate, Cocamidopropyl Betaine, Xanthan Gum, Citric Acid, Sodium Benzoate, Caprylyl Glycol, Carrageenan, Glyceryl Oleate, Butyrospermum Parkii (Shea) Butter","EWG Verified,Product's animal testing policies,PETA: Companies That Do Test on Animals"
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Soap, Baby Unscented",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sea Salt, Citric Acid, Tocopherol","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Babo Botanicals,"Babo Botanicals Calming Shampoo Bubble Bath & Wash, Lavender & Meadowsweet",EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Water (Aqua), Sodium Lauroyl Methyl Isethionte, Coco Betaine, Coco-Glucoside, Glycerin, Sodium Methyl Cocoyl Taurate, Organic Aloe Barbadensis (Aloe Vera) Leaf Juice*, Lavandula Angustifolia (Lavender) Flower Oil, Lavandula Hybrida (Lavandin) Oil, Anthemis Nobilis (Chamomile) Flower Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Organic Argania Spinosa (Argan) Kernel Oil*, Organic Butyrospermum Parkii (Shea) Butter*, Organic Cocos Nucifera (Coconut) Oil*, Organic Molasses*, Xanthan Gum, Capryloyl Glycine, Organic Rosmarinus Officinalis (Rosemary) Leaf Extract*, Guar Hydroxypropyltrimonium Chloride, Organic Nutri-Soothe Complex [Glycerin*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Nasturtium Officinale (Watercress) Flower/Leaf Extract*, Pueraria Lobata (Kudzu Root) Root Extract*, Spiraea Ulmaria (Meadowsweet) Flower Extract*], Avena Sativa (Oat) Kernel, Potassium Sorbate, Sodium Chloride, Citric Acid
Warnings from packaging:
Although Product smells yummy, for external use only. Avoid Eye Area. Discontinue use if irritation or redness occurs. Keep out of reach of children.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Hello Bello,"Hello Bello Premium Shampoo and Body Wash, Calming Soft Lavender",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Water, Sodium Laurylglucosides Hydroxypropylsulfonate, Cocamidopropyl Hydroxysultaine, Sodium Lauroyl Methyl Isethionate, Glycerin, Sodium Methyl Cocoyl Taurate, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Persea Gratissima (Avocado) Fruit Extract*, Calendula Officinalis Flower Extract*, Cucumis Sativus (Cucumber) Fruit Extract*, Lavandula Angustifolia (Lavender) Oil, Sodium Chloride, 1,2-Hexanediol, Hydroxyacetophenone, Dehydroacetic Acid, Tetrasodium Glutamate Diacetate, Citric Acid
*Organic
Warnings from packaging:
Use Your Noggin: External use only. Avoid eye contact. Stop use if negative effects develop.","EWG Verified,Product's animal testing policies,Unknown"
Babo Botanicals,"Babo Botanicals Sensitive Baby Shampoo & Wash, Fragrance Free",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Water (Aqua), Sodium Methyl Cocoyl Taurate, Glycerin, Sodium C14-16 Olefin Sulfonate, Butyrospermum Parkii (Shea) Butter, Aloe Barbadensis (Aloe Vera) Flower Extract, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Nasturtium Officinale (Watercress) Flower/Leaf Extract, Spiraea Ulmaria (Meadowsweet) Flower Extract, Sodium Lauroyl Methyl Isethionate, Xanthan Gum, Cocamidopropyl Betaine, Citric Acid, Sodium Phytate, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Corallina Officinalis Extract, Ocimum Sanctum Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Coco-Glucoside, Lauryl Glucoside, Sodium Methyl Oleoyl Taurate, Tocopheryl Acetate (Vitamin E), Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Ethylhexylglycerin, Potassium Sorbate, Sodium Hydroxide
Directions from packaging:
Gently massage baby's hair, scalp and body avoiding the eye area. Rinse thoroughly.
Warnings from packaging:
Although product smells yummy, for external use only. Avoid contact with eyes. When using a product for the first time, it is recommended to test it on a small area and monitor for skin reaction during 24 hours before applying to a larger area. If irritation occurs, stop use and contact your physician. Keep out of reach of children.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Baja Baby,Baja Baby Lavender Shampoo & Wash,EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Glacial Water (Aqua), Coco Glucoside, Decyle Glucoside, Myristic Acid, Hydrogenated Ethylhexyl Olivate, Guar Gum, Organic Cold-Pressed Cannabis Sativa (Hemp) Oil, Pro-Vitamin B5 (Panthenol), Organic Lavandula Officinalis (Lavender) Oil, Organic Citrus Limonum (Lemon) Oil, Glucose, Glucose Oxidase, Lactoperoxidase
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Baja Baby,Baja Baby Unscented Shampoo & Wash,EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Glacial Water (Aqua), Coco Glucoside, Decyle Glucoside, Myristic Acid, Hydrogenated Ethylhexyl Olivate, Guar Gum, Organic Cold-Pressed Cannabis Sativa (Hemp) Oil, Pro-Vitamin B5 (Panthenol), Glucose, Glucose Oxidase, Lactoperoxidase
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
made of,"made of Baby Shampoo, Lavender",EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
Organic Soap Nut (Sapindus Mukorossi) Juice, Decyl Glucoside, Sodium Lauroyl Lactylate, Caprylhydroxamic Acid, Caprylyl Glycol, Organic Jojoba (Simmondsia Chinensis) Oil, Organic Comfrey (Symphytum Officinale) Oil, Organic Calendula (Calendula Officinalis) Extract, Potassium Citrate, Organic Sweet Orange (Citrus Sinensis) Essential Oil
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Aloe Baby Hair & Body Cleanser,EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
*Aloe Maculata Leaf Extract, **Decyl Glucoside, **Disodium Cocoyl Glutamate, **Palm Kernel/Coco Glucoside, *Camellia Japonica Seed Oil, *Lactobacillus/Maculata Leaf Aloe Barbadensis Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Rice Ferment Filtrate, *Helichrysum Italicum Extract, *Coix Lacryma-Jobi Ma-yuen Seed Extract, *Avena Sativa (Oat) Kernel Extract, *Rhodiola Rosea Root Extract, *Brassica Oleracea Italica (Broccoli) Extract, *Olea Europaea (Olive) Leaf Extract, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Cyamopsis Tetragonoloba (Guar) Gum, Sodium Chloride, Jasminum Grandiflorum (Jasmine) Oil, Salvia Officinalis (Sage) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Aniba Rosaeodora (Rosewood) Wood Oil.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use. Keep out of reach of children. Avoid contact with eyes.","EWG Verified,Product's animal testing policies,Unknown"
