Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
PUUR Ingrid,PUUR Ingrid Triple Treat Tonic,EWG Verified,Detangler,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Glycerin, Biosaccharide Gum-1, Lactic acid, Citric acid, Malic acid, Water, Saccharum officinarum (sugar cane) extract, Citrus limon (lemon) peel extract, Betaine, Gluconolactone, Sodium Benzoate, Calcium Gluconate, Aloe Barbadensis Leaf Juice, Cocoyl Proline, Citrus sinensis dulcis (Orange) peel oil.
Warnings from packaging:
Keep out of reach of children unless under adult supervision. For external use only","EWG Verified,Product's animal testing policies,Leaping Bunny"
Pipette,"Pipette Leave-in Detangler, Orange + Vanilla",EWG Verified,Detangler,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Lauryl Glucoside, Sodium Lauroamphoacetate, Glycerin, Citric Acid, Glycolipids, Squalane, Magnesium Chloride, Sodium Benzoate, Sodium Dehydroacetate, Sodium Gluconate
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
Proudly,"Proudly Defining Detangler & Refresher, Sweet Vanilla",EWG Verified,Detangler,,,,,"Ingredients from packaging:
Water (Aqua), Glycerin, Glyceryl Stearate Citrate, Simmondsia Chinensis (Jojoba) Seed Oil, Cocos Nucifera (Coconut) Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Oryza Sativa (Rice) Bran Extract, Althaea Officinalis (Marshmallow) Root Extract, Foeniculum Vulgare (Fennel) Seed Extract, Helianthus Annuus (Sunflower) Extract, Vanillin, Phospholipids, Sodium Hyaluronate, Hydrogenated Lecithin, Glyceryl Caprylate, Glyceryl Undecylenate, Triethyl Citrate, Ethyl Butyrate, Maltol, Dimethylhydroxy Furanone, Delta Decalactone, Polyglyceryl-3 Stearate, Sodium Stearoyl Glutamate, Potassium Sorbate, Citric Acid, Xanthan Gum, Sodium Gluconate, Propanediol, Tocopherol, Sodium Benzoate","EWG Verified,Product's animal testing policies,Leaping Bunny"
Clean Kids Naturally,Clean Kids Naturally Mango Mist Spray Detangler,EWG Verified,Detangler,,,,,"Ingredients from packaging:
AQUA, INFUSION OF ALOE BARBADENSIS LEAF JUICE, GLYCERIN, PHENOXYETHANOL, BETAINE, STEARYL ALCOHOL, GLYCOL STEARATE, SODIUM PHYTATE, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, SALVIA OFFICINALIS (SAGE) LEAF EXTRACT, MANGIFERA INDICA (MANGO) FRUIT EXTRACT, ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT, POTASSIUM SORBATE
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Leaping Bunny"
Boyzz Only,Boyzz Only No Nonsense Detangler,EWG Verified,Detangler,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Glycerin, Biosaccharide Gum-1, Glycoproteins, Lactic acid (and) Citric acid (and) Malic acid (and) Water (and) Saccharum officinarum (sugar cane) extract (and) Citrus limon (lemon) peel extract, Betaine, Gluconolactone (and) Sodium Benzoate (and) Calcium Gluconate, Water & Foeniculum vulgare (Fennel) Seed Extract, Aloe Barbadensis Leaf Juice, Citrus sinensis dulcis (Orange) peel oil, Simmondsia chinensis (Jojoba) seed oil, Vanilla planifolia fruit extract, Citrus aurantium amara (Neroli) oil, Cedrus atlantica (Cedarwood) Oil, Mentha spicata (Spearmint) Leaf Oil
Warnings from packaging:
Keep out of reach of children unless under adult supervision. For external use only.","EWG Verified,Product's animal testing policies,Leaping Bunny"
ATTITUDE,"ATTITUDE Natural Care Little Leaves Science Hair Detangler, Watermelon & Coco",EWG Verified,Detangler,,,,,"Ingredients from packaging:
Aqua/water/eau, glycerin, shea butter glycerides, PCA glyceryl oleate, sodium benzoate, potassium sorbate, hydrolyzed corn starch, beta vulgaris (beet) root extract, vaccinium angustifolium (blueberry/bleuet) leaf extract, maltodextrin, moringa oleifera seed extract, citric acid, triethyl citrate, decanal (fruit), dimethyl heptenal (fruit), gamma-nonalactone (coconut)
Warnings from packaging:
FOR EXTERNAL USE ONLY","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
ATTITUDE,"ATTITUDE Natural Care Little Leaves Science Hair Detangler, Vanilla & Pear",EWG Verified,Detangler,,,,,"Ingredients from packaging:
Aqua/water/eau, glycerin, shea butter glycerides, PCA glyceryl oleate, sodium benzoate, potassium sorbate, hydrolyzed corn starch, beta vulgaris (beet) root extract, vaccinium angustifolium (blueberry/bleuet) leaf extract, maltodextrin, moringa oleifera seed extract, citric acid, triethyl citrate, gamma-undecalactone (sweet fruit), hexyl acetate (fruit), vanillin
Warnings from packaging:
FOR EXTERNAL USE ONLY","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Naturalicious,Naturalicious Moroccan Rhassoul 5-in-1 Clay Treatment,01,Conditioner,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Moroccan Lava (Rhassoul) Clay, Deionized Water, Aloe Barbadensis Leaf Juice, Vegetable Glycerin, Cetearyl Alcohol (and) Polysorbate 60, Theobroma cacao (Cocoa) Seed Butter, Vitis Vinfera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Phenoxyethanol","Product's animal testing policies,Unknown"
T is for Tame,T is for Tame Taming Mist,02,Detangler,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Purified Water, Jojoba Oil, Stearic Acid, Coconut oil, 1,3-Propanediol, Glyceryl Stearate, Tapioca Starch, Glucono-lactone (and) Sodium Benzoate, Panthenol, Cetyl Alcohol, Cetearyl Alcohol, Dehydroxanthan Gum, Vanilla Fragrance Oil, Citric Acid, Sodium Hydroxide","Product's animal testing policies,Unknown"
Flawless by Gabrielle Union,"Flawless by Gabrielle Union, Hydrating Detangling Shampoo",03,Detangler,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER (AQUA, EAU), SODIUM LAUROYL METHYL ISETHIONATE, SODIUM LAUROAMPHOACETATE, COCAMIDE MIPA, CANOLA OIL, GLYCERIN, SODIUM CHLORIDE, CITRIC ACID, COCOS NUCIFERA (COCONUT) OIL, BUTYROSPERMUM PARKII (SHEA) BUTTER, PASSIFLORA EDULIS SEED OIL, ORYZA SATIVA (RICE) BRAN OIL, EUTERPE OLERACEA FRUIT OIL, MORINGA OLEIFERA SEED OIL, PLATONIA INSIGNIS SEED BUTTER, TOCOPHEROL, PANTHENOL, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, XANTHAN GUM, FRAGRANCE (PARFUM), PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, BENZYL BENZOATE","Product's animal testing policies,Unknown"
Briogeo,"Briogeo Be Gentle, Be Kind, Aloe + Oat Milk, Ultra Soothing Detangling Spray",03,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water/Aqua/Eau, Polyglyceryl-6 Stearate*, Isopropyl Palmitate*, Vitis Vinifera (Grape) Seed Oil*, Glycerin*, Limnanthes Alba (Meadowfoam) Seed Oil*, Aloe Barbadensis Leaf Juice*, Avena Sativa (Oat) Bran Extract*, Camellia Sinensis Leaf Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Cetrimonium Chloride*, Cetearyl Alcohol*, Panthenol, Leuconostoc/Radish Root Ferment Filtrate*, Glyceryl Stearate*, Polyglyceryl-6 Behenate*, Tocopheryl Acetate, Citric Acid*, Potassium Sorbate, Sodium Benzoate, Caprylhydroxamic Acid*, Benzyl Alcohol*","Product's animal testing policies,Leaping Bunny"
Luv Naturals,"Luv Naturals Hair Detangler, ""Don't Be So Clingy""",03,Detangler,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Aloe barbadensis (Organic Aloe) Juice, Behentrimonium Methosulfate, Cetearyl Alcohol, Citrus sinensis (Orange, Sweet) Essential Oil, Ulmus fulva (Slippery Elm) Extract, Kosher Vegetable Glycerin, Mangifera indica (Mango) Butter, Corylus avellana (Hazelnut) Oil, Olea europaea (Organic Olive) Extra Virgin Oil, Helianthus annuus (Sunflower) Oil, Cocos nucifera (Coconut) Organic Oil, Brassica oleracea italica (Broccoli) Seed Oil, Mica, Phenoxyethanol, Caprylyl Glycol, Sorbic Acid","Product's animal testing policies,Unknown"
,Cvs Pharmacy Hair Detangling Spray,03,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BEHENTRIMONIUM METHOSULFATE, SODIUM BENZOATE, DIMETHICONE, HYDROXYETHYL BEHENAMIDOPROPYL DIMONIUM CHLORIDE, POLYSORBATE 20, CETEARYL ALCOHOL, CETETH - 10, LAURETH-4, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN","Product's animal testing policies,Unknown"
Flora &amp; Curl,"Flora & Curl Leave-in Detangler, Organic Rose & Honey",03,Conditioner,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Aqua (Distilled Water), Rosa Damascena (Organic Rose Damask) Flower Water*, Behentrimonium Methosulfate***, Hydroxypropyltrimonium (Honey), Cocos Nucifera (Organic Coconut) Oil*, Cetearyl Alcohol, Panthenol (Pro-Vitamin B5), Calendula Officinalis (Calendula) Flower Extract, Cananga Odorata (Ylang Ylang) Flower Oil, Phenoxyethanol, Ethylhexylglycerin, Vegetable Glycerin, Avena Sativa Meal (Oat Silk) Extract, Sodium Benzoate, Potassium Sorbate, Litsea Cubeba (May Chang) Flower Oil, Tocopherol (Vitamin E), Benzyl Benzoate**, Benzyl Salicylate**, Linalool**, Citral**, Geraniol**, Limonene**","Product's animal testing policies,Unknown"
amika,Amika the wizard silicone-free detangling hair primer,03,Detangler,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
isododecane, isopropyl palmitate, isohexadecane, ethylhexyl olivate, hippophae rhamnoides (sea buckthorn/argousier) fruit/seed oil, squalane, persea gratissima (avocado/avocat) oil, tocopheryl acetate, fragrance/parfum","Product's animal testing policies,Unknown"
