Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Nair,Nair Spa Sugar Hair Remover,01,Hair Removal Waxes,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
GLUCOSE, GLYCERIN, SUCROSE, CITRIC ACID, WATER, ROSE DAMASCENA FLOWER EXTRACT","Product's animal testing policies,PETA: Companies That Do Test on Animals"
Gigi,Gigi Spa HONEY WAX WITH ARGAN OIL,01,Hair Removal Waxes,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Rosinate, Paraffinum Liquidum (Mineral Oil), Argania Spinosa Kernel Oil","Product's animal testing policies,Unknown"
Gigi,Gigi Azulene Wax,01,Hair Removal Waxes,LOW,LOW,LOW,LOW,"Ingredients from packaging:
HYDROGENATED C6-20 POLYOLEFIN, PARAFFINUM LIQUIDUM, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, AZULENE.","Product's animal testing policies,Unknown"
Gigi,Gigi Spa ZINC OXIDE INFUSED ULTRA SENSITIVE WAX,02,Hair Removal Waxes,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Rosinate, Mineral Oil (Paraffinum Liquidum, Huile Min rale), Calendula Officinalis Flower Extract, Chamomila Recutita (Matricaria) Flower Extract, Carthamus Tinctorius (Safflower) Seed Oil, Polyester-3, Silica, Mica, Zinc Oxide, Aluminum Hydroxide, Titanium Dioxide (CI77891)","Product's animal testing policies,Unknown"
Marcella Ellis,Marcella Ellis Pro Corporation HAIR TAMING WAX STICK,02,Hair Removal Waxes,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water, Beeswax, Paraffin Wax, Argania Spinosa Kernel (Argan) Oil, Microcrystalline Wax, Glycerol Stearate, Bentonite, Hydrolysis Silk, Hydroxy, Benzoate, DMDM","Product's animal testing policies,Unknown"
,No Mo Unibrow Portable Hair Removal Kit,03,Hair Removal Waxes,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
COLOPHONIUM, HYDROGENATED GLYCEROL ROSIN ESTER, HYDROGENATED MICROCRYSTALLINE WAX, PARAFFINUM LIQUIDUM, VITIS VINIFERA (GRAPE) SEED OIL, BISABOLOL, TOCOPHERYL ACETATE (VITAMIN E),WATER, ALOE BARBADENSIS EXTRACT, CARBOMER, MENTHOL, SORBITOL, AMINOMETHYL PROPANOL, PHENOXYETHANOL","Product's animal testing policies,Unknown"
Clean+Easy,Clean+Easy ACAI BERRY HARD WAX,03,Hair Removal Waxes,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Rosinate, Triethylene Glycol Rosinate, Beeswax (Cera Alba, Cire d'abeille), Ethylene/VA Copolymer, Euterpe Oleracea Fruit Oil, Lanolin, Fragrance (Parfum), Azulene","Product's animal testing policies,PETA Cruelty-free Companies"
,Goodline Grooming Co. Moustache Style + Hold Wax Kit,03,Hair Removal Waxes,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER (AQUA), BEESWAX (CERA ALBA), SODIUM LAUROYL LACTYLATE, GLYCERYL STEARATE, FLAVOR, GLYCERIN, CETEARYL ALCOHOL, SODIUM STEAROYL LACTYLATE, ETHYLHEXYLGLYCERIN, HEXYLENE GLYCOL, CAPRYLYL GLYCOL, DISODIUM EDTA, PHENOXYETHANOL, PEG-90M.","Product's animal testing policies,Unknown"
Gigi,Gigi All Purpose Hair Removal Hard Wax,03,Hair Removal Waxes,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
ROSIN (COLOPHONIUM, COLOPHANE), GLYCERYL ROSINATE, BEESWAX (CERA ALBA), METHYL HYDROGENATED ROSINATE, GLYCERIN, PARAFFIN, ETHYLHEXYL PALMITATE, HONEY EXTRACT (MEL EXTRACT), GLYCINE SOJA (SOYBEAN) OIL, CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL, POLYESTER-3, SILICA, ALUMINUM HYDROXIDE (CI 77002), TITANIUM DIOXIDE (CI77891)","Product's animal testing policies,Unknown"
Gigi,Gigi Spa NO STING WAX,03,Hair Removal Waxes,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Hydrogenated Rosinate, Dipropylene Glycol Dibenzoate, Piper Methysticum Root Extract, Eugenia Caryophyllus (Clove) Leaf Oil, Polyester-3, Silica, Aluminum Hydroxide, Iron Oxides (CI 77491), Titanium Dioxide (CI 77891)","Product's animal testing policies,Unknown"
