Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Soap, Citrus",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, Citrus Aurantium Dulcis (Orange) Peel Oil, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantifolia (Lime) Oil, Sea Salt, Citric Acid, Tocopherol, Citral, Linalool, Limonene","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Carolina Castile Soap,"Carolina Castile Soap Gentle Castile Soap, Unscented",EWG Verified,Body Wash/Cleanser,,,,,"Ingredients from packaging:
Water (Aqua), Olea Europaea Fruit Oil, Cocos Nucifera Oil, Potassium Hydroxide*, Theobroma Cacao (Cocoa) Seed Butter**, Aleurites Moluccana (Kukui Nut) Seed Oil, Citric Acid and Tocopherol (Vitamin E).
Warnings from packaging:
Caution: For external use only. Keep out of eyes. If eye contact occurs, flush eyes with water for 15 minutes. See a doctor if irritation continues. Not recommended for traditional pump dispensers as a clog can occur resulting in a pressurized squirt of soap. Works best in foam dispensers. Clouds in cold temperatures. Place in warm water/air and shake gently to clear.","EWG Verified,Product's animal testing policies,Unknown"
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Soap, Lavender",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, Lavandula Hybrida Oil/Extract, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Lavandula Angustifolia (Lavender) Oil/Extract, Sea Salt, Citric Acid, Tocopherol, Geraniol, Linalool, Limonene","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Soap, Peppermint",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, Mentha Arvensis Leaf Oil, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Mentha Piperita Oil, Sea Salt, Citric Acid, Tocopherol, Limonene","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Dr. Bronner&#39;s,"Dr. Bronner's 4-in-1 Organic Sugar Soap, Tea Tree",EWG Verified,Body Wash/Cleanser,,,,,"Ingredients from packaging:
Sucrose, Vitis Vinifera (Grape) Juice, Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Kernel Oil, Potassium Hydroxide, Olea Europaea (Olive) Fruit Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Acacia Concinna (Shikakai) Fruit Powder, Citric Acid, Tocopherol, Limonene
Warnings from packaging:
CAUTION! Keep out of eyes: wash with water 15 min. and consult a physician if irritation persists. DO NOT REFILL with Dr. Bronner's 18-in-1 Pure-Castile Liquid Soaps, which can clog the dispenser and spurt soap. In this formula, the shikakai extracted in organic natural sugars also keeps th epump from clogging. Don't drink soap!","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Boyzz Only,Boyzz Only No Nonsense Hair & Body Wash,EWG Verified,Body Wash/Cleanser,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Lauryl Glucoside, Decyl Glucoside, Carthamus Tinctorius (Safflower) Oleosomes (and) Aqua, Glycerin, Cocamidopropyl Betaine, Hydrolyzed Rice Protein, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Gluconolactone (and) Sodium Benzoate (and) Calcium Gluconate, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Jojoba Esters (&) Water (Aqua), Xanthan Gum, Oryza Sativa (Rice) Bran Oil, Euterpe Oleracea Fruit Oil, Carrageenan, Tocopherol
Warnings from packaging:
Keep out of reach of children unless under adult supervision. For external use only.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Soap for Goodness Sake,"Soap for Goodness Sake Shampoo and Body Bar, Shea Butter",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Saponified Organic Sunflower Oil ((Sodium Sunflower Seedate), Saponified Organic Palm Kernel Oil (Sodium Palm Kernelate), Saponified Organic Coconut Oil (Sodium Cocoate), Distilled Water, Organic Butyrospermum Parkii (Shea Butter), Organic Avena Sativa (Oat) Kernel Meal,
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Unknown"
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Soap, Tea Tree",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, Melaleuca Alternifolia (Tea Tree) Leaf Oil/Extract, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sea Salt, Citric Acid, Tocopherol, Linalool, Limonene","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Soap for Goodness Sake,Soap for Goodness Sake Babassu Shampoo and Body Bar,EWG Verified,Body Wash/Cleanser,,,,,"Ingredients from packaging:
Saponified Expeller Pressed Babassu Oil (Orbignya Oleifera Oil), Distilled Water,
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Unknown"
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Bar Soap, Almond",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, [[DISCLOSED FRAGRANCE]]**, Sea Salt, Citric Acid, Tocopherol, Benzyl Alcohol, Limonene **COMPONENTS: benzaldehyde","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Dr. Bronner&#39;s,"Dr. Bronner's 4-in-1 Organic Sugar Soap, Lavender",EWG Verified,Body Wash/Cleanser,,,,,"Ingredients from packaging:
Sucrose, Vitis Vinifera (Grape) Juice, Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Kernel Oil, Potassium Hydroxide, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Lavandula Angustifolia (Lavender) Oil, Acacia Concinna (Shikakai) Fruit Powder, Citric Acid, Tocopherol, Geraniol, Linalool, Limonene
Warnings from packaging:
CAUTION! Keep out of eyes: wash with water 15 min. and consult a physician if irritation persists. DO NOT REFILL with Dr. Bronner's 18-in-1 Pure-Castile Liquid Soaps, which can clog the dispenser and spurt soap. In this formula, the shikakai extracted in organic natural sugars also keeps th epump from clogging. Don't drink soap!","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Pipette,"Pipette Daily Nourishing Shampoo, Orange + Vanilla",EWG Verified,Shampoo,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Coco-Glucoside, Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Lauroyl Methyl Isethionate, Chenopodium Quinoa Seed Extract, Panthenol, Squalane, Vanillin, Sorbitan Oleate Decylglucoside Crosspolymer, Citrus Aurantium Dulcis (Orange) Oil, Tocopherol, Caprylic/Capric Triglyceride, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Sodium Dehydroacetate, Sodium Benzoate, Limonene
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,"ATTITUDE Super Leaves Shampoo & Body Wash 2-in-1, Scalp Care",EWG Verified,Body Wash/Cleanser,,,,,"Ingredients from packaging:
Â Aqua/water/eau, sodium coco-sulfate, coco-glucoside, vegetable glycerin, sodium cocoyl isethionate, decyl glucoside, lauryl glucoside, stearyl citrate, citric acid, panthenol (vitamin B5), sodium benzoate, inulin, potassium sorbate, nasturtium officinale (watercress/cresson) extract, tropaeolum magus (indian cress/capucine) extract, maltodextrin, moringa pterygosperma seed extract, salix nigra (willow) bark extract, populus tremuloides (aspen) bark extract, triethyl citrate, ethyl 2-methylbutyrate (fruit), allyl caproate (fruit).
Warnings from packaging:
FOR EXTERNAL USE ONLY.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
ATTITUDE,"ATTITUDE Super Leaves Shampoo, Color Protection",EWG Verified,Shampoo,,,,,"Ingredients from packaging:
Aqua/water/eau, sodium coco-sulfate, coco-glucoside, vegetable glycerin, sodium cocoyl isethionate, citric acid, panthenol (vitamin B5), glyceryl oleate, sodium benzoate, inulin, potassium sorbate, nasturtium officinale (watercress/cresson) extract, tropaeolum magus (Indian cress/capucine) extract, maltodextrin, moringa oleifera seed extract, punica granatum (pomegranate/grenade) extract, persea gratissima (avocado) oil, gamma-undecalactone (fruit), allyl caproate (fruit), ionone (floral).
Warnings from packaging:
FOR EXTERNAL USE ONLY.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Avalon Organics,Avalon Organics Smooth Shine Apple Cider Vinegar Shampoo,EWG Verified,Shampoo,,,,,"Ingredients from packaging:
Aloe Barbadensis Leaf Juice(1), Aqua (Water), Coco-Glucoside, Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin, Sorbitan Oleate Deglycoside Crosspolymer, Xanthan Gum, Argania Spinosa Kernel Oil(1), Cinnamomum Camphora (Camphor) Bark Oil, Cinnamomum Zeylanicum Leaf Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Orbignya Oleifera (Babassu) Seed Oil(1), Brassica Oleracea Italica (Broccoli) Seed Extract(1), Calendula Officinalis Flower Extract(1), Chenopodium Quinoa Seed(1), Pyrus Malus (Apple) Vinegar(1), Urtica Dioica (Nettle) Leaf Extract(1), Tocopheryl Acetate, Caprylic/Capric Triglyceride, Citric Acid, Ethyl Acetoacetate, Inulin(1), Gamma-Undecalactone, Sodium Chloride, Alcohol(1), Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate, Amyl Cinnamal
Warnings from packaging:
CAUTION: For external use only. Avoid contact with eyes. Keep out of reach of children.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Avalon Organics,AVALON ORGANICS Volumizing Rosemary SHAMPOO,EWG Verified,Shampoo,,,,,"Ingredients from packaging:
Aloe Barbadensis Leaf Juice (1), Water (Aqua), Sodium Coco-Sulfate, Sodium Laurylglucosides Hydroxypropylsulfonate, Decyl Glucoside, Cedrus Atlantica Bark Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Copaifera Officinalis (Balsam Copaiba) Resin, Coriandrum Sativum (Coriander) Fruit Oil, Geranium Maculatum Oil, Lavandula Angustifolia (Lavender) Oil, Pogostemon Cablin Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Calendula Officinalis Flower Extract(1), Chamomilla Recutita (Matricaria) Flower Extract (1) , Chenopodium Quinoa Seed (1), Rosmarinus Officinalis (Rosemary) Leaf Extract(1), Styrax Benzoin Resin Extract, Tocopheryl Acetate, Babassu Oil Polyglyceryl-4 Esters, Bisabolol, Citric Acid, Coco-Glucoside, Glyceryl Oleate, Inulin (1), Sodium Chloride, Sodium Phytate, Sodium Sulfate, Alcohol, Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate
Warnings from packaging:
CAUTION: For external use only. Avoid contact with eyes. Keep out of reach of children.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Dr. Bronner&#39;s,"Dr. Bronner's All One Hemp Pure Castile Soap, Rose",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil, Elaeis Guineensis (Palm) Oil, Sodium Hydroxide, Aqua, [[DISCLOSED FRAGRANCE]]**, Olea Europaea (Olive) Fruit Oil, Cannabis Sativa (Hemp) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sea Salt, Citric Acid, Tocopherol, Geraniol, Citronellol, Limonene **COMPONENTS: Pelargonium Graveolens (Geranium) Oil, Artemisia Pallens (Davana) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Juniperus Communis (Juniper Berry) Fruit Oil, Rosa Damascena (Rose) Flower Extract","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
ATTITUDE,"ATTITUDE Little Leaves 2-in-1 Shampoo & Body Wash, Mango",EWG Verified,Body Wash/Cleanser,,,,,"Ingredients from packaging:
Aqua / water / eau, sodium coco-sulfate, coco glucoside, vegetable glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, inulin, maltodextrin, moringa oleifera seed extract, cyamopsis tetragonoloba (guar) gum, dimethyl heptenal (fruit), gamma-undecalactone (sweet fruit), pentadecalactone (fruit).
Warnings from packaging:
FOR EXTERNAL USE ONLY.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
ATTITUDE,"ATTITUDE Super Leaves Curl Amplifying Shampoo, Coconut Oil",EWG Verified,Shampoo,,,,,"Ingredients from packaging:
Aqua/water/eau, sodium coco-sulfate, coco-glucoside, vegetable glycerin, sodium cocoyl isethionate, glyceryl oleate, guar hydroxypropyltrimonium chloride, citric acid, panthenol (vitamin B5), cocos nucifera (coconut/noix de coco) oil, chamomilla recutita (matricaria) flower extract, nasturtium officinale (watercress/cresson) extract, tropaeolum majus (Indian cress/capucine) extract, maltodextrin, moringa oleifera seed extract, sodium benzoate, potassium sorbate, sodium PCA, sodium chloride, triethyl citrate, methylbenzyl acetate (sweet fruit), vanillin.
Warnings from packaging:
For external use only.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
ATTITUDE,"ATTITUDE Leaves Bar Detox Shampoo, Sea Salt",EWG Verified,Bar Soap,,,,,"Ingredients from packaging:
Sodium cocoyl isethionate, stearic acid, cocos nucifera (coconut) oil, theobroma cacao (cocoa) seed butter, sodium coco-sulfate, simmondsia chinensis (jojoba) seed oil, illite, glycerin, panthenol, inulin, nasturtium officinale (watercress / cresson) extract, tropaeolum majus (Indian cress / capucine) extract, [[DISCLOSED FRAGRANCE]]**
**COMPONENTS: phenethyl alcohol, linalyl acetate, pentadecalactone, methyldihydrojasmonate, triethyl citrate
Warnings from packaging:
FOR EXTERNAL USE ONLY.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
