Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Qet Botanicals,Qet Botanicals Nutri-Pomade & Mask with Shea & Coconut,EWG Verified,Conditioner,,,,,"Ingredients from packaging:
Butyrospermum Parkii (Raw, Unrefined Shea Butter) Fruit*, Cocos Nucifera (Unrefined Coconut) Oil, Lavandula Angustifolia (Lavender) Flower Oil*, Tocopherol (Non-GMO Vitamin E), Pelargonium Graveolens (Geranium) Flower Oil*, Rosmarinus Officinalis (Rosemary) Flower Oil*. *Organic Ingredient
Warnings from packaging:
If you have a negative reaction, discontinue use and consult with a health professional.","EWG Verified,Product's animal testing policies,Unknown"
Sexy Hair,Sexy Hair STYLE SEXYHAIR HARD UP HARD HOLDING GEL,01,Styling Gel/Lotion,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Bis-Diglyceryl Polyacryladipate-2, Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire de Carnauba, PVP, Lanolin Wax/Lanolin Cera/Cire de Lanoline, Glycerin, VP/VA Copolymer, Ceteareth-25, Ozokerite, Mineral Oil/Paraffinum","Product's animal testing policies,Unknown"
Carina Organics,"Carina Organics Alcohol-Free Styling Gel, Sweet Pea",01,Styling Gel/Lotion,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Filtered Aqua, Acacia senegal (gum) extract, Pinus banksiana (pine) extract, Matricaria chamomilla (chamomile) flower extract, Urtica dioca (nettle) leaf extract, Taraxacum officinale (dandelion) leaf extract, Trifolium pratense (clover) flower extract, Lathyrus odoratus (sweet pea) flower extract, Olea europaea (olive) fruit oil, Cucurbita pepo (pumpkin) seed oil.","Product's animal testing policies,Unknown"
,Layrite Natural Matte Cream,01,Styling Gel/Lotion,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, C12-15 ALKYL BENZOATE, PETROLATUM, OZOKERITE MICROCRYSTALINE WAX, CETEARYL ALCOHOL, GLYCERYL STEARATE, PEG-100 STEARATE, COPERNICA CERIFERA WAX, KAOLIN, VP/VA COPOLYMER, DISTEARATE, PHENOXYETHANOL,PEG-2 STEARATE, STEARIC ACID, PEG-4, COUMAIN.","Product's animal testing policies,Unknown"
Fresh Monster,"Fresh Monster Hair Styling Gel, Medium Hold",01,Styling Gel/Lotion,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, VP/VA Copolymer, PEG-8, PEG-12 Dimethicone, PPG-5 Ceteth-20, Panthenol, Phenoxyethanol, Sodium Carbomer, Ethylhexylglycerin","Product's animal testing policies,Unknown"
Carina Organics,"Carina Organics Alcohol-Free Styling Gel, Unscented",01,Styling Gel/Lotion,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Filtered Aqua, Acacia senegal (gum) extract, Pinus banksiana (pine) extract, Matricaria chamomilla (chamomile) flower extract, Urtica dioca (nettle) leaf extract, Taraxacum officinale (dandelion) leaf extract, Trifolium pratense (clover) flower extract, Olea europaea (olive) fruit oil, Cucurbita pepo (pumpkin) seed oil.","Product's animal testing policies,Unknown"
American Crew,American Crew Boost Powder,02,Styling Gel/Lotion,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Aqua/Water/Eau, Propylene Glycol, Silica Silylate, Citric Acid, Sodium Benzoate","Product's animal testing policies,Unknown"
,Nature's Brands Organic Hair Gel,02,Styling Gel/Lotion,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Purified water, organic vodka, organic guar gum (natural plant based), organic sweet orange oil, organic lemongrass oil, organic olive oil, organic apple cider vinegar (raw, unfiltered), organic green tea, organic sage herb, organic bilberry leaf, xanthan gum (natural gum), organic patchouli oil, organic primrose oil, organic thyme oil, organic rosehip oil.","Product's animal testing policies,Unknown"
Public Goods,Public Goods Wax Pomade,02,Styling Gel/Lotion,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water (aqua), copernicia cerifera (carnauba) wax, prunus amygdalus dulcis (sweet almond) oil, beeswax, hydrogenated vegetable oil, cetearyl alcohol, ceteareth-20, lanolin wax, disopropyl adipate, sodium polystyrene sulfonate, glycerin, neopentyl glycol dicaprylate, tridecyl stearate, tridecyl trimellitate, neopentyl glycol dicaprylate/dicaprate, hydrogenated vegetable glycerides citrate, cocos nucifera (coconut) oil, propanediol, stearic acid, bentonite, phenoxyethanol, capryl glycol, titanium dioxide and l-arginine","Product's animal testing policies,Unknown"
,"London Ivy Luxe Pomade, Smooth Operator",02,Styling Gel/Lotion,LOW,HIGH,MODERATE,LOW,"Ingredients from packaging:
Castor Seed Oil , Rice Bran Oil , Extra Virgin Olive Fruit Oil , Avocado Oil , Jojoba Seed Oil , Beeswax , Peppermint*, Lemongrass Oil*, Vitamin E [For External Use Only]","Product's animal testing policies,Unknown"
