Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Sexy Hair,Sexy Hair BIG SEXYHAIR BIG ALTITUDE BODIFYING BLOW DRY MOUSSE,01,Styling Mousse/Foam,LOW,LOW,LOW,LOW,"Ingredients from packaging:
PEG/PPG-17/18 Dimethicone, Steareth-21, Polyquaternium-46, VP/Methacrylamide/Vinyl Imidazole Copolymer, Polysorbate 20, Ethyltrimonium Chloride Methacrylate/Hydrolyzed Wheat Protein Copolymer, PEG-12 Dimethicone, Tapioca Starch","Product's animal testing policies,Unknown"
Palladio,"Palladio Brow Obsessed Fiber Mousse, Medium/Dark",02,Styling Mousse/Foam,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Water/Aqua, Alcohol Denat., VP/VA Copolymer, Glycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Nylon-6, Sodium Hydroxide, Galactoarabinan, Disodium EDTA, Mica, Tropolone, Silica, , [+/-(May Contain/Puede Contener/Peut Contenir): Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891)]","Product's animal testing policies,Unknown"
Palladio,"Palladio Brow Obsessed Fiber Mousse, Light/Medium",02,Styling Mousse/Foam,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Water/Aqua, Alcohol Denat., VP/VA Copolymer, Glycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Nylon-6, Sodium Hydroxide, Galactoarabinan, Disodium EDTA, Mica, Tropolone, Silica, , [+/-(May Contain/Puede Contener/Peut Contenir): Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891)]","Product's animal testing policies,Unknown"
,Peculiar Roots Flaxseed Mousse,02,Styling Mousse/Foam,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Water (Eau), Hydrolyzed Flax Seed, Rosa Damascena (Rose) Flower Water, Carica Papaya (Papaya) Fruit Extract, Decyl Glucoside, Cocamidopropyl Betaine,
Aloe Barbadensis (Aloe Vera) Leaf Juice, Hydroxypropyltrimonium Honey, Phenoxyethanol, Polysorbate-80, VP/VA Copolymer, Hydrolyzed Silk Protein","Product's animal testing policies,Unknown"
JOHN MASTERS ORGANICS,John Masters Organics Volumizing Foam with Quinoa & Acacia Gum,03,Styling Mousse/Foam,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Aloe Barbadensis Leaf Juice (Aloe Vera)*, Water, Glycerin, Caprylyl/Capryl Glycoside, Alcohol, Pullulan, Decyl Glucoside, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Boswellia Carterii Oil (Frankincense)*, Hydrolyzed Soy Protein, Hydrolyzed Quinoa, Quillaja Saponaria Wood Extract*, Cucurbita Pepo (Pumpkin) Seed Oil*, Vaccinium Macrocarpon (Cranberry) Seed Oil, Camellia Sinensis Leaf Extract (Green Tea), Sodium Surfactin, Sodium Cocoyl Glutamate, Glyceryl Caprylate, Polyglyceryl-6 Oleate, Trehalose, Babassuamidopropyl Betaine, Acacia Senegal Gum*, Galactoarabinan, Sorbitol, Dehydroacetic Acid, Benzyl Alcohol, Citric Acid, Limonene , Linalool","Product's animal testing policies,PETA Cruelty-free Companies"
Suave,Suave Volumizing Max Hold 8 Mousse,04,Styling Mousse/Foam,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER (AQUA), ISOBUTANE, DIMETHYL ETHER, POLYQUATERNIUM-4, PROPANE, SODIUM BENZOATE, COCAMIDOPROPYL BETAINE, GLYCERIN, STEARETH-2, FRAGRANCE (PARFUM), DIMETHICONOL, TOCOPHEROL, PANTHENOL, CITRONELLOL, HEXYL CINNAMAL, LIMONENE, LINALOOL.","Product's animal testing policies,Unknown"
Aussie,"Aussie Headstrong Volume Mousse, Maximum Hold",04,Styling Mousse/Foam,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Water, Isobutane, Polyquaternium-4, Propane, Terminalia Ferdinandiana Fruit Extract, Bambusa Vulgaris Shoot Extract, Vitis Vinifera (Grape) Seed Extract, Fragrance, Propylene Glycol, C9-11 Pareth-8, DMDM Hydantoin, Disodium EDTA, Citric Acid","Product's animal testing policies,PETA Cruelty-free Companies"
Ion,Ion Styling Mousse,04,Styling Mousse/Foam,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, PROPANE, BUTANE, POLYQUATERNIUM-4, CETETH-10, PHENOXYETHANOL, CORN STARCH-MODIFIED, CAPRYLYL GLYCOL, PANTHENOL, LAURETH-4, OLETH-10, FRAGRANCE, PROPYLENE GLYCOL, QUATERNIUM-80, PEG-12 DIMETHICONE, HYDROLYZED KERATIN, PVP, BUTYLENE GLYCOL, LAVANDULA ANGUSTIFOLIA (LAVENDER) EXTRACT, ETHYLHEXYLGLYCERIN, CITRAL, LINALOOL","Product's animal testing policies,Unknown"
,Purezero Zero Mousse Natural Hair Care,04,Styling Mousse/Foam,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, POLYQUATERNIUM-69, VP/VA COPOLYMER, DECYL GLUCOSIDE, SODIUM LAUROYL LACTYLATE, FRAGRANCE, PHENOXYETHANOL, ETHYLXYLGLYCERIN, POLYSORBATE 20.","Product's animal testing policies,Unknown"
Shine,Shine 'N Jam Magic Fingers Setting Mousse for Braiders,04,Styling Mousse/Foam,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
AQUA, ISOBUTANE, PROPANE, ZEA MAYS (CORN) STARCH, POLYQUATERNIUM-11, POLYQUATERNIUM-4, PEG-6 COCAMIDE, METHYLPARABEN, AMMONIUM LAURYL SULFATE, POLYQUATERNIUM-10, PERSEA GRATISSIMA (AVOCADO) OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, TRITICUM VULGARE (WHEAT) GERM OIL, AMINOMETHYL PROPANOL, FRAGRANCE.","Product's animal testing policies,Unknown"
