Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Olivarrier,Olivarrier Baby Organic Ground Squ Squ Lotion,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Caprylic/Capric Triglyceride, Camellia Sinensis Leaf, Butyrospermum Parkii (Shea) Butter, Salvia Hispanica Seed Oil, Cetyl Palmitate, Sclerotium Gum, Arachidyl Alcohol, Sorbitan Olivate, Sorbitan Palmitate, Behenyl Alcohol, Olea Europaea (Olive) Fruit Oil, Arachidyl Glucoside, Squalane, Persea Gratissima (Avocado) Oil, Calendula Officinalis Flower Extract, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Iris Florentina Root Extract, Vegetable Oil, Argania Spinosa Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Citric Acid, Glucose, Propanediol, Ceramide NP, Phytosphingosine, Glyceryl Caprylate, Centella Asiatica Extract
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously.
A) Symptoms such as red spots, swelling, itching or irritation during the use.
B) The above symptoms on the applied part due to direct sunlight.
2. Do not use the product on the part with a scar, eczema or dermatitis.
3. Precautions at Storage & Handling.
A) Close the cover after use.
B) Keep out of reach of the children.
C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Wash All Barrier Relief,EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Water, Rosa Damascena Flower Water, Glycerin, Lauryl Glucoside, Coco-Betaine, Decyl Glucoside, Sodium Chloride, Sodium Cocoamphoacetate, Usnea Barbata (Lichen) Extract, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Hippophae Rhamnoides Fruit Extract, Rosa Canina Fruit Oil, Adansonia Digitata Seed Oil, Brassica Oleracea Italica (Broccoli) Seed Oil, Argania Spinosa Kernel Oil, Solanum Lycopersicum (Tomato) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Centella Asiatica Extract, Squalane, Persea Gratissima (Avocado) Oil, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Calendula Officinalis Flower Extract, Butyrospermum Parkii (Shea) Butter, Ceramide NP, Phytosphingosine, Citric Acid
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously. A) Symptoms such as red spots, swelling, itching or irritation during the use. B) The above symptoms on the applied part due to direct sunlight. 2. Do not use the product on the part with a scar, eczema or dermatitis. 3. Precautions at Storage & Handling. A) Close the cover after use. B) Keep out of reach of the children. C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Baby Organic Ground Squ Squ Oil,EWG Verified,Baby Oil,,,,,"Ingredients from packaging:
Squalane, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Salvia Hispanica Seed Oil*
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously.
A) Symptoms such as red spots, swelling, itching or irritation during the use.
B) The above symptoms on the applied part due to direct sunlight.
2. Do not use the product on the part with a scar, eczema or dermatitis.
3. Precautions at Storage & Handling.
A) Close the cover after use.
B) Keep out of reach of the children.
C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Baby Organic Ground Cactus Soothing Cream,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
Water, Glycerin, Pentylene Glycol, Camellia Sinensis Leaf, Sclerotium Gum, Cetearyl Olivate, Sorbitan Olivate, Hippophae Rhamnoides Fruit Extract, Caprylic/Capric Triglyceride, Aloe Barbadensis Leaf Extract, Opuntia Humifusa Flower/Stem Extract, Xanthan Gum, Adansonia Digitata Seed Oil, Citric Acid, Olea Europaea (Olive) Fruit Oil, Calendula Officinalis Flower Oil, Butyrospermum Parkii (Shea) Butter, Oenothera Biennis (Evening Primrose) Oil, Rosa Canina Fruit Oil, Brassica Oleracea Italica (Broccoli) Seed Oil, Vegetable Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Ceramide NP, Phytosphingosine, Rosmarinus Officinalis (Rosemary) Leaf Extract
Warnings from packaging:
Precautions for use :
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously.
A) Symptoms such as red spots, swelling, itching or irritation during the use.
B) The above symptoms on the applied part due to direct sunlight.
2. Do not use the product on the part with a scar, eczema or dermatitis.
3. Precautions at Storage & Handling.
A) Close the cover after use.
B) Keep out of reach of the children.
C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Dual Moist Toning Lotion,EWG Verified,Toners/Astringents,,,,,"Ingredients from packaging:
Water, Pentylene Glycol, Glycerin, Camellia Sinensis Leaf, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Propanediol, Betaine, Xanthan Gum, Artemisia Annua Extract, Camellia Sinensis Leaf Extract, Azadirachta Indica Leaf Extract, Polyglutamic Acid, Citric Acid, Glyceryl Caprylate, Centella Asiatica Extract, Squalane
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously. A) Symptoms such as red spots, swelling, itching or irritation during the use. B) The above symptoms on the applied part due to direct sunlight. 2. Do not use the product on the part with a scar, eczema or dermatitis. 3. Precautions at Storage & Handling. A) Close the cover after use. B) Keep out of reach of the children. C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Baby Organic Ground Top to Toe Wash,EWG Verified,Baby Soap,,,,,"Ingredients from packaging:
Water, Lauryl Glucoside, Glycerin, Pentylene Glycol, Coco-betaine, Camellia Sinensis Leaf, Decyl Glucoside, Sodium Chloride, Sodium Cocoamphoacetate, Citric Acid, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Iris Florentina Root Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Cucumis Melo (Melon) Fruit Extract, Hippophae Rhamnoides Fruit Extract, Vegetable Oil, Squalane, Simmondsia Chinensis (Jojoba) Seed Oil, Salvia Hispanica Seed Oil, Persea Gratissima (Avocado) Oil, Helianthus Annuus (Sunflower) Seed Oil, Argania Spinosa Kernel Oil, Olea Europaea (Olive) Fruit Oil, Calendula Officinalis Flower Extract, Butyrospermum Parkii (Shea) Butter, Rosmarinus Officinalis (Rosemary) Leaf Extract, Ceramide NP, Phytosphingosine
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously.
A) Symptoms such as red spots, swelling, itching or irritation during the use.
B) The above symptoms on the applied part due to direct sunlight.
2. Do not use the product on the part with a scar, eczema or dermatitis.
3. Precautions at Storage & Handling.
A) Close the cover after use.
B) Keep out of reach of the children.
C) Do not store in a place of high temperature, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Fluid Oil,EWG Verified,Facial Moisturizer/Treatment,,,,,"Ingredients from packaging:
Squalane (Olive Squalane)
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deteriorate if used continuously. A) Symptoms such as red spots, swelling, itching or irritation during the use B) The above symptoms on the applied part due to direct sunlight 2. Do not use the product on the part with a scar, eczema or dermatitis 3. Precautions at Storage & Handling A) Close the cover after use B) Keep out of reach of the children","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Dual Moist comfort cream,EWG Verified,Facial Moisturizer/Treatment,,,,,"Ingredients from packaging:
Water, Glycerin, Cetearyl Olivate, Pentylene Glycol, Sorbitan Olivate, Squalane, Hydrolyzed Hyaluronic Acid, Centella Asiatica Extract, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis Flower, Tocopherol, Xanthan Gum, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Zanthoxylum Piperitum Fruit
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deter -iorate if used continuously. A) Symptoms such as red spots, swelling, itching or irritation during the use. B) The above symptoms on the applied part due to direct sunlight. 2. Do not use the product on the part with a scar, eczema or derm -atitis. 3. Precautions at Storage & Handling. A) Close the cover after use. B) Keep out of reach of the children. C) Do not store in a place of high temperatu -re, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Emollient Extra Comfort Cream,EWG Verified,Moisturizer,,,,,"Ingredients from packaging:
Water, Butyrospermum Parkii (Shea)Butter, Panthenol, Pentylene Glycol, Squalane, Polyglyceryl-3 Stearate, Cetearyl Olivate, Cocos Nucifera (Coconut) Oil, Canola Oil, Xanthan Gum, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Gaultheria Procumbens (Wintergreen) Leaf Extract
Warnings from packaging:
Precautions for use :
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deter -iorate if used continuously. A) Symptoms such as red spots, swelling, itching or irritation during the use. B) The above symptoms on the applied part due to direct sunlight. 2. Do not use the product on the part with a scar, eczema or derm -atitis. 3. Precautions at Storage & Handling. A) Close the cover after use. B) Keep out of reach of the children. C) Do not store in a place of high temperatu -re, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Olivarrier,Olivarrier Dual Moist Hyaluron Essence,EWG Verified,Serums & Essences,,,,,"Ingredients from packaging:
Water, Pentylene Glycol, Squalane, Polyglycerin-3, Hydrolyzed Hyaluronic Acid, Cocos Nucifera (Coconut) Oil, Gardenia Tahitensis Flower, Tocopherol, Centella Asiatica Extract, Glycerin, Cetearyl Olivate, Sorbitan Olivate, C14-22 Alcohols, Xanthan Gum, C12-20 Alkyl Glucoside, Pulsatilla Koreana Extract, Zanthoxylum Piperitum Fruit Extract, Usnea Barbata (Lichen) Extract, Arginine, Gaultheria Procumbens (Wintergreen) Leaf Extract
Warnings from packaging:
1. Stop using the product at the following symptoms, and consult with a dermatologist as the symptom would deter -iorate if used continuously. A) Symptoms such as red spots, swelling, itching or irritation during the use. B) The above symptoms on the applied part due to direct sunlight. 2. Do not use the product on the part with a scar, eczema or derm -atitis. 3. Precautions at Storage & Handling. A) Close the cover after use. B) Keep out of reach of the children. C) Do not store in a place of high temperatu -re, low temperature of under direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
