Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
AROMATICA,Aromatica 95% Organic Aloe Vera Gel,EWG Verified,After Sun Product,,,,,"Ingredients from packaging:
ALOE BARBADENSIS LEAF EXTRACT, PROPANEDIOL, ROSMARINUS OFFICINALIS LEAF WATER, SODIUM CARBOMER, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, USNEA BARBATA (LICHEN) EXTRACT, Pulsatilla Koreana Extract, PHENETHYL ALCOHOL
Warnings from packaging:
For external use only. Discountinue use if irritation or rash occurs. If irritation or rash persists, consult a doctor. Do not use on irritated or damaged skin. Avoid contact with eyes. To ensure skin compatibility, conduct a skin patch test prior to use. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
AROMATICA,Aromatica Organic Golden Jojoba Oil,01,Facial Moisturizer/Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Simmondsia chinensis (Jojoba) Seed Oil
Warnings from packaging:
For external use only. Avoid contact
with eyes. If eye contact occurs, rinse
eyes thoroughly with water. If irritation or rash persists, consult a doctor.
Keep out of reach of children. To
ensure skin com patibility, conduct
a skin patch test prior to use.
Natural ingredients may cause
color variations.","Product's animal testing policies,Unknown"
AROMATICA,Aromatica 95% Natural Aloe Aqua Cream (2017 formulation),01,Moisturizer,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ALOE BARBADENSIS LEAF EXTRACT, GLYCERIN, BUTYLENE GLYCOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, WATER, ROSMARINUS OFFICINALIS LEAF WATER, LAVANDULA ANGUSTIFOLIA WATER, 1,2-HEXANEDIOL, VERBENA OFFICINALIS EXTRACT, ROSMARINUS OFFICINALIS LEAF EXTRACT, CHAMOMILLA RECUTITA FLOWER EXTRACT, PROPANEDIOL, ETHYLHEXYLGLYCERIN, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, ARGININE, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, HYDROLYZED GLYCOSAMINOGLYCANS, CERAMIDE 3, TAMARINDUS INDICA SEED POLYSACCHARIDE","Product's animal testing policies,Unknown"
AROMATICA,Aromatica Jojoba Golden Barrier Oil (2019 formulation),01,Facial Moisturizer/Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Simmondsia chinensis seed oil
Warnings from packaging:
For external use only. Discontinue use if irritation or rash occurs. If irritation or rash persists, consult a doctor. Do not use on irritated or damaged skin. Avoid contact with eyes. To ensure skin compatibility, conduct a skin patch test prior to use. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,Aromatica LIVELY SuperBarrier Hyaluronic Acid Toner (2019 formulation),01,Toners/Astringents,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Aqua, Butylene glycol, Glycerin, 1,2-Hexanediol, Sodium hyaluronate, Caprylyl glycol, Illicium verum fruit extract, Hydroxyethyl urea, Panthenol, Propanediol, Sodium hyaluronate crosspolymer, Hydrolyzed glycosaminoglycans, Hydrolyzed hyaluronic acid, Hyaluronic acid, Pentylene glycol, Madecassoside, Tamarindus indica seed polysaccharide, Ceramide np, Cellulose gum, Xanthan gum, Inulin, Cellulose, Glucose, Fructose
Warnings from packaging:
For external use only. Discontinue use if irritation or rash occurs. If irritation or rash persists, consult a doctor. Do not use on irritated or damaged skin. Avoid contact with eyes. To ensure skin compatibility, conduct a skin patch test prior to use. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,Aromatica LIVELY SuperBarrier Cica-Panthenol Serum (2019 formulation),01,Facial Moisturizer/Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Aqua, Glycerin, Propanediol, Panthenol, Polyglyceryl-3 methylglucose distearate, Caprylic/capric triglyceride, Triethyl citrate, Octyldodecanol, Betaine, 1,2-Hexanediol, Butylene glycol, Viola mandshurica flower extract, Gardenia florida fruit extract, Glyceryl glucoside, Glyceryl stearate, Cetearyl alcohol, Stearic acid, Sodium lauroyl glutamate, Limnanthes alba seed oil, Simmondsia chinensis seed oil, Ethylhexylglycerin, Verbena officinalis extract, Rosmarinus officinalis leaf extract, Chamomilla recutita flower extract, Sodium hyaluronate crosspolymer, Hydrolyzed glycosaminoglycans, Sodium hyaluronate, Hydrolyzed hyaluronic acid, Hyaluronic acid, Sclerotium gum, Pentylene glycol, Madecassoside, Tamarindus indica seed polysaccharide
Warnings from packaging:
For external use only. Discontinue use if irritation or rash occurs. If irritation or rash persists, consult a doctor. Do not use on irritated or damaged skin. Avoid contact with eyes. To ensure skin compatibility, conduct a skin patch test prior to use. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,Aromatica Lavender Relaxing Massage & Body Oil (2019 formulation),02,Body Oil,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Helianthus annuus seed oil, Prunus amygdalus dulcis oil, Olea europaea fruit oil, Simmondsia chinensis seed oil, Limnanthes alba seed oil, Lavandula angustifolia oil, Origanum majorana leaf oil, Citrus aurantium bergamia fruit oil, Tocopherol, Cananga odorata flower oil, Oenothera biennis oil, Citrus aurantium amara leaf/twig oil, Anthemis nobilis flower oil, Citrus aurantium dulcis (orange) peel oil, Olus oil,
Warnings from packaging:
Caution : For external use only. Avoid direct contact
with eyes. Do not use on irritated or damaged skin.
Discontinue use if irritation or rash appears.
If irritation or rash persists, consult a doctor. To ensure
skin compatibility, conduct a skin patch test prior to
use. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,"Aromatica LIVELY Shower Gel, Sweet Lavender (2019 formulation)",02,Body Wash/Cleanser,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Aqua, Lauryl betaine, Sodium methyl cocoyl taurate, Coco-betaine, Glycerin, Sodium cocoyl isethionate, Carbomer, Propanediol, Ethylhexylglycerin, Verbena officinalis extract, Rosmarinus officinalis leaf extract, Chamomilla recutita flower extract, Polyquaternium-10, Lavandula Hybrida Oil, Lavandula Angustifolia Oil, Citrus Aurantium Bergamia Fruit Oil, Canarium Luzonicum Gum Oil, Styrax Benzoin Gum
Warnings from packaging:
For external use only. Discontinue use if irritation or rash occurs. If irritation or rash persists, consult a doctor. Do not use on irritated or damaged skin. Avoid contact with eyes. To ensure skin compatibility, conduct a skin patch test prior to use. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,AROMATICA Vitalizing Rosemary Decoction Toner (2020 formulation),02,Toners/Astringents,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Rosmarinus officinalis leaf extract, Aloe barbadensis leaf extract, Glycerin, Propanediol, Rosmarinus officinalis leaf water, Ethylhexylglycerin, Polyglyceryl-10 laurate, Polyglyceryl-10 myristate, Verbena officinalis extract, Chamomilla recutita flower extract, Rosmarinus officinalis leaf oil, Aniba rosodora wood oil, Limonene, Linalool, Geraniol, Benzyl Benzoate, Citral, Eugenol
Warnings from packaging:
For external use only. Avoid contact with eyes. If eye
contact occurs, rinse eyes thoroughly with water.
If irritation or rash persists, consult a doctor. Keep out of
reach of children. To ensure skin compatibility, conduct
a skin patch test prior to use. Natural ingredients may
cause color variations.","Product's animal testing policies,Unknown"
AROMATICA,"Aromatica Lively Body Milk, Minty (2019 formulation)",02,Moisturizer,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Aqua, Glycerin, Caprylic/capric triglyceride, Butylene glycol, Hydroxyethyl urea, Sorbitan stearate, Cetearyl stearate, *Orbignya oleifera seed oil, Coco-caprylate/caprate, Hydrogenated olive oil unsaponifiables, 1,2-Hexanediol, *Butyrospermum parkii (Shea) butter, Citrus aurantium bergamia fruit oil, Propanediol, Ethylhexylglycerin, Verbena officinalis extract, Rosmarinus officinalis (Rosemary) leaf extract, Chamomilla recutita (Matricaria) flower extract, Acrylates/C10-30 alkyl acrylate crosspolymer, Arginine, Citrus aurantium dulcis (Orange) peel oil, Mentha viridis (Spearmint) leaf oil, Xanthan gum, Coriandrum sativum (Coriander) oil, Canarium luzonicum gum oil, Styrax benzoin gum
Warnings from packaging:
For external use only. Discontinue use if irritation or rash occurs. If irritation or rash persists, consult a doctor. Do not use on irritated or damaged skin. Avoid contact with eyes. To ensure skin compatibility, conduct a skin patch test prior to use. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,Aromatica Damask Rose Soothing Gel (2017 formulation),02,Moisturizer,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
ROSA DAMASCENA FLOWER EXTRACT, PROPANEDIOL, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, USNEA BARBATA EXTRACT, PULSATILLA KOREANA EXTRACT, SODIUM CARBOMER, PHENETHYL ALCOHOL, MALPIGHIA GLABRA FRUIT EXTRACT, VACCINIUM MACROCARPON FRUIT EXTRACT, VACCINIUM ANGUSTIFOLIUM EXTRACT, CITRUS AURANTIUM DULCIS FRUIT EXTRACT, PUNICA GRANATUM EXTRACT, FRAGARIA CHILOENSIS FRUIT EXTRACT, VITIS VINIFERA FRUIT EXTRACT","Product's animal testing policies,Unknown"
AROMATICA,Aromatica Argan Intensive Hydrating Eye Cream (2017 formulation),02,Around Eye Cream,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, OCTYLDODECANOL, PROPANEDIOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, ARGANIA SPINOSA KERNEL OIL, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, ARACHIDYL ALCOHOL, BETAINE, THEOBROMA GRANDIFLORUM SEED BUTTER, BEHENYL ALCOHOL, BISABOLOL, ARACHIDYL GLUCOSIDE, CETEARYL GLUCOSIDE, SORBITAN OLIVATE, COPERNICIA CERIFERA WAX, BUTYROSPERMUM PARKII, ORBIGNYA OLEIFERA SEED OIL, PULSATILLA KOREANA EXTRACT, USNEA BARBATA EXTRACT, XANTHAN GUM, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, ADENOSINE, CETEARYL ALCOHOL","Product's animal testing policies,Unknown"
AROMATICA,Aromatica Cypress Deep Cleansing Shampoo (2019 formulation),02,Shampoo,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Sodium methyl cocoyl taurate, Illicium verum fruit extract, Thuja orientalis extract, Centella asiatica extract, Sodium methyl oleoyl taurate, Lauryl betaine, Sodium cocoyl isethionate, Hyssopus officinalis extract, Eclipta prostrata extract, Arctium lappa (burdock) root extract, Trigonella foenum-graecum seed extract, 1,2-Hexanediol, Lauryl glucoside, Erythritol, Citrus paradisi oil, Pinus sylvestris (pine) leaf oil, Glycerin, Caprylyl glycol, Sodium chloride, Panthenol, Butylene glycol, Polyquaternium-10, Citrus aurantium dulcis (orange) peel oil, Cupressus sempervirens oil, Menthol, Eucalyptus radiata leaf/stem oil, Aqua, Sodium phytate, Ethanol
Warnings from packaging:
For external use only. Avoid contact with eyes. In case of contact, rinse thoroughly with water. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,Aromatica Argan Intensive Hydrating Serum (2017 formulation),02,Facial Moisturizer/Treatment,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, GLYCERIN, PROPANEDIOL, OCTYLDODECANOL, NIACINAMIDE, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, ARGANIA SPINOSA KERNEL OIL, HELIANTHUS ANNUUS OIL, BETAINE, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, USNEA BARBATA EXTRACT, PULSATILLA KOREANA EXTRACT, THEOBROMA GRANDIFLORUM SEED BUTTER, LIMNANTHES ALBA SEED OIL, SIMMONDSIA CHINENSIS SEED OIL, GLYCERYL STEARATE, CETEARYL ALCOHOL, STEARIC ACID, SODIUM LAUROYL GLUTAMATE, CALOPHYLLUM TACAMAHACA SEED OIL, CITRIC ACID, ANIBA ROSAEODORA OIL, SCLEROTIUM GUM, ADENOSINE, DECYLENE GLYCOL, ETHYLHEXYLGLYCERIN, HEXYLENE GLYCOL, TAMARINDUS INDICA SEED POLYSACCHARIDE, POGOSTEMON CABLIN OIL","Product's animal testing policies,Unknown"
AROMATICA,"Aromatica LIVELY Shower Gel, Minty (2019 formulation)",02,Body Wash/Cleanser,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Aqua, Lauryl betaine, Sodium methyl cocoyl taurate, Coco-betaine, Glycerin, Sodium cocoyl isethionate, Carbomer, Citrus aurantium bergamia fruit oil, Propanediol, Ethylhexylglycerin, Verbena officinalis extract, Rosmarinus officinalis leaf extract, Chamomilla recutita flower extract, Polyquaternium-10, Citrus aurantium dulcis (Orange) peel oil, Mentha viridis leaf oil, Coriandrum sativum oil, Canarium luzonicum gum oil, Styrax benzoin gum
Warnings from packaging:
For external use only. Discontinue use if irritation or rash occurs. If irritation or rash persists, consult a doctor. Do not use on irritated or damaged skin. Avoid contact with eyes. To ensure skin compatibility, conduct a skin patch test prior to use. Keep out of reach of children.","Product's animal testing policies,Unknown"
AROMATICA,Aromatica B5 + Biotin Fortifying Shampoo (2019 formulation),02,Shampoo,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Aqua, Sodium methyl cocoyl taurate, Lauryl betaine, Sodium methyl oleoyl taurate, Sodium cocoyl isethionate, Sodium chloride, Erythritol, Panthenol, Calcium pantothenate, Biotin, Zingiber officinale root extract, Glycine max seed extract, Oryza sativa extract, Sesamum indicum seed extract, Morus alba fruit extract, Solanum melogena fruit extract, Piper nigrum seed extract, Illicium verum fruit extract, Citrus tangerina peel oil, Pinus sylvestris leaf oil, Canarium luzonicum gum oil, Styrax benzoin gum, 1,2-Hexanediol, Butylene glycol, Caprylyl glycol, Polyquaternium-10
Warnings from packaging:
For external use only. Avoid contact with eyes. In case of contact, rinse thoroughly with water. Keep out of reach of children.","Product's animal testing policies,Unknown"
