Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
AmorePacific,Amore Pacific Moisture Plumping Rejuvenating Eye Gel,06,Around Eye Cream,LOW,HIGH,MODERATE,HIGH,"Ingredients from packaging:
PHYLLOSTACHYS BAMBUSOIDES JUICE, CYCLOPENTASILOXANE, WATER / AQUA / EAU, DIMETHICONE, GLYCERIN, BUTYLENE GLYCOL, CYCLOHEXASILOXANE, ALCOHOL, PEG-75, PEG-10 DIMETHICONE, SQUALANE, SODIUM CHLORIDE, ACETYL GLUCOSAMINE, NIACINAMIDE, DISTEARDIMONIUM HECTORITE, 1,2-HEXANEDIOL, PROPANEDIOL, LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, CAFFEINE, POLYSILICONE-11, PHENOXYETHANOL, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, TOCOPHEROL, GLYCERYL CAPRYLATE, DIMETHICONOL, ETHYLHEXYLGLYCERIN, FRAGRANCE / PARFUM, ADENOSINE, BIOSACCHARIDE GUM-1, PENTYLENE GLYCOL, DISODIUM EDTA, SODIUM HYALURONATE, BETA-GLUCAN, HESPERIDIN, 3-O-ETHYL ASCORBIC ACID, LINALOOL, PHYTANTRIOL, BUTYLPHENYL METHYLPROPIONAL, LIMONENE, NELUMBO NUCIFERA FLOWER EXTRACT, POLOXAMER 407, GERANIOL, ALPHA-ISOMETHYL IONONE, NATTO GUM, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, HYDROLYZED HYALURONIC ACID, SODIUM HYALURONATE CROSSPOLYMER, HYALURONIC ACID, THEANINE, EPIGALLOCATECHIN GALLATE, KAEMPFEROL, CAMELLIA SINENSIS FLOWER EXTRACT, SODIUM ACETYLATED HYALURONATE","Product's animal testing policies,Unknown"
AmorePacific,Amore Pacific Time Response Eye Reserve Cream,06,Around Eye Cream,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
CAMELLIA SINENSIS LEAF WATER, BUTYLENE GLYCOL, WATER / AQUA / EAU, GLYCERIN, HYDROGENATED POLY(C6-14 OLEFIN), BUTYROSPERMUM PARKII (SHEA) BUTTER, PENTAERYTHRITYL TETRAETHYLHEXANOATE, HYDROGENATED OLIVE OIL LAURYL ESTERS, JOJOBA ESTERS, CAPRYLIC/CAPRIC TRIGLYCERIDE, METHYL TRIMETHICONE, CETYL ETHYLHEXANOATE, DIISOSTEARYL MALATE, BEHENYL ALCOHOL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, PROPANEDIOL, HYDROGENATED LECITHIN, PEG-40 STEARATE, CAMELLIA SINENSIS SEED OIL, ARACHIDYL ALCOHOL, BETAINE, POLYGLYCERYL-10 STEARATE, NIACINAMIDE, 1,2- HEXANEDIOL, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, GLYCERYL STEARATE, CETEARYL ALCOHOL, MICA, ARACHIDYL GLUCOSIDE, TITANIUM DIOXIDE (CI 77891), FRAGRANCE / PARFUM, CAFFEINE, DIPALMITOYL HYDROXYPROLINE, DIPOTASSIUM GLYCYRRHIZATE, GLYCERYL CAPRYLATE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, ADENOSINE, BETA-GLUCAN, TROMETHAMINE, SORBITAN ISOSTEARATE, POLYSORBATE 60, ALCOHOL, NATTO GUM, DEXTRIN, GLYCINE SOJA (SOYBEAN) SEED EXTRACT, THEOBROMA CACAO (COCOA) EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, BUTYLPHENYL METHYLPROPIONAL, LIMONENE, GERANIOL, CITRONELLOL, ALPHA-ISOMETHYL IONONE, LINALOOL, HYDROXYCITRONELLAL, PANAX GINSENG ROOT EXTRACT, POLOXAMER 235, EPIGALLOCATECHIN GALLATE, ETHOXYDIGLYCOL, TOCOPHERSOLAN, POLOXAMER 338, GLUCOSE, MAGNOLIA OBOVATA BARK EXTRACT, CAPRYLYL GLYCOL, LINALOOL, LIMONENE, BUTYLPHENYL METHYLPROPIONAL, GERANIOL, CITRONELLOL, ALPHA-ISOMETHYL IONONE, HYDROXYCITRONELLAL","Product's animal testing policies,Unknown"
AmorePacific,Amore Pacific Moisture Plumping Nectar Cream,06,Facial Moisturizer/Treatment,LOW,HIGH,MODERATE,HIGH,"Ingredients from packaging:
PHYLLOSTACHYS BAMBUSOIDES JUICE, WATER / AQUA / EAU, BUTYROSPERMUM PARKII (SHEA) BUTTER, GLYCERIN, PROPANEDIOL, METHYL TRIMETHICONE, PENTAERYTHRITYL TETRAETHYLHEXANOATE, BUTYLENE GLYCOL, ALCOHOL, CAMELLIA SINENSIS SEED OIL, 1,2-HEXANEDIOL, SQUALANE, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, SODIUM CARBOMER, PANTHENOL, HYDROGENATED LECITHIN, PHYTOSTERYL/BEHENYL/ OCTYLDODECYL LAUROYL GLUTAMATE, TOCOPHEROL, CERAMIDE NP, CHOLESTEROL, FRAGRANCE / PARFUM, PHENOXYETHANOL, XANTHAN GUM, GLYCERYL CAPRYLATE, STEARIC ACID, ETHYLHEXYLGLYCERIN, ADENOSINE, PALMITIC ACID, LINALOOL, BUTYLPHENYL METHYLPROPIONAL, LIMONENE, GERANIOL, ALPHA-ISOMETHYL IONONE, CITRONELLOL, NELUMBO NUCIFERA FLOWER EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CAPRYLYL GLYCOL, CITRIC ACID, PHYTANTRIOL, POLOXAMER 407, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, CAFFEINE, THEANINE, EPIGALLOCATECHIN GALLATE, KAEMPFEROL, CAMELLIA SINENSIS FLOWER EXTRACT","Product's animal testing policies,Unknown"
AmorePacific,Amore Pacific Time Response Skin Reserve Serum,07,Serums & Essences,LOW,HIGH,MODERATE,HIGH,"Ingredients from packaging:
CAMELLIA SINENSIS LEAF WATER, BUTYLENE GLYCOL, WATER / AQUA / EAU, GLYCERIN, ALCOHOL, TREHALOSE, PHYLLOSTACHIS BAMBUSOIDES JUICE, GLYCERETH-26, HYDROGENATED POLY(C6-14 OLEFIN), DIMETHICONE, HYDROGENATED LECITHIN, PROPANEDIOL, PENTAERYTHRITYL TETRAETHYLHEXANOATE, POLYMETHYLSILSESQUIOXANE, PANTHENOL, CETEARYL OLIVATE, 1,2-HEXANEDIOL, PEG-5 RAPESEED STEROL, SORBITAN OLIVATE, SODIUM POLYACRYLATE, HYDROGENATED POLYDECENE, FRAGRANCE / PARFUM, 1,2- HEXANEDIOL, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, XANTHAN GUM, TROMETHAMINE, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, ADENOSINE, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, BETA-GLUCAN, PPG-5-LAURETH-5, ETHYLHEXYLGLYCERIN, GLYCINE SOJA (SOYBEAN) SEED EXTRACT, NATTO GUM, DEXTRIN, THEOBROMA CACAO (COCOA) EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, DISODIUM EDTA, PHENOXYETHANOL, POLOXAMER 235, BETAINE, ETHOXYDIGLYCOL, EPIGALLOCATECHIN GALLATE, CAMELLIA SINENSIS FLOWER EXTRACT, TOCOPHERSOLAN, POLOXAMER 338, PANAX GINSENG ROOT EXTRACT, GLUCOSE, ACETIC ACID, POTASSIUM HYDROXIDE, CAPRYLYL GLYCOL, TOCOPHEROL","Product's animal testing policies,Unknown"
AmorePacific,Amore Pacific Time Response Skin Reserve Cream,07,Facial Moisturizer/Treatment,MODERATE,HIGH,MODERATE,HIGH,"Ingredients from packaging:
CAMELLIA SINENSIS LEAF WATER, BUTYLENE GLYCOL, WATER / AQUA / EAU, GLYCERIN, HYDROGENATED OLIVE OIL LAURYL ESTERS, JOJOBA ESTERS, DIMETHICONE, BUTYROSPERMUM PARKII (SHEA) BUTTER, BETAINE, DIPROPYLENE GLYCOL, HYDROGENATED POLY(C6-14 OLEFIN), DIISOSTEARYL MALATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, PENTAERYTHRITYL TETRAETHYLHEXANOATE, HYDROGENATED POLYISOBUTENE, CYCLOPENTASILOXANE, CETEARYL ALCOHOL, PROPANEDIOL, PEG-40 STEARATE, HYDROGENATED LECITHIN, 1,2-HEXANEDIOL, POLYSILICONE-11, POLYGLYCERYL-10 STEARATE, NIACINAMIDE, GLYCERYL STEARATE, ARACHIDYL ALCOHOL, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, FRAGRANCE / PARFUM, BEHENYL ALCOHOL, PEG-100 STEARATE, SODIUM POLYACRYLATE, ARACHIDYL GLUCOSIDE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, CAFFEINE, DIPOTASSIUM GLYCYRRHIZATE, GLYCERYL CAPRYLATE, TROMETHAMINE, DIPALMITOYL HYDROXYPROLINE, HYDROGENATED POLYDECENE, PALMITIC ACID, STEARIC ACID, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, ADENOSINE, DISODIUM EDTA, BETA-GLUCAN, ETHYLHEXYLGLYCERIN, NATTO GUM, GLYCINE SOJA (SOYBEAN) SEED EXTRACT, BUTYLPHENYL METHYLPROPIONAL, CAMELLIA SINENSIS LEAF EXTRACT, PPG-5-LAURETH-5, LIMONENE, DEXTRIN, THEOBROMA CACAO (COCOA) EXTRACT, GERANIOL, TOCOPHEROL, CITRONELLOL, ALPHA-ISOMETHYL IONONE, LINALOOL, GLUCOSE, HYDROXYCITRONELLAL, MYRISTIC ACID, POLOXAMER 235, LAURIC ACID, EPIGALLOCATECHIN GALLATE, ETHOXYDIGLYCOL, TOCOPHERSOLAN, POLOXAMER 338, PHENOXYETHANOL, PANAX GINSENG ROOT EXTRACT, BHT, MAGNOLIA OBOVATA BARK EXTRACT, CAPRYLYL GLYCO","Product's animal testing policies,Unknown"
AmorePacific,Amore Pacific Moisture Plumping Dewy Mist,08,Facial Moisturizer/Treatment,LOW,HIGH,MODERATE,HIGH,"Ingredients from packaging:
PHYLLOSTACHYS BAMBUSOIDES JUICE, ALCOHOL, GLYCERIN, BETAINE, DIMETHICONE, ALCOHOL DENAT., NIACINAMIDE, PEG-5 RAPESEED STEROL, PHENOXYETHANOL, HYDROGENATED LECITHIN, HYDROGENATED POLY(C6-14 OLEFIN), PPG-13-DECYLTETRADECETH-24, WATER / AQUA / EAU, ETHYLHEXYLGLYCERIN, BUTYLENE GLYCOL, ADENOSINE, FRAGRANCE / PARFUM, DISODIUM EDTA, CAFFEINE, STEARIC ACID, PALMITIC ACID, TROMETHAMINE, LINALOOL, BUTYLPHENYL METHYLPROPIONAL, LIMONENE, NELUMBO NUCIFERA FLOWER EXTRACT, SODIUM HYALURONATE, MYRISTIC ACID, ARACHIDIC ACID, TOCOPHEROL","Product's animal testing policies,Unknown"
AmorePacific,AmorePacific Luminous Effect Brightening Serum (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
CAMELLIA SINENSIS LEAF WATER, BUTYLENE GLYCOL, BIOSACCHARIDE GUM-1, ALCOHOL, PEG/PPG-17/6 COPOLYMER, METHYL GLUCETH -20, DIMETHICONE, CAMELLIA SINENSIS LEAF EXTRACT, ASPERGILLUS FERMENT, ASPERGILLUS/GLUCOSE/SOYBEAN/STARCH FERMENT FILTRATE, GLYCINE SOJA (SOYBEAN) GERM EXTRACT, GLYCINE SOJA (SOYBEAN) SPROUT EXTRACT, MORUS ALBA LEAF EXTRACT, 3-OETHYL ASCORBIC ACID, THEANINE, CYCLOPENTASILOXANE, DIMETHICONOL, XANTHAN GUM, CITRIC ACID, WATER, ADENOSINE, SODIUM CITRATE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, DISODIUM EDTA, PHENOXYETHANOL, FRAGRANCE","Product's animal testing policies,Unknown"
AmorePacific,AmorePacific Vintage Single Extract Essence (2018 formulation),02,Serums & Essences,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Water/Aqua/Eau, Propanediol, Glycerin, Camellia Sinensis Leaf Extract, 1,2-Hexanediol, Ethylhexylglycerin","Product's animal testing policies,Unknown"
AmorePacific,AmorePacific Intensive Vitalizing Eye Essence (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
CAMELLIA SINENSIS LEAF WATER, BUTYLENE GLYCOL, GLYCERIN, GLYCERETH-26, AVENA SATIVA (OAT) KERNEL EXTRACT, ALCOHOL, METHYL TRIMETHICONE, DIETHOXYETHYL SUCCINATE, GLYCERYL POLYMETHACRYLATE, WATER, CAMELLIA SINENSIS LEAF EXTRACT, NIACINAMIDE, ASPERGILLUS FERMENT, LACTOBACILLUS/WATER HYACINTH FERMENT, CAFFEINE, MANNITOL, HYDROGENATED LECITHIN, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, PEG-60 HYDROGENATED CASTOR OIL, CAPRYLIC/CAPRIC TRIGLYCERIDE, BEHENYL ALCOHOL, POLYGLYCERYL-10 PENTASTEARATE, CETEARYL ALCOHOL, SODIUM STEAROYL LACTYLATE, CETEARYL GLUCOSIDE, ETHYLHEXYLGLYCERIN, CAPRYLYL GLYCOL, GLYCERYL CAPRYLATE, TROMETHAMINE, DISODIUM EDTA, PHENOXYETHANOL, FRAGRANCE","Product's animal testing policies,Unknown"
AmorePacific,AMOREPACIFIC Treatment Cleansing Foam (2019 formulation),05,Facial Cleanser,LOW,HIGH,MODERATE,MODERATE,"Ingredients from packaging:
Water, Glycerin, Stearic Acid, Myristic Acid, Potassium Hydroxide, Lauric Acid, Peg-8, Sodium Myristoyl Glutamate, Glyceryl Stearate, Peg-32, Peg/Ppg-25/30 Copolymer, Sorbitol, Peg-200 Hydrogenated Glyceryl Palmate, Cocamidopropyl Betaine, Phyllostachis Bambusoides Juice, Panax Ginseng Root Extract, Mangifera Indica (Mango) Seed Butter, Olea Europaea (Olive) Fruit Oil, Helianthus Annuus (Sunflower) Seed Oil, Algae Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Corallina Officinalis Extract, Lactose, Disodium Edta, Microcrystalline Cellulose, Butylene Glycol, Sucrose, Alcohol, Zea Mays (Corn) Starch, Olive Oil Peg-8 Esters, Ultramarines (Ci 77007), Xanthan Gum, Tocopheryl Acetate, Trehalose, Triclosan, Phosphatidylcholine, Propylene Glycol, Peg-100 Stearate, Peg-14m, Peg-5 Rapeseed Sterol, Peg-7 Glyceryl Cocoate, Hydrogenated Lecithin, Sodium Benzoate, Fragrance","Product's animal testing policies,Unknown"
