Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Rejuva Minerals,"Rejuva Minerals Multi Purpose Pressed Powder For Face, Acai Berry",EWG Verified,Blush,,,,,"Ingredients from packaging:
Boron Nitride, Lauroyl Lysine, Kaolin, Copernicia Cerifera (Carnauba) Wax*, Simmondsia Chinensis (Jojoba) Seed Oil*, Mica, Vitis Vinifera (Grape) Fruit Extract*, Vaccinium Corymbosum (Blueberry) Fruit Extract*, May Contain: Ultramarines CI 77007 Iron Oxide CI 77499, CI 77491","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty LIT Powder Blush, Frisky",EWG Verified,Blush,,,,,"Ingredients from packaging:
Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Zea Mays (Corn) Starch, Glyceryl Caprylate, p-Anisic Acid, Tocopherol, Glycine Soja (Soybean) Oil, Mica, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492), Red 7 Lake (CI 15850), Iron Oxides (CI 77499), Red 6 (CI 15850), Blue 1 Lake (CI 42090).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rejuva Minerals,"Rejuva Minerals Multi Purpose Pressed Powder For Face, Papaya",EWG Verified,Blush,,,,,"Ingredients from packaging:
Boron Nitride, Lauroyl Lysine, Kaolin, Copernicia Cerifera (Carnauba) Wax*, Simmondsia Chinensis (Jojoba) Seed Oil*, Caprylyl Glycol, Tocopherol, Santalum Album (Sandalwood)*, Vitis Vinifera (Grape) Seed Oil*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, May Contain: Iron Oxide CI 77491, Manganese Violet CI 77742","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
One of One by C&#39;est Moi,"One of One by C'est Moi Give 'Em Lip & Cheek, Talk Back",EWG Verified,Blush,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride, Caprylic/Capric/Myristic/Stearic Triglyceride, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Dipentaerythrityl Pentaisononanoate, Ricinus Communis (Castor) Seed Oil, Hydroxystearic/Linolenic/Linoleic Polyglycerides, Macadamia Seed Oil Polyglyceryl-6 Esters Behenate, Hydrogenated Vegetable Oil, Oryza Sativa (Rice) Bran Wax, Theobroma Grandiflorum Seed Butter, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Hydrated Silica, Capryloyl Glycerin/Sebacic Acid Copolymer, Brassica Campestris/Aleurites Fordi Oil Copolymer, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Polyglyceryl-3 Polyricinoleate, Helianthus Annuus (Sunflower) Seed Oil*, Stevia Rebaudiana Leaf/Stem Extract, Tocopherol*, Actinidia Chinensis (Kiwi) Seed Oil, Hippophae Rhamnoides Fruit Oil, Prunus Avium (Sweet Cherry) Seed Oil, Punica Granatum Seed Oil, Pyrus Malus (Apple) Seed Oil, Rubus Fruticosus (Blackberry) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, 2-Methyltetrahydrofuran-3-one, Vanillin, Ethyl Propionate, Ethyl Butyrate, Dimethylhydroxy Furanone, Acetoin, Ethyl 2-Methylbutyrate, Methylcyclopentenolone, Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Limonene.","EWG Verified,Product's animal testing policies,Unknown"
C&#39;est Moi,"C'est Moi Flushed Tinted Lip & Cheek Balm, Tickled",EWG Verified,Blush,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride, Caprylic/Capric/Myristic/Stearic Triglyceride, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Ricinus Communis (Castor) Seed Oil, Dipentaerythrityl Pentaisononanoate, Hydroxystearic/Linolenic/Linoleic Polyglycerides, Macadamia Seed Oil Polyglyceryl-6 Esters Behenate, Hydrogenated Vegetable Oil, Oryza Sativa (Rice) Bran Wax, Theobroma Grandiflorum Seed Butter, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Hydrated Silica, Capryloyl Glycerin/Sebacic Acid Copolymer, Brassica Campestris/Aleurites Fordi Oil Copolymer, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Polyglyceryl-3 Polyricinoleate, Helianthus Annuus (Sunflower) Seed Oil*, Stevia Rebaudiana Leaf/Stem Extract, Tocopherol*, Actinidia Chinensis (Kiwi) Seed Oil, Hippophae Rhamnoides Fruit Oil, Prunus Avium (Sweet Cherry) Seed Oil, Punica Granatum Seed Oil, Pyrus Malus (Apple) Seed Oil, Rubus Fruticosus (Blackberry) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, 2-Methyltetrahydrofuran-3-one, Vanillin, Ethyl Propionate, Ethyl Butyrate, Dimethylhydroxy Furanone, Acetoin, Ethyl 2-Methylbutyrate, Methylcyclopentenolone, Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 6 Lake (CI 15850), Red 27 Lake (CI 45410), Limonene.","EWG Verified,Product's animal testing policies,Unknown"
Honest Beauty,"Honest Beauty LIT Powder Blush, Foxy",EWG Verified,Blush,,,,,"Ingredients from packaging:
Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Zea Mays (Corn) Starch, Glyceryl Caprylate, p-Anisic Acid, Tocopherol, Glycine Soja (Soybean) Oil, Mica, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492), Red 7 Lake (CI 15850), Iron Oxides (CI 77499), Red 6 (CI 15850), Blue 1 Lake (CI 42090).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rejuva Minerals,"Rejuva Minerals Multi Purpose Pressed Powder For Face, Pink Parfait",EWG Verified,Blush,,,,,"Ingredients from packaging:
Boron Nitride, Lauroyl Lysine, Kaolin, Copernicia Cerifera (Carnauba) Wax*, Simmondsia Chinensis (Jojoba) Seed Oil*, Rosa Gallica (Rose) Petals Powder, Vitis Vinifera (Grape) Fruit Extract*, Vaccinium Corymbosum (Blueberry) Fruit Extract*,. May Contain: Ultramarines CI 77007, Manganese Violet CI 77742, Iron Oxide CI 77491. *Certified Organic","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rejuva Minerals,"Rejuva Minerals Multi Purpose Pressed Powder For Eyes & Face, White Diamond",EWG Verified,Blush,,,,,"Ingredients from packaging:
Boron Nitride, Mica, Copernicia Cerifera (Carnauba) Wax*, Simmondsia Chinensis (Jojoba) Seed Oil*, Lauroyl Lysine, Kaolin, Vitis Vinifera (Grape) Fruit Extract*, Vaccinium Corymbosum (Blueberry) Fruit Extract*, May Contain: Titanium Dioxide CI 77891
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
C&#39;est Moi,"C'est Moi Flushed Tinted Lip & Cheek Balm, Unfazed",EWG Verified,Blush,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride, Caprylic/Capric/Myristic/Stearic Triglyceride, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Ricinus Communis (Castor) Seed Oil, Dipentaerythrityl Pentaisononanoate, Hydroxystearic/Linolenic/Linoleic Polyglycerides, Macadamia Seed Oil Polyglyceryl-6 Esters Behenate, Hydrogenated Vegetable Oil, Oryza Sativa (Rice) Bran Wax, Theobroma Grandiflorum Seed Butter, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Hydrated Silica, Capryloyl Glycerin/Sebacic Acid Copolymer, Brassica Campestris/Aleurites Fordi Oil Copolymer, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Polyglyceryl-3 Polyricinoleate, Helianthus Annuus (Sunflower) Seed Oil*, Stevia Rebaudiana Leaf/Stem Extract, Tocopherol*, Actinidia Chinensis (Kiwi) Seed Oil, Hippophae Rhamnoides Fruit Oil, Prunus Avium (Sweet Cherry) Seed Oil, Punica Granatum Seed Oil, Pyrus Malus (Apple) Seed Oil, Rubus Fruticosus (Blackberry) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, 2-Methyltetrahydrofuran-3-one, Vanillin, Ethyl Propionate, Ethyl Butyrate, Dimethylhydroxy Furanone, Acetoin, Ethyl 2-Methylbutyrate, Methylcyclopentenolone, Titanium Dioxide (CI 77891), Iron Oxides (CI 77492), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Limonene.","EWG Verified,Product's animal testing policies,Unknown"
Honest Beauty,"Honest Beauty LIT Powder Blush, Femme",EWG Verified,Blush,,,,,"Ingredients from packaging:
Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Zea Mays (Corn) Starch, Glyceryl Caprylate, p-Anisic Acid, Tocopherol, Glycine Soja (Soybean) Oil, Mica, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492), Red 7 Lake (CI 15850),Iron Oxides (CI 77499), Red 6 (CI 15850), Blue 1 Lake (CI 42090).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
