Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Wet N Wild,"Wet N Wild Fm Gem Face Mask, Tangled Tease 1230655",01,Body Art,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild Fm Gem Face Mask, Evil Goddess 1230653",01,Body Art,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild Gem Face Mask, Evil Goddess 1230301",01,Body Art,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild Gem Face Mask, 1230443 Goddess Glam",01,Body Art,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Wet N Wild,Wet N Wild Body Tattoo,01,Body Art,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild Gem Face Mask, Rainbow Raver 1230483",01,Body Art,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
,"Haus Labs Hy-Power Pigment Paint, Silver Shimmer",02,Blush,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
: Isododecane, Aluminum Calcium Sodium Silicate, Mica, Synthetic Beeswax, Trimethylsiloxysilicate, Hydrogenated Styrene/Isoprene Copolymer, Synthetic Fluorphlogopite, Passiflora Edulis Seed Oil, Squalane, Tocopheryl Acetate, Sodium Hyaluronate, Ethylhexyl Palmitate, Caprylyl Glycol, Butylene Glycol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Hexylene Glycol, Silica Dimethyl Silylate, Polypropylsilsesquioxane, Phenoxyethanol, Silica, Titanium/Titanium Dioxide, Tin Oxide, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides)","Product's animal testing policies,Unknown"
NYX,"NYX SFX face and body paints, White Frost",02,Body Art,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ISODODECANE CI 77499 / IRON OXIDES MICA HYDROGENATED STYRENE/ISOPRENE COPOLYMER OCTYLDODECANOL CAPRYLYL METHICONE CAPRYLYL GLYCOL 1,2-HEXANEDIOL PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE PHENOXYETHANOL","Product's animal testing policies,Unknown"
Goodmark,Goodmark Rotting Skin Makeup,03,Body Art,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
POLYVINYL ALCOHOL, PHENOXYETHANOL, POLYSORBATE 20, POTASSIUM SORBATE, SODIUM BENZOATE. MAY CONTAIN: TITANIUM DIOXIDE, IRON OXIDES, RED 40 LAKE","Product's animal testing policies,Unknown"
Ribue&#39;s,Ribue's Pearlescent Makeup Sticks,03,Body Art,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
MAKEUP STICKS : HYDROGENATED COCO-GLYCERIDES, PARAFFIN, PETROLATUM, ETHYLHEXYL PALMITATE, POLYETHYLENE, PHENOXYETHANOL, MAY CONTAIN [+/-]: TITANIUM DIOXIDE (CI 77891), MICA (CI 77019), IRON OXIDES (CI 77499), YELLOW 5 (CI 19140), RED 28 (CI 45410), FERRIC FERROCYANIDE (CI 77510)","Product's animal testing policies,Unknown"
Kylie Cosmetics,"KylieCosmetics by Kylie Jenner VALENTINE'S BLUSH STICK, MAKE HIM BLUSH",03,Body Art,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
Neopentyl Glycol Diheptanoate, Dicaprylyl Carbonate, Mica, Polymethylsilsesquioxane, Methyl Methacrylate Crosspolymer, Polyethylene, Dimethicone, Diisostearyl Malate, Polyglyceryl-2 Triisostearate, Synthetic Wax, Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Nylon-12, Bis-Diglyceryl Polyacyladipate-2, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylene/Propylene Copolymer, Sucrose Tetrastearate Triacetate, Caprylyl Glycol, Glyceryl Caprylate, Sorbitan Sesquioleate, Ethylhexylglycerin, Polyhydroxystearic Acid, [May Contain/Peut Contenir/+/-:Titanium Dioxide (CI 77891), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Red 6 (CI 15850)]","Product's animal testing policies,Unknown"
,"Haus Labs Hy-Power Pigment Paint, Sapphire Matte",04,Blush,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
: Isododecane, Dicalcium Phosphate, Octyldodecanol, Silica, Hydrogenated Styrene/Isoprene Copolymer, Disteardimonium Hectorite, Trimethylsiloxysilicate, Passiflora Edulis Seed Oil, Squalane, Tocopheryl Acetate, Sodium Hyaluronate, Ethylhexyl Palmitate, Caprylyl Glycol, Butylene Glycol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Hexylene Glycol, Silica Dimethyl Silylate, Phenoxyethanol. May Contain/Peut Contenir: (+/-) CI 19140 (Yellow 5 Lake), CI 77491/77492 (Iron Oxides), CI 77891 (Titanium Dioxide), CI 15985 (Yellow 6 Lake), CI 15850 (Red 6), CI 45410 (Red 28 Lake), CI 15850 (Red 7 Lake), CI 42090 (Blue 1 Lake), CI 77510 (Ferric Ammonium Ferrocyanide)","Product's animal testing policies,Unknown"
,"Haus Labs Hy-Power Pigment Paint, Scarlet Matte",04,Blush,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
: Isododecane, Dicalcium Phosphate, Octyldodecanol, Silica, Hydrogenated Styrene/Isoprene Copolymer, Disteardimonium Hectorite, Trimethylsiloxysilicate, Passiflora Edulis Seed Oil, Squalane, Tocopheryl Acetate, Sodium Hyaluronate, Ethylhexyl Palmitate, Caprylyl Glycol, Butylene Glycol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Hexylene Glycol, Silica Dimethyl Silylate, Phenoxyethanol. May Contain/Peut Contenir: (+/-) CI 19140 (Yellow 5 Lake), CI 77491/77492 (Iron Oxides), CI 77891 (Titanium Dioxide), CI 15985 (Yellow 6 Lake), CI 15850 (Red 6), CI 45410 (Red 28 Lake), CI 15850 (Red 7 Lake), CI 42090 (Blue 1 Lake), CI 77510 (Ferric Ammonium Ferrocyanide)","Product's animal testing policies,Unknown"
,"Haus Labs, Hy-Power Pigment Paint, Citrine Matte",04,Blush,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
: Isododecane, Dicalcium Phosphate, Octyldodecanol, Silica, Hydrogenated Styrene/Isoprene Copolymer, Disteardimonium Hectorite, Trimethylsiloxysilicate, Passiflora Edulis Seed Oil, Squalane, Tocopheryl Acetate, Sodium Hyaluronate, Ethylhexyl Palmitate, Caprylyl Glycol, Butylene Glycol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Hexylene Glycol, Silica Dimethyl Silylate, Phenoxyethanol. May Contain/Peut Contenir: (+/-) CI 19140 (Yellow 5 Lake), CI 77491/77492 (Iron Oxides), CI 77891 (Titanium Dioxide), CI 15985 (Yellow 6 Lake), CI 15850 (Red 6), CI 45410 (Red 28 Lake), CI 15850 (Red 7 Lake), CI 42090 (Blue 1 Lake), CI 77510 (Ferric Ammonium Ferrocyanide)","Product's animal testing policies,Unknown"
,"Haus Labs Hy-Power Pigment Paint, White Onyx Matte",04,Blush,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
: Isododecane, Octyldodecanol, Silica, Hydrogenated Styrene/Isoprene Copolymer, Disteardimonium Hectorite, Trimethylsiloxysilicate, Passiflora Edulis Seed Oil, Squalane, Tocopheryl Acetate, Sodium Hyaluronate, Ethylhexyl Palmitate, Caprylyl Glycol, Butylene Glycol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Hexylene Glycol, Silica Dimethyl Silylate, Dicalcium Phosphate, Phenoxyethanol. May Contain/Peut Contenir: (+/-) CI 19140 (Yellow 5 Lake), CI 77891 (Titanium Dioxide), CI 42090 (Blue 1 Lake), CI 77491/77492/77499 (Iron Oxides)","Product's animal testing policies,Unknown"
