Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Beautycounter,"Beautycounter Cheeky Clean Highlighting Balm, Lunar",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil, Cera Alba (Beeswax)/Cire d'abeille, Squalane, Brassica Campestris/Aleurites Fordi Oil Copolymer, Mica, Silica, Diisopropyl Adipate, Jojoba Esters, Tocopherol, Titanium Dioxide (CI 77891).","EWG Verified,Product's animal testing policies,Leaping Bunny"
C&#39;est Moi,"C'est Moi Dream Beams Cream Highlighter, Moonstruck",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Ethyl Macadamiate, Mica, Butyrospermum Parkii (Shea) Butter*, Titanium Dioxide (CI 77891), Rhus Verniciflua Peel Wax, Glycerin*, Potassium Cetyl Phosphate, Synthetic Fluorphlogopite, Cetearyl Olivate, Sorbitan Olivate, Xylitylglucoside, Hydroxyacetophenone, Prunus Armeniaca (Apricot) Kernel Oil*, Anhydroxylitol, Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Xylitol, Sodium Phytate, Tocopherol*, Tin Oxide, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Arginine, Citric Acid.","EWG Verified,Product's animal testing policies,Unknown"
One of One by C&#39;est Moi,"One of One by C'est Moi Flash Please, Show Stopper",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Mica, Ethyl Macadamiate, Butyrospermum Parkii (Shea) Butter*, Rhus Verniciflua Peel Wax, Glycerin*, Potassium Cetyl Phosphate, Titanium Dioxide (CI 77891), Cetearyl Olivate, Sorbitan Olivate, Xylitylglucoside, Hydroxyacetophenone, Prunus Armeniaca (Apricot) Kernel Oil*, Anhydroxylitol, Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Xylitol, Sodium Phytate, Tocopherol*, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Arginine, Citric Acid, Iron Oxides (CI 77491).","EWG Verified,Product's animal testing policies,Unknown"
WELL PEOPLE,W3LL PEOPLE Bio Bronzer Stick,EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Tri-Isostearyl Citrate, Caprylic/ Capric Triglyceride, C12-C15 Alkyl Benzoate, Beeswax, Macadamia Oil, Castor Seed Oil, Silica Silylate, Acacia Decurrens/Jojoba/Sunflower Seed Wax/Plyglyceryl-3 Esters, Mica and Titanium Dioxide, Hydrogenated Jojoba Oil, Aloe Leaf Extract, Polyglyceryl-6 Distearate, Vitamin E, Olive Oil, Green Tea, Safflower Oil. [+/-: Mica, Iron Oxides (CI 77491, 77492, 77891), Iron Oxides Black (CI 77499)].","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
One of One by C&#39;est Moi,"One of One by C'est Moi Flash Please, Showbiz",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Water, Ethyl Macadamiate, *Butyrospermum Parkii (Shea) Butter, Rhus Verniciflua Peel Wax, *Glycerin, Potassium Cetyl Phosphate, Cetearyl Olivate, Sorbitan Olivate, Xylitylglucoside, *Prunus Armeniaca (Apricot) Kernel Oil, Hydroxyacetophenone, Anhydroxylitol, Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Xylitol, Sodium Phytate, *Tocopherol, Aloe Barbadensis Leaf Juice, *Helianthus Annuus (Sunflower) Seed Oil, Citric Acid, Arginine. May Contain (+/-): Mica (CI 77019), Titanium Dioxide (CI 77891), Tin Oxide (CI 77861), Iron Oxide (CI 77491), Iron Oxide (CI 77499).","EWG Verified,Product's animal testing policies,Unknown"
WELL PEOPLE,W3ll People Bio Bronzer Baked Powder,EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
""MICA, ZEA MAYS STARCH / ZEA MAYS (CORN) STARCH*, OCTYLDODECANOL, PENTYLENE GLYCOL, HECTORITE, SQUALANE, LAUROYL LYSINE, POLYGLYCERYL-3 DIISOSTEARATE, POTASSIUM SORBATE, HONOKIOL, LACTIC ACID, AQUA / WATER
MAY CONTAIN +/-: CI 77891 / TITANIUM DIOXIDE, CI 77491 / IRON OXIDES, CI 77492 / IRON OXIDES, CI 77499 / IRON OXIDES""","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Kora Organics,Kora Organics Rose Quartz Luminizer,EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil*, Dicaprylyl Carbonate, Hydrogenated Palm Oil*, Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba*, Mica, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Rosa Canina (Rosehip) Fruit Oil*, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Morinda Citrifolia (Noni) Fruit Extract*, Quartz, Titanium Dioxide (CI 77891), Iron Oxides (CI77491).
Warnings from packaging:
: For external cosmetic use only. Avoid direct contact with eyes. If irritation occurs discontinue use. Store in a cool dry place below 30 C / 86 F. Keep out of reach of children. Patch test on inside of wrist to ensure skin compatibility.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Cheeky Clean Highlighting Balm, Flare",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil, Cera Alba (Beeswax)/Cire d'abeille, Squalane, Brassica Campestris/Aleurites Fordi Oil Copolymer, Mica, Silica, Diisopropyl Adipate, Jojoba Esters, Tocopherol, Tin Oxide, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499)","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Cheeky Clean Highlighting Balm, Astro",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil, Cera Alba (Beeswax)/Cire d'abeille, Squalane, Mica, Brassica Campestris/Aleurites Fordi Oil Copolymer, Diisopropyl Adipate, Silica, Jojoba Esters, Tocopherol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Illuminating Cream Highlighter, Bronze Glow",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride, Jojoba Esters, Silica, Butyrospermum Parkii (Shea) Butter, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Mica, Cera Microcristallina (Microcrystalline Wax)/Cire microcristalline, Polyglyceryl-3 Beeswax, Ricinus Communis (Castor) Seed Oil, Tocopherol, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Leaping Bunny"
C&#39;est Moi,"C'est Moi Dream Beams Cream Highlighter, Aura",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Ethyl Macadamiate, Butyrospermum Parkii (Shea) Butter*, Rhus Verniciflua Peel Wax, Mica, Titanium Dioxide (CI 77891), Glycerin*, Potassium Cetyl Phosphate, Cetearyl Olivate, Sorbitan Olivate, Xylitylglucoside, Hydroxyacetophenone, Prunus Armeniaca (Apricot) Kernel Oil*, Anhydroxylitol, Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Xylitol, Sodium Phytate, Tocopherol*, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Arginine, Citric Acid, Iron Oxides (CI 77491, CI 77499).","EWG Verified,Product's animal testing policies,Unknown"
EARTHA,EARTHA Natural Condensation Illuminator,EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Synthetic fluorphlogopite, Mica, Caprylic/Capric Triglyceride, Titanium Dioxide (CI 77891), Magnesium Stearate, Silica, Iron Oxides (CI 77491), Glyceryl Caprylate, Tin Oxide, Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Seed Extract
Warnings from packaging:
Cautions: If you accidentally get into your eyes, please rinse with plenty of water. If you feel unwell after use, please stop using and seek medical advice immediately.","EWG Verified,Product's animal testing policies,Unknown"
Honest Beauty,Honest Beauty Magic Beauty Balm Stick,EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter, Helianthus Annuus (Sunflower) Seed Wax, Beeswax (Cera Alba), Argania Spinosa Kernel Oil, Synthetic Beeswax, Simmondsia Chinensis (Jojoba) Seed Oil, Silica, Rosa Canina Fruit Oil, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Kaolin, Tocopherol, Glycine Soja (Soybean) Oil, Calophyllum Inophyllum Seed Oil, Tin Oxide, Mica (CI 77019), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491)
Warnings from packaging:
Caution: Avoid contact with eyes.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Illuminating Cream Highlighter, Rose Glow",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride, Jojoba Esters, Silica, Mica, Butyrospermum Parkii (Shea) Butter, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Ricinus Communis (Castor) Seed Oil, Cera Microcristallina (Microcrystalline Wax)/Cire microcristalline, Polyglyceryl-3 Beeswax, Tocopherol, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Red 27 Lake (CI 45410), Yellow 5 Lake (CI 19140)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Leaping Bunny"
WELL PEOPLE,W3LL PEOPLE Bio Brightener Stick,EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Tri-Isostearyl Citrate, Caprylic/Capric Triglyceride, Beeswax, AcaciaDecurrens/Jojoba/Sunflower Seed Wax/Polyglyceryl-3 Esters, Hydrolyzed Jojoba Proteins, Silica Silylate, ricinus Communis (Caster) Seed Oil, Tocopherol, Olea Europaea (Olive) Fruit Oil, Carthamus Tinctorius, Camellia Sinensis Seed Oil*, Aloe Barbadensis (Oil) Leaf Extract, Synthetic Fluorphlogopite [+/-: Mica (CI 77019), Iron Oxides (CI 77491, 77492, 77499), Titanium Dioxide (CI 77891), Yellow 10 Lake (CI 47005), Tin Oxide, Orange 5 Lake (CI 45370)]*USDA Organic","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
One of One by C&#39;est Moi,"One of One by C'est Moi Flash Please, Showtime",EWG Verified,Bronzer/Highlighter,,,,,"Ingredients from packaging:
Water, Ethyl Macadamiate, *Butyrospermum Parkii (Shea) Butter, Rhus Verniciflua Peel Wax, *Glycerin, Potassium Cetyl Phosphate, Cetearyl Olivate, Sorbitan Olivate, Xylitylglucoside, *Prunus Armeniaca (Apricot) Kernel Oil, Hydroxyacetophenone, Anhydroxylitol, Carbomer, 1,2-Hexanediol, Caprylyl Glycol, Xylitol, Sodium Phytate, *Tocopherol, Aloe Barbadensis Leaf Juice, *Helianthus Annuus (Sunflower) Seed Oil, Citric Acid, Arginine. May Contain (+/-): Mica (CI 77019), Titanium Dioxide (CI 77891), Tin Oxide (CI 77861), Manganese Violet (CI 77742), Iron Oxide (CI 77491).","EWG Verified,Product's animal testing policies,Unknown"
