Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
WELL PEOPLE,"W3LL PEOPLE Expressionist Brow Gel, Brown",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Water, Coconut Alkanes, Polyglyceryl-3 Polyricinoleate, Copernicia Cerifera (Carnauba) Wax, Brassica Campestris/Aleurites Fordi Oil Copolymer, Glycerin, Sorbitan Olivate, Octyldodecyl Oleate, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea ) Butter, Helianthus Annuus (Sunflower) Seed Wax, Leuconostoc/Radish Root Ferment Filtrate, Magnesium Myristate, Silica, Zinc Stearate, Magnesium Sulfate, Sodium Chloride, Coco-Caprylate/Caprate, Aloe Barbadensis Leaf Juice, Cocos Nucifera (Coconut) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Tocopherol, Sodium Phytate, Helianthus Annuus (Sunflower) Seed Oil, (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499)
Warnings from packaging:
NO NASTIES. Parabens, DEA, Phenoxyethanol, Petrochemicals, Fragrance, Sulfate,Propylene Glycol, GMOï¿½s, Phthalates, Dimethicone, Nano Particles, EDTA","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Honestly Healthy Brow Gel, Soft Black",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Water (Aqua/Eau), Polyhydroxystearic Acid, Copernicia Cerifera (Carnauba) Wax, Glyceryl Stearate SE, Myrica Cerifera (Bayberry) Fruit Wax, Cellulose, Glycerin, Coconut Alkanes, Coco-Caprylate/Caprate, Hydrolyzed Corn Starch, Ricinus Communis (Castor) Seed Oil, Silica, Propanediol, Methyl Dihydroabietate, Trifolium Pratense/Vigna Radiata Sprout Extract, Hydrolyzed Vegetable Protein, Decyl Glucoside, Lauryl Glucoside, Hydroxyacetophenone, Xanthan Gum, 1,2-Hexanediol, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77499, CI 77492, CI 77491)
Warnings from packaging:
Use as directed","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rose Inc,"Rose Inc Brow Renew Enriched Shaping Gel, Clear",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Cetearyl Alcohol, Bentonite, Glycerin, Squalane, C13-15 Alkane, Sodium Polyitaconate, Isomalt, Gluconolactone, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Lauroyl Lysine, Pisum Sativum (Pea) Sprout Extract, Panthenol, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Sodium Phytate, Sodium Hydroxide, Sodium Benzoate, Xanthan Gum, Jojoba Esters, Citric Acid
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
WELL PEOPLE,"W3LL PEOPLE Expressionist Brow Gel, Blonde",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Water, Coconut Alkanes, Polyglyceryl-3 Polyricinoleate, Copernicia Cerifera (Carnauba) Wax, Brassica Campestris/Aleurites Fordi Oil Copolymer, Glycerin, Sorbitan Olivate, Octyldodecyl Oleate, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter, Helianthus Annuus (Sunflower) Seed Wax, Leuconostoc/Radish Root Ferment Filtrate, Magnesium Myristate, Silica, Zinc Stearate, Magnesium Sulfate, Sodium Chloride, Coco-Caprylate/Caprate, Aloe Barbadensis Leaf Juice, Cocos Nucifera (Coconut) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Tocopherol, Sodium Phytate, Helianthus Annuus (Sunflower) Seed Oil
(+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499)
Warnings from packaging:
NO NASTIES. Parabens, DEA, Phenoxyethanol, Petrochemicals, Fragrance, Sulfate,Propylene Glycol, GMO’s, Phthalates, Dimethicone, Nano Particles, EDTA","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Eyebrow Pencil, Ash Blonde",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Simmondsia Chinensis (Jojoba) Seed Oil, Beeswax (Cera Alba), Bis-Diglyceryl Polyacyladipate-2, Copernicia Cerifera (Carnauba) Wax, Mica, Caprylic/Capric Triglyceride, Squalane, Tocopherol, Glycine Soja (Soybean) Oil, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), MAY CONTAIN: Blue 1 Lake (CI 42090)","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rose Inc,"Rose Inc Brow Renew Enriched Shaping Gel, Tinted",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Glycerin, Squalane, C13-15 Alkane, Bentonite, Cetearyl Alcohol, Sodium Polyitaconate, Isopentyldiol, Isomalt, Methyl Dihydroabietate, Jojoba Esters, Gluconolactone, Pisum Sativum (Pea) Sprout Extract, Panthenol, Tocopherol, Lauroyl Lysine, Helianthus Annuus (Sunflower) Seed Oil, Sodium Phytate, Sodium Hydroxide, Sodium Benzoate, Xanthan Gum, Citric Acid, Sodium Citrate, [+/-: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)]
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Eye Brow Liner, Charcoal Brown",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
*Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cacao) Seed Butter, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, * Butyrospermum Parkii (Shea Butter), *Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Kaolin, Mica and Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Caution: Do not use if eye is injured, infected, irritated or moving. Consult a physician promptly if damage occurs.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"W3LL PEOPLE Expressionist Brow Gel, Dark Brown",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Water, Coconut Alkanes, Polyglyceryl-3 Polyricinoleate, Copernicia Cerifera (Carnauba) Wax, Brassica Campestris/Aleurites Fordi Oil Copolymer, Glycerin, Sorbitan Olivate, Octyldodecyl Oleate, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter, Helianthus Annuus (Sunflower) Seed Wax, Leuconostoc/Radish Root Ferment Filtrate, Magnesium Myristate, Silica, Zinc Stearate, Magnesium Sulfate, Sodium Chloride, Coco-Caprylate/Caprate, Aloe Barbadensis Leaf Juice, Cocos Nucifera (Coconut) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Tocopherol, Sodium Phytate, Helianthus Annuus (Sunflower) Seed Oil
(+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499).
Warnings from packaging:
NO NASTIES. Parabens, DEA, Phenoxyethanol, Petrochemicals, Fragrance, Sulfate,Propylene Glycol, GMO’s, Phthalates, Dimethicone, Nano Particles, EDTA","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Color Define Brow Pencil, Medium",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Synthetic Japan Wax, Copernicia Cerifera (Carnauba) Wax, Hydrogenated Vegetable Oil, Ozokerite, Bis-Diglyceryl Polyacyladipate-2, Silica, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Iron Oxides, Titanium Dioxide, Mica.
Warnings from packaging:
For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Brilliant Brow Tinted Brow Gel, Medium",EWG Verified,Brow Liner,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Coconut Alkanes, Silica, Polyglyceryl-3 Polyricinoleate, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba*, Brassica Campestris/Aleurites Fordi Oil Copolymer, Glycerin*, Sorbitan Olivate, Theobroma Cacao (Cocoa) Seed Butter*, Helianthus Annuus (Sunflower) Seed Wax, Butyrospermum Parkii (Shea) Butter*, Sambucus Nigra Fruit Extract, Octyldodecyl Oleate, Gluconolactone, Magnesium Myristate, Magnesium Sulfate, Sodium Chloride, Zinc Stearate, Vitis Vinifera (Grape) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Cocos Nucifera (Coconut) Oil*, Coco-Caprylate/Caprate, Aloe Barbadensis Leaf Juice*, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Sodium Benzoate, Calcium Gluconate, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).","EWG Verified,Product's animal testing policies,Leaping Bunny"
