Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
WELL PEOPLE,"Well People Bio Correct Concealer, 3N",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"Well People Bio Correct Concealer, 1C",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"Well People Bio Correct Concealer, 9N",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"Well People Bio Correct Concealer, 16C",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"Well People Bio Correct Concealer, 11N",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"Well People Bio Correct Concealer, 5N",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"Well People Bio Correct Concealer, 10W",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"Well People Bio Correct Concealer, 7C",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
,Rose Inc SOFTLIGHT LUMINOUS HYDRATING CONCEALER,EWG Verified,Concealer,,,,,"Ingredients from packaging:
Water/Aqua/Eau, C9-12 Alkane, Glycerin, Propanediol, Tribehenin, Pentylene Glycol, Polyglyceryl-3 Polyricinoleate, Sorbitan Isostearate, Disteardimonium Hectorite, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Squalane, Ranunculus Ficaria Extract, Acmella Oleracea Extract, Sodium Hyaluronate, Lysine, Tocopherol, Magnesium Chloride, Aluminum Hydroxide, Glyceryl Caprylate/Caprate, Sodium Lauroyl Glutamate, [+/-: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)]
Warnings from packaging:
Use only as directed above. Avoid contact with eyes. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
WELL PEOPLE,"Well People Bio Correct Concealer, 15W",EWG Verified,Concealer,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
