Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
WELL PEOPLE,"W3LL PEOPLE Nudist Multi-Use Cream Stick, Nude Peach",EWG Verified,Blush,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil*, Ricinus Communis (Castor) Seed Oil*, Candelilla (Euphorbia Cerifera) Wax, Copernicia Cerifera (Carnauba) Wax*, theobroma Cacao (Cocoa) Seed Butter*, Helianthus Annuus (Sunflower) Seed Wax, Shorea Robusta Resin, Rhus Verniciflua Peel Wax, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea Butter) Fruit*, Silica, Sesame Indium (Sesame) Seed Oil*, Olea Europe (Olie) Fruit Oil*, Zea Mays (corn) Starch*, Camellia Sinensis (Green Tea) Leaf*, Matricaria Chamomile (Chamomile) Flowers*, Aloe Barbadensis (Aloe Vera) Leaf*, Tocopherol, Phenethyl Alcohol, Ethylhexylglycerin. [+/- Mica, Titanium Dioxide, Iron Oxide, Red 7] *Certified Organic Ingredients
Warnings from packaging:
FREE FROM: Parabens, Coal Tar, Phenoxyethanol, Petrolatum, Nanoparticles, Synthetic Fragrance, Propylene Glycol, Phthalates, Dimethicone, Formaldehyde, Lead, Lead Compounds, BHT, BHA, DEA.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Almay,"Almay All-Day Intense Gel Eyeliner, Nocturnal Navy",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Dimethicone, Polyethylene, Synthetic Wax, Mica, Polybutene, Silica, Caprylic/Capric Triglyceride, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Propylene Carbonate, Stearalkonium Hectorite, Tin Oxide, Tocopherol, Carmine (CI 75470)/Cochineal, Ferric Ammonium Ferrocyanide (CI 77510), Ferric Ferrocyanide (CI 77510), Iron Oxides (CI 77491), Iron Oxides (CI 77499), Titanium Dioxide (CI 77891)
Warnings from packaging:
IMPORTANT: NEVER USE IF EYE IS INJURED, IRRITATED OR INFECTED. CONSULT AN EYE DOCTOR IMMEDIATELY IN CASE OF INJURY. ALWAYS HANDLE AND APPLY IN A CAREFUL AND SANITARY MANNER.","EWG Verified,Product's animal testing policies,Unknown"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Eye Liner, Twilight Green",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
*Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cacao) Seed Butter, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, * Butyrospermum Parkii (Shea Butter), *Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Kaolin, Mica and Iron Oxides (CI 77499).
Warnings from packaging:
Do not use if eye is injured, infected, irritated or moving. Consult a physician promptly if damage occurs.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
NakedPoppy,"NakedPoppy Clean Liquid Eyeliner, Black",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
Centaurea Cyanus Flower Water, Propanediol, Acacia Senegal Gum, Xanthan Gum, Sodium Lauryl Glucose Carboxylate, Lauryl Glucoside, Dehydroacetic Acid, Benzyl Alcohol, Aqua (Water, Eau), Sodium Benzoate, Potassium Sorbate, Sodium Citrate, Sorbic Acid, Iron Oxides (CI 77499)","EWG Verified,Product's animal testing policies,Leaping Bunny"
WELL PEOPLE,"W3LL PEOPLE Hypnotist Eye Pencil, Brown",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
Hydrogenated Vegetable Oil, Rhus Verniciflica Peel Wax, Hydrogenated Vegetable Glycerides, Hydrogenated Coco Glycerides, Simmondsia Chinensis (Jojoba) Seed Oil, Cetyl Palmitate, Caprylic/Capric Triglyceride, Soy Lecithin, [+/-: Titanium Dioxide (CI 77891), Ultramarines CI 77-7, CI 77013, Chromium Hydroxide Green CI 77289, Mica (CI 77019), Iron Oxides CI 77489, CI 77491, CI 77492, CI 77499]","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
C&#39;est Moi,"C'est Moi Fearless Eyeliner Pencil, Black",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
Hydrogenated Jojoba Oil, Caprylic/Capric Triglyceride, Hydrogenated Vegetable Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Canola Oil/Huile de colza, Mica, Sclerocarya Birrea Seed Oil, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Glyceryl Caprylate, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Ascorbyl Palmitate. May Contain: Iron Oxides (CI 77491/CI 77492/CI 77499)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Unknown"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Eye Liner, Midnight Blue",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
*Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cacao) Seed Butter, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, * Butyrospermum Parkii (Shea Butter), *Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Kaolin, Mica and Iron Oxides (CI 77499)
Warnings from packaging:
Caution: Do not use if eye is injured, infected, irritated or moving. Consult a physician promptly if damage occurs.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,W3LL PEOPLE Expressionist Liquid Eyeliner,EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
Water, Iron Oxides (CI 77499), Brassica Campestris/Aleurites Fordi Oil Copolymer, Cystine, Lauroyl Arginine, Sodium Cocoyl Glutamate, Glyceryl Oleate Citrate, Glycerin, Methyl Dihydroabietate, Bentonite Clay, Lactobacillus Ferment, Caprylyl Glycol, Caprylic/Capric Triglyceride, Xanthan Gum, Caprylhydroxamic Acid, Aloe Barbadensis Leaf Juice*, Euphrasia Officinalis Extract*, Rosmarinus Officinalis (Rosemary) Leaf Extract, Leuconostoc Ferment Filtrate], *USDA Certified Organic
Warnings from packaging:
FREE FROM: Parabens, Coal Tar, Phenoxyethanol, Petrolatum, Nanoparticles, Synthetic Fragrance, Propylene Glycol, Phthalates, Dimethicone, Formaldehyde, Lead, Lead Compounds, BHT, BHA, DEA.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Vibeliner Pencil Eyeliner, Harmony",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
Hydrogenated Jojoba Oil, Caprylic/Capric Triglyceride, Limnanthes Alba (Meadowfoam) Seed Oil, Hydrogenated Cottonseed Oil, Mangifera Indica (Mango) Seed Oil, Euphorbia Cerifera (Candelilla) Wax, Glyceryl Caprylate, Copernicia Cerifera (Carnauba) Wax, Macadamia Integrifolia Seed Oil, Chamomilla Recutita (Matricaria) Flower Extract, Tocopherol, Ascorbyl Palmitate, Mica (CI 77019), MAY CONTAIN: Iron Oxides (CI 77491, CI 77492, CI 77499), Ferric Ferrocyanide (CI 77510)","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Color Outline Eye Pencil, Violet",EWG Verified,Eye Liner,,,,,"Ingredients from packaging:
Stearic Acid, Hydrogenated Palm Kernel Glycerides, Synthetic Japan Wax, Hydrogenated Vegetable Oil, Hydrogenated Castor Oil, Cetyl Palmitate, Hydrogenated Coco-Glycerides, Copernicia Cerifera (Carnauba) Wax, Caprylic/Capric Triglyceride, Hydrogenated Palm Glycerides, Calcium Carbonate, Coco-Caprylate/Caprate, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Mica, Iron Oxides, Titanium Dioxide, Ferric Ferrocyanide, Carmine.
Warnings from packaging:
For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Leaping Bunny"
