Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Just the Goods,Just the Goods vegan eye make up remover,EWG Verified,Eye Makeup Remover,,,,,"Ingredients from packaging:
alcohol-free hammamelis virginiana (witch hazel) water (0.15% benzoic acid) / hammamelis virginiana (eau d'hamamÃ©lis virginiana sans alcool) water (0.15% acide benzoÃ¯que), olea europaea (olive fruit d'olivier) fruit oil, simmondsia chinensis (jojoba) seed oil, tocopherol (vitamin e - non-GMO soy/non-OGM soja)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,Beautycounter Instant Eye Makeup Remover,EWG Verified,Eye Makeup Remover,,,,,"Ingredients from packaging:
: Aqua/Water/Eau, coco-caprylate/caprate, dicaprylyl carbonate, undecane, methylpropanediol, tridecane, sodium chloride, centaurea cyanus flower water, macadamia ternifolia seed oil, salicylic acid, phenethyl alcohol, caprylyl/capryl glucoside, tocopherol, sodium benzoate, potassium sorbate, citric acid, helianthus annus (sunflower) seed oil.
Warnings from packaging:
N/A","EWG Verified,Product's animal testing policies,Leaping Bunny"
Honest Beauty,Honest Beauty Makeup Remover Wipes,EWG Verified,Eye Makeup Remover,,,,,"Ingredients from packaging:
Water, Propanediol, Isopropyl palmitate, Glycolipids, Hydroxyacetophenone, Glyceryl Citrate/Lactate/Linoleate/Oleate, 1,2-Hexanediol, Caprylyl Glycol, Polyglyceryl-4 Cocoate, Polyglyceryl-3 Caprate, Glyceryl Caprylate, Trisodium Ethylenediamine Disuccinate, Sodium Citrate","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Andrea,"Andrea EyeQ's Eye Make-Up Remover Pads, Moisturizing",01,Eye Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
MINERAL OIL (PARAFFINUM LIQUIDUM, HUILE MINERAL), CHAMOMILA RECUTITA (MATRICARIA) FLOWER EXTRACT, GLYCINE SOJA (SOYBEAN) SEED EXTRACT CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL","Product's animal testing policies,PETA Cruelty-free Companies"
,"Rowe Casa Orgainics, Eye Makeup Remover",01,Eye Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ORGANIC RAW & UNREFINED COCONUT OIL, ORGANIC SWEET ALMOND OIL, 100% PURE THERAPEUTIC GRADE ESSENTIAL OIL: ROSEMARY.","Product's animal testing policies,Unknown"
Clinique,Clinique Rinse Off Eye Makeup Solvent,01,Eye Makeup Remover,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER/AQUA/EAU, PEG-32, BUTYLENE GLYCOL, DISODIUM COCOAMPHODIACETATE, PEG-6, TRISODIUM EDTA, PHENOXYETHANOL","Product's animal testing policies,Unknown"
Beauty 360,Beauty 360 Gentle Eye Makeup Remover,02,Eye Makeup Remover,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
WATER, CYCLOPENTASILOXANE, HEXYLENE GLYCOL, ALLANTOIN, DIPOTASSIUM PHOSPHATE, POLOXAMER 184, SODIUM CHLORIDE, ALOE VERA EXTRACT, CUCUMBER EXTRACT, DISODIUM EDTA, CITRIC ACID, POLYAMINOPROPYL BIGUANIDE","Product's animal testing policies,Unknown"
Rite Aid,Rite Aid Eyelid Wipes Makeup Remover,02,Eye Makeup Remover,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, POLYSORBATE 20, DISODIUM PHOSPHATE, LAURYL GLUCOSIDE, SODIUM CHLORIDE, SODIUM PHOSPHATE, PVP, DISODIUM EDTA, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, GLYCERIN","Product's animal testing policies,Unknown"
Simple,Simple Eye Make-up Remover Pads,02,Eye Makeup Remover,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER (EAU), CETEARYL ISONONANOATE, PROPANEDIOL, GLYCERIN, SODIUM BENZOATE, CETEARETH-20, CETEARYL ALCOHOL, GLYCERYL STEARATE, SODIUM CITRATE, CITRIC ACID, CETEARETH-12, PANTHENOL, TOCOPHERYL ACETATE.","Product's animal testing policies,Unknown"
CeraVe,Cerave Comforting Eye Makeup Remover,02,Eye Makeup Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
20515042 - : AQUA/WATER/EAU, ISOHEXADECANE, SORBITOL, PEG-60 HYDROGENATED CASTOR OIL, STEARETH-2, CERAMIDE NP, CERAMIDE AP, CERAMIDE EOP, CARBOMER, TRIETHYL CITRATE, SODIUM HYALURONATE, SODIUM LAUROYL LACTYLATE, CHOLESTEROL, CHLORHEXIDINE DIGLUCONATE, HYDROXYACETOPHENONE, TETRASODIUM GLUTAMATE DIACETATE, CITRIC ACID, HYDROXYETHYLCELLULOSE, CAPRYLYL GLYCOL, PHYTOSPHINGOSINE, XANTHAN GUM, BENZOIC ACID","Product's animal testing policies,Unknown"
CVS,"CVS Health, Cleansing Eyelid Wipes, Moist Pads",02,Body Cleansing Wipes,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER, PEG-80 SORBITAN LAURATE, PEG-15 COCOPOLYAMINE, PEG-150 DISTEARATE, COCAMIDOPROPYL HYDROXYSULTAINE, SODIUM TRIDECETH SULFATE, SODIUM LAUROAMPHOACETATE, SODIUM LAURETH-13 CARBOXYLATE, SODIUM CHLORIDE, 1,2-HEXANEDIOL, POLYAMINOPROPYL BIGUANIDE, CAPRYLYL GLYCOL, CITRIC ACID","Product's animal testing policies,Unknown"
Green Beauty Cosmetics,Green Beauty Cosmetics Mascara Remover,02,Eye Makeup Remover,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
Castor Oil, Sesamum Indicum (Sesame) Oil, Butyrospermum Parkii (Shea Butter), Persea Gratissima (Avocado) Fruit Oil, Glycine Soja (Soybean) Oil, Cocos Nucifera (Coconut) Oil, Beeswax, Olea Europaea (Olive) Oil, Theobroma Cacao (Cacao) Seed Butter, Dilauryl Citrate, Polyglyceryl-4 Laurate, Sorbitan Laurate (emulsifiers), Glycyrrhiza Glabra (Licorice) Root Extract, Lavandula Angustifolia (Lavender) Oil, Tocopherol Citrate, Polyglyceryl-4 Laurate, Sorbitan Laurate, Tocopherol, Lavandula Angustifolia (Lavender) Oil, Glycyrrhiza Glabra (Licorice) Root Extract","Product's animal testing policies,PETA Cruelty-free Companies"
Almay,Almay Biodegradable Longwear &#38; Waterproof Eye Makeup Remover Pads - 120ct,02,Eye Makeup Remover,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
PARAFFINUM LIQUIDUM/MINERAL OIL/HUILE MINERALE, PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE, ALOE BARBADENSIS LEAF EXTRACT, C12-15 ALKYL BENZOATE, CAMELLIA SINENSIS LEAF EXTRACT, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, PHENOXYETHANOL","Product's animal testing policies,Unknown"
CVS,Cvs Cleansing Eyelid Wipes,02,Eye Makeup Remover,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER, PEG-15 COCOPOLYAMINE, COCAMIDOPROPYL BETAINE, DISODIUM LAURETH SULFOSUCCINATE, DISODIUM LAURYL SULFOSUCCINATE, COCAMIDOPROPYL HYDROXYSULTAINE, DECYL GLUCOSIDE, COCAMIDE MIPA, SODIUM CHLORIDE, 1,2-HEXANEDIOL, POLYAMINOPROPYL BIGUANIDE, CAPRYLYL GLYCOL, CITRIC ACID","Product's animal testing policies,Unknown"
Almay,Almay Eye Makeup Remover Pads,02,Eye Makeup Remover,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
AQUA/WATER/EAU, POLOXAMER 184, BUTYLENE GLYCOL, ALOE BARBADENSIS LEAF EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CITRIC ACID, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, DISODIUM LAUROAMPHODIACETATE, HEXYLENE GLYCOL, ISOPROPYL ALCOHOL, SODIUM TRIDECETH SULFATE, CHLORPHENESIN, PHENOXYETHANOL, SODIUM BENZOATE.","Product's animal testing policies,Unknown"
Almay,Almay Biodegradable Longwear & Waterproof Hypoallergenic Eye Makeup Remover Pads,02,Eye Makeup Remover,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
PARAFFINUM LIQUIDUM/MINERAL OIL/Huile Minerale, PROPYLENE GLYCOL, DICAPRYLATE/DICAPRATE, ALOE BARBADENSIS LEAF EXTRACT, C12-15 ALKYL BENZOATE, CAMELLIA SINENSIS LEAF EXTRACT, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, PHENOXYETHANOL.","Product's animal testing policies,Unknown"
Rite Aid,Rite Aid Cleansing Eyelid Wipes,02,Eye Makeup Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, PEG-80 SORBITAN LAURATE, SODIUM TRIDECETH SULFATE, COCAMIDOPROPYL HYDROXYSULTAINE, PEG-150 DISTEARATE, SODIUM LAUROAMPHOACETATE, SODIUM LAURETH-13 CARBOXYLATE, QUATERNIUM-15, PEG-15 COCOPOLYAMINE, SODIUM CHLORIDE, CITRIC ACID","Product's animal testing policies,Unknown"
Systane,Alcon Systane Lid Wipes,02,Eye Makeup Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Purified Water, PEG-200 Hydrogenated Glyceryl Palmate, Disodium Laureth Sulfosuccinate, Cocamido Propyl Amine Oxide, PEG-80 Glyceryl Cocoate, Benzyl Alcohol, Edetate Disodium
Directions from packaging:
: 1. Rub the closed lid wipe pouch to develop lather, the open 2. Close eye and sweep lid wipe gently across eyelid several times. 3. Using a fresh wipe, repeat process on the other eye. 4. Rinse both eyes with clean, warm water and pat dry. 5. Discard after use. Store at room temperatures.","Product's animal testing policies,Unknown"
Clinique,"Clinique Take the Day Off Makeup Remover for Lids, Lashes & Lips",02,Eye Makeup Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER AQUAEAU, ISODODECANE, ISOHEXADECANE, HYDROGENATED POLYISOBUTENE, PEG-4 DILAURATE, LAURYL METHYL GLUCETH-10 HYDROXYPROPYLDIMONIUM CHLORIDE, HEXYLENE GLYCOL, SODIUM CHLORIDE, POTASSIUM PHOSPHATE, DIPOTASSIUM PHOSPHATE, DIPOTASSIUM EDTA, PHENOXYETHANOL","Product's animal testing policies,Unknown"
Daylogic,Daylogic Eye Makeup Remover,03,Eye Makeup Remover,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, CYCLOPENTASILOXANE, GLYCERIN, DIPROPYLENE GLYCOL, POLOXAMER 184, BENZYL ALCOHOL, BENZALKONIUM CHLORIDE, ALOE BARBADENSIS LEAF JUICE, SODIUM CHLORIDE, DISODIUM EDTA, ALLANTOIN, DISODIUM PHOSPHATE, POTASSIUM PHOSPHATE, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT.","Product's animal testing policies,Unknown"
Up &amp; Up,Up & Up Eye Makeup Remover,03,Eye Makeup Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, C15-23 ALKANE, C13-14 ALKANE, ALOE BARBADENSIS LEAF JUICE, BENZYL ALCOHOL, SODIUM CHLORIDE, DIPROPYLENE GLYCOL, POLOXAMER 182, ALLANTOIN, TRIPOTASSIUM EDTA, BENZALKONIUM CHLORIDE, GLYCERIN, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, PROPYLENE GLYCOL, POTASSIUM PHOSPHATE, DIPOTASSIUM PHOSPHATE.","Product's animal testing policies,Unknown"
Earth Science,"Earth Science Eye Makeup Remover, Chamomile & Green Tea",03,Eye Makeup Remover,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
(INCI): AQUA, PROPANEDIOL, GLYCERIN, DECYL GLUCOSIDE, DISODIUM COCOAMPHODIACETATE, SODIUM HYALURONATE, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, CAMELLIA SINENSIS (GREEN TEA LEAF EXTRACT, ALLANTOIN, VACCINIUM MYRTILLUS (BILBERRY) FRUIT EXTRACT, EUPHRASIA OFFICINALIS (EYEBRIGHT) EXTRACT, FOENICULUM VULGARE (FENNEL) SEED EXTRACT, TOCOPHEROL, HYDROXYETHYLCELLULOSE, ASCORBIC ACID, LACTIC ACID, YEAST EXTRACT, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN.","Product's animal testing policies,Unknown"
Signature Care,Signature Care Eye Makeup Remover,03,Eye Makeup Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, C15-23 ALKANE, C13-14 ALKANE, ALOE BARBADENSIS LEAF JUICE, BENZYL ALCOHOL, SODIUM CHLORIDE, DIPROPYLENE GLYCOL, POLOXAMER 182, ALLANTOIN, TRIPOTASSIUM EDTA, BENZALKONIUM CHLORIDE, GLYCERIN, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, PROPYLENE GLYCOL, POTASSIUM PHOSPHATE, DIPOTASSIUM PHOSPHATE.","Product's animal testing policies,Unknown"
Farmacy,Farmacy Green Clean Makeup Meltaway Cleansing Balm,03,Eye Makeup Remover,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
CETYL ETHYLHEXANOATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, PEG-20 GLYCERYL TRIISOSTEARATE, PEG-10 ISOSTEARATE, POLYETHYLENE, ECHINACEA PURPUREA ROOT EXTRACT, CARICA PAPAYA (PAPAYA) FRUIT EXTRACT, MORINGA PTERYGOSPERMA SEED EXTRACT, MORINGA OLEIFERA SEED OIL, ZINGIBER OFFICINALE (GINGER) ROOT OIL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, SORBITAN SESQUIOLEATE, CITRUS AURANTIFOLIA (LIME) OIL, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, GLYCERIN, MELIA AZADIRACHTA LEAF EXTRACT, MELIA AZADIRACHTA FLOWER EXTRACT, CORALLINA OFFICINALIS EXTRACT, CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL, AMBER POWDER, CANANGA ODORATA FLOWER OIL, COCCINIA INDICA FRUIT EXTRACT, SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT, CURCUMA LONGA (TURMERIC) ROOT EXTRACT, OCIMUM SANCTUM LEAF EXTRACT, WATER/AQUA/EAU, BUTYLENE GLYCOL, DISODIUM PHOSPHATE, CITRIC ACID, PHENOXYETHANOL, CITRAL, LIMONENE, LINALOOL","Product's animal testing policies,Unknown"
CVS,Cvs Pharmacy Gentle Eye Makeup Remover,03,Eye Makeup Remover,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, POLOXAMER 184, BUTYLENE GLYCOL, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, ALOE BARBADENSIS LEAF EXTRACT, CAMELLIA SINESSIS LEAF (GREEN TEA) EXTRACT, DISODIUM LAUROAMPHODIACETATE, SODIUM TRIDECETH SULFATE, HEXYLENE GLYCOL, BENZYL ALCOHOL, CITRIC ACID, PHENOXYETHANOL","Product's animal testing policies,Unknown"
Coastal Classic Creations,Coastal Classic Creations Coastal Moon Makeup Remover & Facial Oil,03,Eye Makeup Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Olea Europaea (Olive) Fruit Oil; Daucus carota sativa (Carrot) Seed Oil; Helichrysum italicum (Helichrysum) Oil; Boswellia carteri (Frankincense) Oil; Phthalate-free, premium grade Lemon Verbena fragrance oil; Phthalate-free, premium grade Neroli fragrance oil","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
BIOLOGIQUE RECHERCHE,Biologique Recherche Solution Demaquilleante Pour Les Yeux,03,Eye Makeup Remover,LOW,MODERATE,MODERATE,MODERATE,"Ingredients from packaging:
ACTINIDIA CHINENSIS ( KIWI) FRUIT WATER, ISOHEXADECANE, WATER (AQUA), PENTYLENE GLYCOL, POLYSORBATE 20, SEA WATER ( MARIS AQUA), LACTOBACILLUS/WASABIA JAPONICA ROOT FERMENT EXTRACT, HAMAMELIS VIRGINIANA (WITCH HAZEL) WATER, CENTAUREA CYANUS FLOWER WATER, BUTYLENE GLYCOL, PEG/PPG-8/3 LAURATE, PUERARIA LOBATA ROOT EXTRACT, PHENOXYETHANOL, POTASSIUM SORBATE, CITRIC ACID, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, CUCURBITA PEPO (PUMPKIN) SEED EXTRACT","Product's animal testing policies,Unknown"
