Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Beautycounter,"Beautycounter Lid Glow Cream Shadow, Luster",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Mica, Zea Mays (Corn) Starch*, Coconut Alkanes, Glycerin, Polyglyceryl-6 Distearate, Di-C20-40 Alkyl Dimer Dilinoleate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Cetyl Alcohol, Capryloyl Glycerin/Sebacic Acid Copolymer, Gluconolactone, Jojoba Esters, Glyceryl Behenate, Bentonite, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Acacia Decurrens Flower Wax, Microcrystalline Cellulose, Helianthus Annuus (Sunflower) Seed Wax, Aloe Barbadensis Leaf Juice*, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Polyglyceryl-3 Beeswax, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Hydroxyacetophenone, Xanthan Gum, Coco-Caprylate/Caprate, Cellulose Gum, Polyglycerin-3, Sodium Benzoate, Calcium Gluconate, Sodium Hydroxide, Sodium Chloride, Tocopherol, Tin Oxide, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Lid Glow Cream Shadow, Dusk",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Mica, Zea Mays (Corn) Starch*, Coconut Alkanes, Glycerin, Polyglyceryl-6 Distearate, Di-C20-40 Alkyl Dimer Dilinoleate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Cetyl Alcohol, Capryloyl Glycerin/Sebacic Acid Copolymer, Gluconolactone, Jojoba Esters, Glyceryl Behenate, Bentonite, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Acacia Decurrens Flower Wax, Microcrystalline Cellulose, Helianthus Annuus (Sunflower) Seed Wax, Aloe Barbadensis Leaf Juice*, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Polyglyceryl-3 Beeswax, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Hydroxyacetophenone, Xanthan Gum, Coco-Caprylate/Caprate, Cellulose Gum, Polyglycerin-3, Sodium Benzoate, Calcium Gluconate, Sodium Hydroxide, Sodium Chloride, Tocopherol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499), Ferric Ferrocyanide (CI 77510).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Lid Glow Cream Shadow, Prism",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Mica, Zea Mays (Corn) Starch*, Coconut Alkanes, Glycerin, Polyglyceryl-6 Distearate, Di-C20-40 Alkyl Dimer Dilinoleate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Cetyl Alcohol, Capryloyl Glycerin/Sebacic Acid Copolymer, Gluconolactone, Jojoba Esters, Glyceryl Behenate, Bentonite, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Acacia Decurrens Flower Wax, Microcrystalline Cellulose, Helianthus Annuus (Sunflower) Seed Wax, Aloe Barbadensis Leaf Juice*, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Polyglyceryl-3 Beeswax, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Hydroxyacetophenone, Xanthan Gum, Coco-Caprylate/Caprate, Cellulose Gum, Polyglycerin-3, Sodium Benzoate, Calcium Gluconate, Sodium Hydroxide, Sodium Chloride, Tocopherol, Tin Oxide, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499), Ferric Ferrocyanide (CI 77510).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Lid Glow Cream Shadow, Ember",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Mica, Zea Mays (Corn) Starch*, Coconut Alkanes, Glycerin, Polyglyceryl-6 Distearate, Di-C20-40 Alkyl Dimer Dilinoleate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Cetyl Alcohol, Capryloyl Glycerin/Sebacic Acid Copolymer, Gluconolactone, Jojoba Esters, Glyceryl Behenate, Bentonite, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Acacia Decurrens Flower Wax, Microcrystalline Cellulose, Helianthus Annuus (Sunflower) Seed Wax, Aloe Barbadensis Leaf Juice*, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Polyglyceryl-3 Beeswax, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Hydroxyacetophenone, Xanthan Gum, Coco-Caprylate/Caprate, Cellulose Gum, Polyglycerin-3, Sodium Benzoate, Calcium Gluconate, Sodium Hydroxide, Sodium Chloride, Tocopherol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Sally B&#39;s Skin Yummies,"Sally B's Skin Yummies B Smudged, Smokey Brown (2022 formulation)",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Organic Cocos Nucifera (Coconut) Oil, Organic Theobroma Cacao (Cocoa) Seed Butter, Organic Argania spinosa (Argan) oil, Organic Beeswax, Infused Organic Calendula officinalis (Flower), Tocopherols, Mica","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Lid Glow Cream Shadow, Haze",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Mica, Zea Mays (Corn) Starch*, Coconut Alkanes, Glycerin, Polyglyceryl-6 Distearate, Di-C20-40 Alkyl Dimer Dilinoleate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Cetyl Alcohol, Capryloyl Glycerin/Sebacic Acid Copolymer, Gluconolactone, Jojoba Esters, Glyceryl Behenate, Bentonite, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Acacia Decurrens Flower Wax, Microcrystalline Cellulose, Helianthus Annuus (Sunflower) Seed Wax, Aloe Barbadensis Leaf Juice*, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Polyglyceryl-3 Beeswax, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Hydroxyacetophenone, Xanthan Gum, Coco-Caprylate/Caprate, Cellulose Gum, Polyglycerin-3, Sodium Benzoate, Calcium Gluconate, Sodium Hydroxide, Sodium Chloride, Tocopherol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Rejuva Minerals,"Rejuva Minerals Multi Purpose Pressed Powder For Eyes, Moonless Night",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Boron Nitride, Lauroyl Lysine, Kaolin, Copernicia Cerifera (Carnauba) Wax*, Simmondsia Chinensis (Jojoba) Seed Oil*, Vitis Vinifera (Grape) Fruit Extract*, Vaccinium Corymbosum (Blueberry) Fruit Extract*, May Contain: Iron Oxide CI 77499. *USDA Certified Organic
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Lid Glow Cream Shadow, Aura",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Mica, Zea Mays (Corn) Starch*, Coconut Alkanes, Glycerin, Polyglyceryl-6 Distearate, Di-C20-40 Alkyl Dimer Dilinoleate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Cetyl Alcohol, Capryloyl Glycerin/Sebacic Acid Copolymer, Gluconolactone, Jojoba Esters, Glyceryl Behenate, Bentonite, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Acacia Decurrens Flower Wax, Microcrystalline Cellulose, Helianthus Annuus (Sunflower) Seed Wax, Aloe Barbadensis Leaf Juice*, Chamomilla Recutita (Matricaria) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Polyglyceryl-3 Beeswax, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Hydroxyacetophenone, Xanthan Gum, Coco-Caprylate/Caprate, Cellulose Gum, Polyglycerin-3, Sodium Benzoate, Calcium Gluconate, Sodium Hydroxide, Sodium Chloride, Tocopherol, Tin Oxide, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499).","EWG Verified,Product's animal testing policies,Leaping Bunny"
EARTHA,"EARTHA The Break of Dawn Eye Shadow Palette, E/G",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Dimethicone, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Magnesium Stearate, Silica, Trimethylsiloxysilicate, Dimethicone/Vinyl Dimethicone Crosspolymer, Caprylyl Glycol, Hydroxyacetophenone, Tocopherol, Mica, Tin Oxide, May Contain(+/-):Titanium Dioxide(CI 77891), Iron Oxides(CI 77491), Iron Oxides(CI 77492), Iron Oxides(CI 77499)
Warnings from packaging:
Cautions: If you accidentally get into your eyes, please rinse with plenty of water. If you feel unwell after use, please stop using and seek medical advice immediately.","EWG Verified,Product's animal testing policies,Unknown"
Rejuva Minerals,"Rejuva Minerals Multi Purpose Pressed Powder For Eyes, Beach Bum",EWG Verified,Eye Shadow,,,,,"Ingredients from packaging:
Boron Nitride, Lauroyl Lysine, Kaolin, Copernicia Cerifera (Carnauba) Wax*, Simmondsia Chinensis (Jojoba) Seed Oil*, Caprylyl Glycol, Tocopherol, Santalum Album (Sandalwood)*, Vitis Vinifera (Grape) Seed Oil*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, May Contain: Iron Oxide CI 77492, Iron Oxide CI 77491, Iron Oxide CI 77499","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
