Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Honest Beauty,Honest Beauty Invisible Blurring Loose Powder,EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
Zea Mays (Corn) Starch, Silica, Oryza Sativa (Rice) Starch, Zinc Stearate, Magnesium Stearate, Iron Oxides (CI 77491, CI 77492, CI 77499).
Warnings from packaging:
Caution: Avoid direct contact with eyes. If contact occurs, flush thoroughly with water. In case of irritation, discontinue use and consult your doctor.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,W3LL PEOPLE Realist Invisible Setting Powder (2022 formulation),EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
Cornstarch, Aloe Barbadenis Powder (Aloe)*, Maranta Arudina- cea Root (Arrowroot), Silica, Matricaria recutita (Chamomile)**, Camellia Sinensis (Green Tea)* *USDA Organic, **QAI","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rejuva Minerals,Rejuva Minerals Multi Task Powder,EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
Tapioca Starch*, Copernicia Cerifera (Carnauba) Wax*, Lauroyl Lysine, Boron Nitride, Citrus Aurantium (Orange Oil), Cymbopogon Citratus (Lemon Grass Oil), Sesamum Indicum (Sesame Oil)
Warnings from packaging:
NA","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
EARTHA,EARTHA Air Sensitive Soft Burn Face Powder,EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
Mica, Silica, Caprylic/Capric Triglyceride, Lauroyl Lysine, Magnesium Stearate, Hydroxyacetophenone, Caprylyl Glycol, Iron Oxides(CI 77492), Iron Oxides(CI 77491), Iron Oxides(CI 77499)
Warnings from packaging:
Cautions: If you accidentally get into your eyes, please rinse with plenty of water. If you feel unwell after use, please stop using and seek medical advice immediately.","EWG Verified,Product's animal testing policies,Unknown"
WELL PEOPLE,W3ll People Bio Brightener Baked Powder,EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
MICA, ZEA MAYS STARCH / ZEA MAYS (CORN) STARCH*, OCTYLDODECANOL, PENTYLENE GLYCOL, HECTORITE, SQUALANE, LAUROYL LYSINE, POLYGLYCERYL-3 DIISOSTEARATE, POTASSIUM SORBATE, HONOKIOL, LACTIC ACID, AQUA / WATER, MAY CONTAIN: CI 77891 / TITANIUM DIOXIDE, CI 77491 / IRON OXIDES, CI 77492 / IRON OXIDES, CI 77499 / IRON OXIDES
Warnings from packaging:
NO NASTIES. Parabens, DEA, Phenoxyethanol, Petrochemicals, Fragrance, Sulfate,Propylene Glycol, GMO’s, Phthalates, Dimethicone, Nano Particles, EDTA","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,W3ll People Bio Base Baked Powder,EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
""MICA, ZEA MAYS STARCH / ZEA MAYS (CORN) STARCH*, OCTYLDODECANOL, PENTYLENE GLYCOL, HECTORITE, SQUALANE, LAUROYL LYSINE, POLYGLYCERYL-3 DIISOSTEARATE, POTASSIUM SORBATE, HONOKIOL, LACTIC ACID, AQUA / WATER
MAY CONTAIN +/-: CI 77891 / TITANIUM DIOXIDE, CI 77491 / IRON OXIDES, CI 77492 / IRON OXIDES, CI 77499 / IRON OXIDES""","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,Beautycounter Mattifying Powder,EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
Zea Mays (Corn) Starch, Lauroyl Lysine, Silica, Phenoxyethanol, Ethylhexyl Palmitate, Bismuth Oxychloride.","EWG Verified,Product's animal testing policies,Leaping Bunny"
WELL PEOPLE,W3LL PEOPLE Bio Brightener Invisible Powder,EWG Verified,Facial Powder,,,,,"Ingredients from packaging:
Mica, Silica, Iron Oxides (CI 77491), Pearl Powder, Aloe Barbadensis Leaf*, *USDA Organic
Warnings from packaging:
FREE FROM: Parabens, Coal Tar, Phenoxyethanol, Petrolatum, Nanoparticles, Synthetic Fragrance, Propylene Glycol, Phthalates, Dimethicone, Formaldehyde, Lead, Lead Compounds, BHT, BHA, DEA.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
FLOWER,Flower Beauty MIRACLE MATTE TRANSLUCENT FINISHING POWDER,01,Facial Powder,LOW,LOW,LOW,LOW,"Ingredients from packaging:
SILICA","Product's animal testing policies,PETA Cruelty-free Companies"
Crunchi,Crunchi Translucent Finishing Powder,01,Facial Powder,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
Silica (Amorphous)","Product's animal testing policies,Leaping Bunny"
