Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Holograve Cosmetics,"Holograve Cosmetics Holocinogen Flakes, Lucid",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Titanium Dioxide, Mica, Silica","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Tropical Sunset",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Fairy Princess",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Royal Melody",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Holograve Cosmetics,"Holograve Cosmetics Holocinogen Flakes, Mourning Glory",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Titanium Dioxide, Mica, Silica","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Tidal Wave",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Butterfly Wings",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Holograve Cosmetics,"Holograve Cosmetics Holocinogen Flakes, Opalium",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Titanium Dioxide, Mica, Silica","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Sea Breeze",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
,"Makeup Addiction Glitter, Bare Green",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
: Synthetic Fluorphlogopite, Titanium dioxide, Tin Oxide","Product's animal testing policies,Unknown"
Holograve Cosmetics,"Holograve Cosmetics Magic Holocinogen Flakes, Mushroom",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Titanium Dioxide, Mica, Silica","Product's animal testing policies,Unknown"
Holograve Cosmetics,"Holograve Cosmetics Holocinogen Flakes, Hysteria",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Titanium Dioxide, Mica, Silica","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Hidden Flame",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Holograve Cosmetics,Holograve Cosmetics Acidic Holocinogen Flakes,01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Titanium Dioxide, Mica, Silica","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Chameleon Flakes, Lime Life",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
L.A. Colors,"L.a. Colors Face & Body Glitter, Iridescent C37122",01,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
AQUA (WATER), POLYETHYLENE TEREPHTHALATE, PROPYLENE GLYCOL, GLYCERIN, DEXTRIN PALMITATE, PHENOXYETHANOL, ACRYLIC COPOLYMER","Product's animal testing policies,Unknown"
Holograve Cosmetics,"Holograve Cosmetics Ectoplasm Gel, Angel Dust",01,Glitter,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Silica, Butylene Glycol, Mica, Titanium Dioxide, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Carbomer, PEG-240/HDI Copolymer Bis-Declytetradeceth-20 Ether, Disteardimonium Hectorite, Arginine, Glyceryl Caprylate, Glycerin, Capryhydroxamic Acid.","Product's animal testing policies,Unknown"
,"Nyx Professional Makeup Metallic Glitter, Lumi Lite Mgli05",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
POLYETHYLENE TEREPHTHALATE, ACRYLATES COPOLYMER.","Product's animal testing policies,Unknown"
Holograve Cosmetics,Holograve Cosmetics Pit Ectoplasm Gel,01,Glitter,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Silica, Butylene Glycol, Mica, Titanium Dioxide, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Carbomer, PEG-240/HDI Copolymer Bis-Declytetradeceth-20 Ether, Disteardimonium Hectorite, Arginine, Glyceryl Caprylate, Glycerin, Capryhydroxamic Acid.","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild, Individual Gems, Star Crazy 1230478, stick on",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Holograve Cosmetics,Holograve Cosmetics Pushing Daisies Ectoplasm Gel,01,Glitter,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Silica, Butylene Glycol, Mica, Titanium Dioxide, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Carbomer, PEG-240/HDI Copolymer Bis-Declytetradeceth-20 Ether, Disteardimonium Hectorite, Arginine, Glyceryl Caprylate, Glycerin, Capryhydroxamic Acid.","Product's animal testing policies,Unknown"
L.A. Colors,"L.a. Colors Face & Body Glitter, Iridescent C37164",01,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
AQUA (WATER), POLYETHYLENE TEREPHTHALATE, PROPYLENE GLYCOL, GLYCERIN, DEXTRIN PALMITATE, PHENOXYETHANOL, ACRYLIC COPOLYMER","Product's animal testing policies,Unknown"
,"Makeup Addiction Glitter, Antique Bronze",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
: Synthetic Fluorphlogopite, Iron Oxide","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild Fm Individual Gems, Heart & Soul",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Holograve Cosmetics,"Holograve Cosmetics Ectoplasm Gel, Hazed",01,Glitter,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Silica, Butylene Glycol, Mica, Titanium Dioxide, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Carbomer, PEG-240/HDI Copolymer Bis-Declytetradeceth-20 Ether, Disteardimonium Hectorite, Arginine, Glyceryl Caprylate, Glycerin, Capryhydroxamic Acid.","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild Gem Face Mask, Cosmic Queen 1230591",01,Glitter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
STYRENE/BUTADIENE COPOLYMER, EPOXIDIZED SOYBEAN OIL.","Product's animal testing policies,Unknown"
Wet N Wild,"Wet N Wild Fm Glitter Gel, Bone Zone 1230766",02,Glitter,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER/EAU, POLYETHYLENE TEREPHTHALATE, BUTYLENE GLYCOL, PVP, POLYBUTYLENE TEREPHTHALATE, POLYMETHYL METHACRYLATE, POLYLACTIC ACID, GLYCERIN, TRIETHANOLAMINE, CARBOMER, PHENOXYETHANOL, CAPRYLYL GLYCOL, ETHYLHEXYLGLYCERIN, HEXYLENE GLYCOL","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Iridescent Flakes, Glacier",02,Glitter,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Iridescent Flakes, Twisted",02,Glitter,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
Shine,"Shine By SD Cosmetics Iridescent Flakes, Icing",02,Glitter,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
Mica, silica, iron oxide, aluminum hydroxide.","Product's animal testing policies,Unknown"
JD Glow Cosmetics,"JD Glow Cosmetics Glitter Tube, Unicorn Snot",02,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
: Polyethylene Terephalate, Acrylates, Denatured Alcohol, Polymethylsilsesquioxane, Phenoxyethanol, Caprylyl Glycol, Potassium Sorbate, Hexylene Glycol
Warnings from packaging:
Disclaimer: Cosmetic Glitter is NOT FDA approved for use in or around the Eyes.","Product's animal testing policies,Unknown"
JD Glow Cosmetics,"JD Glow Cosmetics Glitter Tube, Mermaid Tails",02,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
: Polyethylene Terephalate, Acrylates, Denatured Alcohol, Polymethylsilsesquioxane, Phenoxyethanol, Caprylyl Glycol, Potassium Sorbate, Hexylene Glycol
Warnings from packaging:
Disclaimer: Cosmetic Glitter is NOT FDA approved for use in or around the Eyes.","Product's animal testing policies,Unknown"
,"Colourpop Pressed Glitter, Hungry Ghost",02,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
polyethylene terephthalate, dimethicone, polymethyl methacrylate, lauroyl lysine, magnesium myristate, chlorphenesin, dehydroacetic acid, polyurethane 33, iron oxides (ci 77492).","Product's animal testing policies,Unknown"
JD Glow Cosmetics,"JD Glow Cosmetics Glitter Tube, Fairy Bomb",02,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
: Polyethylene Terephalate, Acrylates, Denatured Alcohol, Polymethylsilsesquioxane, Phenoxyethanol, Caprylyl Glycol, Potassium Sorbate, Hexylene Glycol
Warnings from packaging:
Disclaimer: Cosmetic Glitter is NOT FDA approved for use in or around the Eyes.","Product's animal testing policies,Unknown"
,"Colourpop Pressed Glitter, Santeria",02,Glitter,LOW,MODERATE,MODERATE,MODERATE,"Ingredients from packaging:
polyethylene terephthalate, ricinus communis (castor) seed oil, polybutylene terephthalate, acrylate copolymers, simmondsia chinensis (jojoba) seed oil, polymethyl methacrylate, ethylene/va copolymer, lauroyl lysine, magnesium myristate, synthetic beeswax, chlorphenesin, dehydroacetic acid, polyurethane-33, iron oxides (ci 77492).","Product's animal testing policies,Unknown"
JD Glow Cosmetics,"JD Glow Cosmetics Glitter Tube, Pixie",02,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
: Polyethylene Terephalate, Acrylates, Denatured Alcohol, Polymethylsilsesquioxane, Phenoxyethanol, Caprylyl Glycol, Potassium Sorbate, Hexylene Glycol
Warnings from packaging:
Disclaimer: Cosmetic Glitter is NOT FDA approved for use in or around the Eyes.","Product's animal testing policies,Unknown"
JD Glow Cosmetics,"JD Glow Cosmetics Glitter Tube, Goddess",02,Glitter,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
: Polyethylene Terephalate, Acrylates, Denatured Alcohol, Polymethylsilsesquioxane, Phenoxyethanol, Caprylyl Glycol, Potassium Sorbate, Hexylene Glycol
Warnings from packaging:
Disclaimer: Cosmetic Glitter is NOT FDA approved for use in or around the Eyes.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Flame",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Glisten",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Purple",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Red Slippers",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Yell Ohh",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Victorious",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Avocado",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Hot Pink",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Barbie Pink",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Jasmine",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Candy",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Moon River",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Treuse",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Pink Kisses",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
,"Joy Lorraine Diamond Glitter, Grapes of Wrath",03,Glitter,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
100% Copolymer or Aluminum Copolymer.","Product's animal testing policies,Unknown"
