Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Lowen&#39;s Natural Skin Care,Lowen's Natural Skin Care Be Local Lip Balm,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Cera Alba (Beeswax)*, Organic Canola Oil**, Cetyl Alcohol, Carthamus Tinctorius (Safflower) Oleosomes*, Glycerin, Aqua, Btuyrosperimum Parkii (Shea) butter***, Menthol, Rosmarinus Officinalis (Rosemary) Leaf Oil, Hyaluronic Acid, Honey*
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Qet Botanicals,Qet Botanicals Lip Gloss with Olive & Avocado,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Olea Europaea (Olive) Fruit Oil*, Persea Gratissima (Avocado) Fruit Oil*, Helianthus Annus (Sunflower) Seed Oil*, Brassica Oleracea (Broccoli) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Rubus Idaeus (Red Raspberry) Seed Oil, Daucus Carota (Carrot) Seed Oil*, Rosmarinus Officinalis (Rosemary) Flower Oil*, Tocopherol (Non-GMO Vitamin E). *Organic Ingredient
Warnings from packaging:
If you have a negative reaction, discontinue use and consult with a health professional.","EWG Verified,Product's animal testing policies,Unknown"
Lowen&#39;s Natural Skin Care,Lowen's Natural Skin Care Creamsicle Lip Balm,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Bee's Wax, Canola Oil, Cetyl Alcohol, Carthamus Tinctorius (Safflower) Oleosomes & Aqua, Glycerin, Butyrosperimum Parkii (Shea) Butter, Menthol, Rosmarinus Officinalis (Rosemary) Leaf Oil, Hyaluronic Acid, Citrus sinensis (Blood Orange) Essential Oil, Vanilla Planifolia Fruit Extract
Warnings from packaging:
Note: This product may be considerably different (better) than what you are used to using, so apply responsibly! For external use only.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Lowen&#39;s Natural Skin Care,"Lowen's Natural Skin Care Lip Balm, Greatfruit",EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Alberta Bee's Wax, Alberta Organic Canola Oil, Cetyl Alcohol, Carthamus Tinctorius (Safflower) Oleosomes, Vegetable Glycerin, Fair Trade Organic Butyrosperimum Parkii (Shea) Butter, Menthol, Rosmarinus Officinalis, (Rosemary) Leaf Oil, Hyaluronic Acid, Grapefruit (Citrus Paradisi) Peel Oil
Warnings from packaging:
For external use only","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Akar Skin,Akar Skin Ruby Lip Restoration,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil, Prunus Amygdalus Dulcis (Almond) Oil Infused with Alkanna Tinctoria (Alkanet) Root, Cera Alba (Beeswax), Adansonia Digitata (Baobab) Seed Oil, Lycium Barbarum (Goji) Seed Oil, Hippophae Rhamnoides (Seabuckthorn) Fruit Extract, Rosa Canina (Rosehip) Seed Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Rosa Damascena (Rose) Flower Oil, Helianthus Annuus (Sunflower) Seed oil, Rosmarinus Officinalis (Rosemary) Leaf Extract
Warnings from packaging:
Patch testing recommended. Contact physician if irritation occur.","EWG Verified,Product's animal testing policies,Unknown"
Organic to Green,Organic to Green Moisturizer Artic Skin & Lip Coco Shea Vanilla,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut) Oil*, Butyrospermum Parkii (Shea Butter)*, Vanilla Tahitensis Fruit (Vanilla) Flavor*. *Certified USDA Organic Ingredients
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Lowen&#39;s Natural Skin Care,"Lowen's Natural Skin Care Lip Balm, Lime in 'da Coconut",EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Alberta Bee's Wax, Alberta Organic Canola Oil, Cetyl Alcohol, Carthamus Tinctorius (Safflower) Oleosomes, Vegetable Glycerin, Fair Trade Organic Butyrosperimum Parkii (Shea) Butter, Menthol, Rosmarinus Officinalis, (Rosemary) Leaf Oil, Hyaluronic Acid, Citrus Aurantifolia (Lime) Oil, Cocos Nucifera (Coconut) Oil
Warnings from packaging:
For external use only","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Gaondodam,GAONDODAM Pure Tint Lip Balm Red,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
POLYGLYCERYL-2 TRIISOSTEARATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, DIISOSTEARYL MALATE, OLEA EUROPAEA (OLIVE) FRUIT OIL, OCTYLDODECANOL, MICROCRYSTALLINE WAX, RICINUS COMMUNIS (CASTOR) SEED OIL, CERESIN, PARAFFIN, MEADOWFOAM DELTA-LACTONE, EUPHORBIA CERIFERA (CANDELILLA) WAX, OZOKERITE, JOJOBA ESTERS, POLYETHYLENE, SORBITAN SESQUIOLEATE, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, TRIBEHENIN, TRIHYDROXYSTEARIN, RED 7 LAKE (CI 15850), TOCOPHEROL, YELLOW 6 LAKE (CI 15985), DEHYDROACETIC ACID, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, WATER, BUTYLENE GLYCOL, 1,2-HEXANEDIOL, ARCTIUM LAPPA ROOT EXTRACT, LINUM USITATISSIMUM (LINSEED) SEED EXTRACT, ALOE BARBADENSIS LEAF EXTRACT, HIBISCUS ESCULENTUS FRUIT EXTRACT
Warnings from packaging:
Do not keep this at a high temperature or expose to direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Be Green Bath &amp; Body,Be Green Bath & Body Peppermint Lip Balm,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Cera Alba (Beeswax), Helianthus Annus (Sunflower) Seed Oil*, Olea Europaea (Olive) Oil*, Ricinus Communis (Castor) Seed Oil*, Zinc Oxide, Piperita (Peppermint) Oil*, *organic ingredient
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Lowen&#39;s Natural Skin Care,"Lowen's Natural Skin Care Lip Balm, Hayseed",EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Alberta Bee's Wax, Alberta Organic Canola Oil, Cetyl Alcohol, Carthamus Tinctorius (Safflower) Oleosomes, Vegetable Glycerin, Fair Trade Organic Butyrosperimum Parkii (Shea) Butter, Menthol, Rosmarinus Officinalis, (Rosemary) Leaf Oil, Hyaluronic Acid
Warnings from packaging:
For external use only","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Lowen&#39;s Natural Skin Care,"Lowen's Natural Skin Care Lip Balm, Dave's Not Here Man",EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Alberta Bee's Wax, Organic Cannabis Sativa (Hemp) Seed Oil Cetyl Alcohol, Carthamus Tinctorius (Safflower) Oleosomes, Vegetable Glycerin, Fair Trade Organic Butyrosperimum Parkii (Shea) Butter, Menthol, Rosmarinus Officinalis, (Rosemary) Leaf Oil, Hyaluronic Acid
Warnings from packaging:
For external use only","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Be Green Bath &amp; Body,Be Green Bath & Body Citrus Lip Balm,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Cera Alba (Beeswax), Helianthus Annus (Sunflower) Seed Oil*, Olea Europaea (Olive) Oil*, Ricinus Communis (Castor) Seed Oil*, Zinc Oxide, Citrus Sinensis (Orange) Peel Oil*.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
isoi,isoi Bulgarian Rose Lip Treatment Balm (Baby Pink),EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Dimer Dilinoleyl Diisostearate, Hydrogenated Castor Oil, Beeswax, Butyrospermum Parkii (Shea) Butter, Rosa Canina Fruit Oil, Macadamia Ternifolia Seed Oil, Vitis Vinifera (Grape) Seed Oil, Rosa Damascena Flower Oil, Polyglyceryl-3 Polyricinoleate, Dextrin, Carmine, Sodium Citrate, Potassium Alum","EWG Verified,Product's animal testing policies,Unknown"
Beautycounter,"Beautycounter Lip Conditioner, Calendula",EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Persea Gratissima (Avocado) Oil, Beeswax, Ricinus Communis (Castor) Seed Oil, Vegetable Oil, Butyrospermum Parkii (Shea) Butter, Limnanthes Alba (Meadowfoam) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrogenated Avocado Oil, Euphorbia Cerifera (Candelilla) Wax, Lanolin, Tocopherol, Anthemis Nobilis (Chamomile) Flower Oil, Calendula Officinalis (Calendula) Flower Oil, Citrus Nobilis (Mandarin Orange) Oil, Glycine Soja (Soybean) Oil.
Warnings from packaging:
For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Leaping Bunny"
C&#39;est Moi,"C'est Moi Flushed Tinted Lip & Cheek Balm, Unfazed",EWG Verified,Blush,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride, Caprylic/Capric/Myristic/Stearic Triglyceride, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Ricinus Communis (Castor) Seed Oil, Dipentaerythrityl Pentaisononanoate, Hydroxystearic/Linolenic/Linoleic Polyglycerides, Macadamia Seed Oil Polyglyceryl-6 Esters Behenate, Hydrogenated Vegetable Oil, Oryza Sativa (Rice) Bran Wax, Theobroma Grandiflorum Seed Butter, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Hydrated Silica, Capryloyl Glycerin/Sebacic Acid Copolymer, Brassica Campestris/Aleurites Fordi Oil Copolymer, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Polyglyceryl-3 Polyricinoleate, Helianthus Annuus (Sunflower) Seed Oil*, Stevia Rebaudiana Leaf/Stem Extract, Tocopherol*, Actinidia Chinensis (Kiwi) Seed Oil, Hippophae Rhamnoides Fruit Oil, Prunus Avium (Sweet Cherry) Seed Oil, Punica Granatum Seed Oil, Pyrus Malus (Apple) Seed Oil, Rubus Fruticosus (Blackberry) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, 2-Methyltetrahydrofuran-3-one, Vanillin, Ethyl Propionate, Ethyl Butyrate, Dimethylhydroxy Furanone, Acetoin, Ethyl 2-Methylbutyrate, Methylcyclopentenolone, Titanium Dioxide (CI 77891), Iron Oxides (CI 77492), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Limonene.","EWG Verified,Product's animal testing policies,Unknown"
Akar Skin,Akar Skin Pure Lip Restoration,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil, Prunus Amygdalus Dulcis (Almond) Oil, Cera Alba (Beeswax), Adansonia Digitata (Baobab) Seed Oil, Lycium Barbarum (Goji) Seed Oil, Hippophae Rhamnoides (Seabuckthorn) Fruit Extract, Rosa Canina (Rosehip) Seed Extract, Citrus Aurantium Dulcis (Orange) Peel, Rosa Damascena (Rose) Flower Oil Oil, Helianthus Annuus (Sunflower) Seed oil, Rosmarinus Officinalis (Rosemary) Leaf Extract
Warnings from packaging:
Patch testing recommended. Contact physician if irritation occur.","EWG Verified,Product's animal testing policies,Unknown"
Honest Beauty,"Honest Beauty Tinted Lip Balm, Plum Drop",EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
: EUTERPE OLERACEA STEROLS, PERSEA GRATISSIMA (AVOCADO) OIL, PUNICA GRANATUM STEROLS, C10-18 TRIGLYCERIDES, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, POLYHYDROXYSTEARIC ACID, VEGETABLE OIL, BEHENYL BEHENATE, THEOBROMA CACAO (COCOA) SEED BUTTER, LINOLEIC ACID, OLEIC ACID, LINOLENIC ACID, CAPRYLIC/CAPRIC TRIGLYCERIDE, VANILLA PLANIFOLIA FRUIT EXTRACT, DIPOTASSIUM GLYCYRRHIZATE, TOCOPHEROL, CITRIC ACID, TITANIUM DIOXIDE (CI 77891), IRON OXIDES (CI 77491, CI 77492, CI 77499), RED 7 LAKE (CI 15850), BLUE 1 LAKE (CI 42090).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Shaklee,Shaklee Renew Lip Serum,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Cocos Nucifera (Coconut Oil), Synthetic Beeswax, Helianthus Annuus (Sunflower) Seed Oil, Ricinus Communis (Caster) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Polyhydroxystearic Acid, Lauroyl Lysine, Flavor (Caprylic/Capric Triglyceride, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Reticulata (Tangerine) Peel Oil, Vanilla Planifolia Fruit Extract, Heliotropine), Vitis Rotundifolia (Muscadine Grape) Seed Oil, Argania Spinosa (Argan) Kernel Oil, Butyrospermum Parkii (Shea) Butter, Cocoyl Hydrolyzed Collagen, Portulaca Pilosa Extract, Palmitoyl Tripeptide-38, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Menthol, Menthyl Lactate, Sucrose Cocoate, Cetearyl Ethylhexanoate, Sorbitan Isostearate, Limonene, Linalool, Citral
Directions from packaging:
Apply to lips throughout the day as needed.
Warnings from packaging:
CAUTION: For external use only. Avoid contact with eyes. Keep out of reach of children","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
