Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
C&#39;est Moi,"C'est Moi Luminary Lip Crayon, Fierce",EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Isocetyl Stearate, Diisostearyl Malate, Polybutene, Synthetic Wax, Silica, Mica, Synthetic Beeswax, Glyceryl Caprylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 7 (CI 15850), Red 6 (CI 15850), Carmine (CI 75470)†. †present in/présents dans Brave, True, Courage","EWG Verified,Product's animal testing policies,Unknown"
C&#39;est Moi,"C'est Moi Luminary Lip Crayon, Courage",EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Isocetyl Stearate, Diisostearyl Malate, Polybutene, Synthetic Wax, Silica, Mica, Synthetic Beeswax, Glyceryl Caprylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 7 (CI 15850), Red 6 (CI 15850), Carmine (CI 75470)†. †present in/présents dans Brave, True, Courage","EWG Verified,Product's animal testing policies,Unknown"
C&#39;est Moi,"C'est Moi Luminary Lip Crayon, Fresh",EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Isocetyl Stearate, Diisostearyl Malate, Polybutene, Synthetic Wax, Silica, Mica, Synthetic Beeswax, Glyceryl Caprylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 7 (CI 15850), Red 6 (CI 15850), Carmine (CI 75470)†. †present in/présents dans Brave, True, Courage","EWG Verified,Product's animal testing policies,Unknown"
C&#39;est Moi,"C'est Moi Luminary Lip Crayon, True",EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Isocetyl Stearate, Diisostearyl Malate, Polybutene, Synthetic Wax, Silica, Mica, Synthetic Beeswax, Glyceryl Caprylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 7 (CI 15850), Red 6 (CI 15850), Carmine (CI 75470)†. †present in/présents dans Brave, True, Courage","EWG Verified,Product's animal testing policies,Unknown"
C&#39;est Moi,"C'est Moi Luminary Lip Crayon, Brave",EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Isocetyl Stearate, Diisostearyl Malate, Polybutene, Synthetic Wax, Silica, Mica, Synthetic Beeswax, Glyceryl Caprylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 7 (CI 15850), Red 6 (CI 15850), Carmine (CI 75470)†. †present in/présents dans Brave, True, Courage","EWG Verified,Product's animal testing policies,Unknown"
C&#39;est Moi,"C'est Moi Luminary Lip Crayon, Vivid",EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Isocetyl Stearate, Diisostearyl Malate, Polybutene, Synthetic Wax, Silica, Mica, Synthetic Beeswax, Glyceryl Caprylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 7 (CI 15850), Red 6 (CI 15850), Carmine (CI 75470)†. †present in/présents dans Brave, True, Courage","EWG Verified,Product's animal testing policies,Unknown"
Maia&#39;s Mineral Galaxy,Maia's Mineral Galaxy Mineral Lip Liner Venetian Red,EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
*Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cacao) Seed Butter, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, *Butyrospermum Parkii (Shea Butter), *Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Boron Nitride, Beta Vulgaris Root Powder, Mica, Iron Oxide (CI 77491)
Warnings from packaging:
-","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,Maia's Mineral Galaxy Mineral Lip Liner Drama Queen,EWG Verified,Lip Liner,,,,,"Ingredients from packaging:
*Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cacao) Seed Butter, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, *Butyrospermum Parkii (Shea Butter), *Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Boron Nitride, Mica, Iron Oxide (CI 77491, CI 77499)
Warnings from packaging:
-","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Shine,"Shine By SD Cosmetics Liquid Liner, Break Up",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Trimethylsiloxysilicate, polypropyl silsesquioxane,
Silica Dimethyl Silylate, Bis vinyl dimethicone/dimethicone copolymer, isododecane, Mica, May Contain +/- Titanium Dioxide, Oxides, Tin Oxide","Product's animal testing policies,Unknown"
FitGlow Beauty,"FitGlow Beauty Vegan Lip Liner, Red",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Mangifera Indica (Mango) Seed Oil, *Limnanthes Alba (Meadowfoam) Seed Oil, *Rubus Chamaemorus Seed Oil (Cloudberry Seed Oil), *Hydrogenated Jojoba Oil, Caprylic/Capric Triglyceride, Euphorbia Cerifera (Candelilla) Wax, Silica, Butyrospermum Parkii (Shea) Butter, Copernicia Cerifera (Carnauba) Wax, Tocopherol, *Helianthus Annuus (Sunflower) Seed Oil, Mica, Titanium Dioxide, Iron Oxides","Product's animal testing policies,Leaping Bunny"
,"L.A. Girl Shockwave Nude Lipliner, Karma",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
METHYL TRIMETHICONE, SYNTHETIC FLUORPHLOGOPITE, POLYETHYLENE, TRIMETHYLSILOXYSILICATE, OZOKERITE, OCTYLDODECANOL, ACRYLATES/DIMETHICONE COPOLYMER, DISTEARDIMONIUM HECTORITE, PROPYLENE CARBONATE, PENTAERYTHRITYL T TRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, MICA, TIN OXIDE. MAY CONTAIN / PEUT CONTENIR : TITANIUM DIOXIDE (CI 77891), IRON OXIDE BLACK (CI 77499), CARMINE (CI 75470).","Product's animal testing policies,Unknown"
Belle Beauty,"Belle Beauty Kisser Fixer Waterproof Gel Lip Liner, True Red",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Synthetic Wax, Silica Silylate, Hydrogenated Olive Oil Stearyl Esters, Coco-Caprylate/Caprate, Hydrogenated Jojoba Oil, Synthetic Beeswax, Panthenyl Triacetate, Pentaerythrityl Tetraisostearate, Octyldodecanol, Pentaerythrityl Tetra-Di-T-Butyl, Hydroxyhydrocinnamate, Tocopheryl Nicotinate, Salicyloyl Phytosphingosine, Ceramide 3, Sodium Hyaluronate, Water. May Contain: Titanium Dioxide (CI 77891), Mica (CI 77019), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (Cl 15850), Carmine (CI 75470).","Product's animal testing policies,Leaping Bunny"
Elate,"Elate Beauty Lip Stick, Immerse",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Cocos Nucifera Oil, Octyldodecyl Stearoyl Stearate, C10-18 Triglycerides, Copernicia Cerifera Cera, Hydrogenated Vegetable Oil, Polyglyceryl-3 Diisostearate, Silica, Oryzanol, Glyceryl Undecylenate, Tocopherol, Kaolin +/- CI 77891, CI 77742, CI 77491, CI 77499, CI 77492, CI 15850","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Belle Beauty,"Belle Beauty Kisser Fixer Waterproof Gel Lip Liner, Brown Nude",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Synthetic Wax, Silica Silylate, Hydrogenated Olive Oil Stearyl Esters, Coco-Caprylate/Caprate, Hydrogenated Jojoba Oil, Synthetic Beeswax, Panthenyl Triacetate, Pentaerythrityl Tetraisostearate, Octyldodecanol, Pentaerythrityl Tetra-Di-T-Butyl, Hydroxyhydrocinnamate, Tocopheryl Nicotinate, Salicyloyl Phytosphingosine, Ceramide 3, Sodium Hyaluronate, Water. May Contain: Titanium Dioxide (CI 77891), Mica (CI 77019), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (Cl 15850), Carmine (CI 75470).","Product's animal testing policies,Leaping Bunny"
Sephora,"Sephora Collection Lip Liner To Go, 15 Deep Beige Matte",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Ethylhexyl Palmitate, Synthetic Wax, Zeolite, Mica, CI 77891 (Titanium Dioxide), Stearyl Dimethicone, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polydicyclopentadiene, Polyethylene, CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 75470 (Carmine), Diisostearyl Malate, CI 77499 (Iron Oxides), Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Simmondsia Chinensis (Jojoba) Seed Oil, Shea Butter","Product's animal testing policies,Unknown"
Elate,"Elate Beauty Lip Stick, Serene",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Cocos Nucifera Oil, Octyldodecyl Stearoyl Stearate, C10-18 Triglycerides, Copernicia Cerifera Cera, Hydrogenated Vegetable Oil, Polyglyceryl-3 Diisostearate, Silica, Oryzanol, Glyceryl Undecylenate, Tocopherol, Kaolin +/- CI 77891, CI 77742, CI 77491, CI 77499, CI 77492, CI 15850","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Belle Beauty,"Belle Beauty Kisser Fixer Waterproof Gel Lip Liner, True Nude",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, Synthetic Wax, Silica Silylate, Hydrogenated Olive Oil Stearyl Esters, Coco-Caprylate/Caprate, Hydrogenated Jojoba Oil, Synthetic Beeswax, Panthenyl Triacetate, Pentaerythrityl Tetraisostearate, Octyldodecanol, Pentaerythrityl Tetra-Di-T-Butyl, Hydroxyhydrocinnamate, Tocopheryl Nicotinate, Salicyloyl Phytosphingosine, Ceramide 3, Sodium Hyaluronate, Water. May Contain: Titanium Dioxide (CI 77891), Mica (CI 77019), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (Cl 15850), Carmine (CI 75470).","Product's animal testing policies,Leaping Bunny"
Sephora,"Sephora Collection Lip Liner To Go, 12 Vintage Pink Matte",01,Lip Liner,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Ethylhexyl Palmitate, Synthetic Wax, CI 77891 (Titanium Dioxide), Zeolite, Mica, Stearyl Dimethicone, CI 77491 (Iron Oxides), Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polydicyclopentadiene, Polyethylene, Diisostearyl Malate, CI 15850 (Red 7 Lake), CI 77492 (Iron Oxides), Pentaerythrityl Tetra-Di-T-Butyl HydroxyhydroCInnamate, CI 77499 (Iron Oxides), Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea Butter)","Product's animal testing policies,Unknown"
