Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Liquid Lipstick, Wicked",EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Euphorbia Cerifera (Candelilla) Wax, Beeswax , Kaolin, Tapioca Starch, Silica Amorphous, Isopropyl Myristate, Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Mica (CI 77019), Iron Oxide (77491,77499)
Warnings from packaging:
Caution: Discontinue, if irritation occurs, consult a physician","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"W3LL PEOPLE Nudist Multi-Use Cream Stick, Nude Peach",EWG Verified,Blush,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil*, Ricinus Communis (Castor) Seed Oil*, Candelilla (Euphorbia Cerifera) Wax, Copernicia Cerifera (Carnauba) Wax*, theobroma Cacao (Cocoa) Seed Butter*, Helianthus Annuus (Sunflower) Seed Wax, Shorea Robusta Resin, Rhus Verniciflua Peel Wax, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea Butter) Fruit*, Silica, Sesame Indium (Sesame) Seed Oil*, Olea Europe (Olie) Fruit Oil*, Zea Mays (corn) Starch*, Camellia Sinensis (Green Tea) Leaf*, Matricaria Chamomile (Chamomile) Flowers*, Aloe Barbadensis (Aloe Vera) Leaf*, Tocopherol, Phenethyl Alcohol, Ethylhexylglycerin. [+/- Mica, Titanium Dioxide, Iron Oxide, Red 7] *Certified Organic Ingredients
Warnings from packaging:
FREE FROM: Parabens, Coal Tar, Phenoxyethanol, Petrolatum, Nanoparticles, Synthetic Fragrance, Propylene Glycol, Phthalates, Dimethicone, Formaldehyde, Lead, Lead Compounds, BHT, BHA, DEA.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,Maia's Mineral Galaxy LLC Liquid Lipstick Beloved,EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Euphorbia Cerifera (Candelilla) Wax, Beeswax , Kaolin, Vegetable Glycerin USP, Tapioca Starch, Silica Amorphous, Isopropyl Myristate, Ascorbic Acid (Vitamin C), Rosmarinus Officinalis (Rosemary) Oleoresin, Iron Oxide (CI 77491)
Warnings from packaging:
Discontinue, if irritation occurs and consult a physician.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Liquid Lipstick, Happiness",EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Coconut Alkanes, Kaolin, Bis-Diglyceryl Polyacyladipate-2, Synthetic Beeswax, Ricinus Communis (Castor) Seed Oil, Methyl Dihydroabietate, Persea Gratissima (Avocado) Oil, Silica, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Stearalkonium Hectorite, Propylene Carbonate, Sodium Hyaluronate, Hydrogenated Castor Oil, Tocopherol, Water (Aqua), Hydroxyacetophenone, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 (CI 15850), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Yellow 6 Lake (CI 15985), Manganese Violet (CI 77742).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Liquid Lipstick, Rage",EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Euphorbia Cerifera (Candelilla) Wax, Beeswax , Kaolin, Tapioca Starch, Silica Amorphous, Isopropyl Myristate, Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), CI 15985, Iron Oxides (CI 77491)
Warnings from packaging:
Caution: Discontinue, if irritation occurs, consult a physician","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Liquid Lipstick, Goddess",EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Coconut Alkanes, Kaolin, Bis-Diglyceryl Polyacyladipate-2, Synthetic Beeswax, Ricinus Communis (Castor) Seed Oil, Methyl Dihydroabietate, Persea Gratissima (Avocado) Oil, Silica, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Stearalkonium Hectorite, Propylene Carbonate, Sodium Hyaluronate, Hydrogenated Castor Oil, Tocopherol, Water (Aqua), Hydroxyacetophenone, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 (CI 15850), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Yellow 6 Lake (CI 15985), Manganese Violet (CI 77742).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Coastal Classic Creations,Coastal Classic Creations Pure Classic Lipstick Conch,EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Helianthus annuus (Sunflower) Seed Oil, Euphorbia cerifera (Candelilla) Wax, Copernicia cerifera (Carnauba) Wax, Sesamum indicum (Sesame) Seed Oil, Citrus aurantium (Orange) Oil, Cymbopogon citrus (Lemongrass) Oil, May contain: Iron oxides (CI 77491, CI 77492)
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Honest Beauty,"Honest Beauty Liquid Lipstick, Forever",EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Coconut Alkanes, Kaolin, Bis-Diglyceryl Polyacyladipate-2, Synthetic Beeswax, Ricinus Communis (Castor) Seed Oil, Methyl Dihydroabietate, Persea Gratissima (Avocado) Oil, Silica, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Stearalkonium Hectorite, Propylene Carbonate, Sodium Hyaluronate, Hydrogenated Castor Oil, Tocopherol, Water (Aqua), Hydroxyacetophenone, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 (CI 15850), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Yellow 6 Lake (CI 15985), Manganese Violet (CI 77742).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Creme Cheek + Lip Color, Rose Pink",EWG Verified,Blush,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil, Caprylic/Capric Triglyceride, Euphorbia Cerifera (Candelilla) Wax, Helianthus Annuus (Sunflower) Seed Wax, Polyhydroxystearic Acid, Ethylhexyl Palmitate, Polyglyceryl-6 Polyricinoleate, C10-18 Triglycerides, Copernicia Cerifera (Carnauba) Wax, Octyldodecyl Stearoyl Stearate, Glyceryl Caprylate, Triethyl Citrate, Pyrus Malus (Apple) Fruit Extract, Alcohol, Rubus Idaeus (Raspberry) Fruit Extract, Vanilla Planifolia Fruit Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Vitis Vinifera (Grape) Fruit Extract, Mica (CI 77019), MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492), Red 6 (CI 15850), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090).","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Liquid Lipstick, Knock",EWG Verified,Lipstick,,,,,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Boron Nitride, Euphorbia Cerifera (Candelilla) Wax, Beeswax , Kaolin, Tapioca Starch, Silica Amorphous, Isopropyl Myristate, Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Mica (CI 77019), Iron Oxides (CI 77491,77492,77499)
Warnings from packaging:
Caution: Discontinue, if irritation occurs, consult a physician","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
