Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Shaklee,Shaklee Lash Revitalizing and Conditioning Mascara,EWG Verified,Mascara,,,,,"Ingredients from packaging:
Water/Eau, Beeswax, Butyrospermum Parkii (Shea) Butter, Polyglyceryl-6 Distearate, Dimer Dilinoleyl Dimer Dilinoleate, Glycerin, Copernicia Cerifera (Carnauba) Wax, Polyglyceryl-10 Myristate, Leuconostoc/Radish Root Ferment Filtrate, Zea Mays (Corn) Starch, Glyceryl Caprylate, Cetyl Alcohol, Biotin, Panthenol, Nasturtium Officinale Extract, Tropaeolum Majus Extract, Tocopherol, Sodium Hyaluronate, Magnesium Ascorbyl Phosphate, Vitis Rotundifolia Fruit Extract, Vitis Vinifera (Grape) Seed Extract, 1,2-Hexanediol, Caprylyl Glycol, Beta-Glucan, Pentylene Glycol, Superoxide Dismutase, Xanthan Gum, Arginine, Phenethyl Alcohol, Iron Oxides (CI 77499)
Directions from packaging:
Position wand horizontally and zigzag from side to side, then base to tip, to achieve maximum volume, length, and lift.
Hold wand vertically and stroke upward to curl and define lashes.
Layer generously as desired.
Warnings from packaging:
To safeguard purity,
reserve this product for
your personal use and do
not dilute with water or
any other substance.
Discard within 3 months","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Honestly Healthy Serum-Infused Lash Tint, Black",EWG Verified,Mascara,,,,,"Ingredients from packaging:
Water (Aqua/Eau), Beeswax (Cera Alba), Copernicia Cerifera (Carnauba) Wax, Glyceryl Stearate, Polyhydroxystearic Acid, Potassium Cetyl Phosphate, Glycerin, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Cetearyl Alcohol, Jojoba Esters, Trifolium Pratense (Clover)/Vigna Radiata Sprout Extract, Hydrolyzed Vegetable Protein, Ricinus Communis (Castor) Seed Oil, Castor Isostearate Beeswax Succinate, Cellulose Gum, Caprylyl Glycol, Pullulan, Hydroxyacetophenone, Xanthan Gum, 1,2-Hexanediol, Cellulose, Sodium Phytate, Trisodium Ethylenediamine Disuccinate, Tocopherol, Niacinamide, Panthenol, Cetyl Alcohol, Sodium Carbonate, Methyl Dihydroabietate, Sodium Hydroxide, May Contain (+/-) Iron Oxides (Cl 77491, CI 77499, CI 77492)
Warnings from packaging:
Use as directed","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"W3LL PEOPLE Expressionist Mascara, Black",EWG Verified,Mascara,,,,,"Ingredients from packaging:
Aqua (Water), Cera Alba (Beeswax)*, C10-18 Triglycerides, Stearic Acid, Copernicia Cerifera Cera / Copernicia Cerifera (Carnauba) Wax*, Castor Isostearate Beeswax Succinate, Glyceryl Stearate, Glyceryl Caprylate, Glycerin, Potassium Sorbate, Sodium Hydroxide, Sodium Benzoate, Xanthum Gum, Cellulose, Tocopherol, Helianthus Annuus Seed Oil / Helianthus Annuus (Sunflower) Seed Oil, [+/- CI 77891 Titanium Dioxide, CI 77491/CI 77499 Iron Oxides, CI 77007 Ultramarines, CI 75470 Carmine], *Ingredient From Organic Farming
Warnings from packaging:
FREE FROM: Parabens, Coal Tar, Phenoxyethanol, Petrolatum, Nanoparticles, Synthetic Fragrance, Propylene Glycol, Phthalates, Dimethicone, Formaldehyde, Lead, Lead Compounds, Fiber BHT, BHA, DEA.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,Honest Beauty Extreme Length Mascara + Lash Primer,EWG Verified,Mascara,,,,,"Ingredients from packaging:
Mascara Ingredients: Water (Aqua), Beeswax (Cera Alba), Potassium Cetyl Phosphate, Glycerin, Glyceryl Stearate SE, Copernicia Cerifera (Carnauba) Wax, Castor Isostearate Beeswax Succinate, Acacia Senegal Gum, Cellulose, Glyceryl Behenate, Jojoba Esters, Tocopherol, Ethylhexylglycerin, Caprylyl Glycol, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Xanthan Gum, Caprylic/Capric Glycerides, Sodium Benzoate, Cellulose Gum, Potassium Sorbate, Sodium Phytate, Phosphoric Acid, Iron Oxides (CI 77499), Lash Primer Ingredients: Water (Aqua), Beeswax (Cera Alba), Potassium Cetyl Phosphate, Glycerin, Jojoba Esters, Glyceryl Stearate, Zea Mays (Corn) Starch, Copernicia Cerifera (Carnauba) Wax, Acacia Senegal Gum, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Cetearyl Alcohol, Cellulose, Castor Isostearate Beeswax Succinate, Ethylhexylglycerin, Caprylyl Glycol, Caprylic/Capric Glycerides, Sodium Benzoate, Xanthan Gum, Cellulose Gum, Potassium Sorbate, Sodium Phytate, Tocopherol, Phosphoric Acid","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Honest Beauty,"Honest Beauty Honestly Healthy Serum-Infused Lash Tint, Natural",EWG Verified,Mascara,,,,,"Ingredients from packaging:
Water (Aqua/Eau), Beeswax (Cera Alba), Copernicia Cerifera (Carnauba) Wax, Glyceryl Stearate, Polyhydroxystearic Acid, Potassium Cetyl Phosphate, Glycerin, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Cetearyl Alcohol, Jojoba Esters, Trifolium Pratense (Clover)/Vigna Radiata Sprout Extract, Hydrolyzed Vegetable Protein, Ricinus Communis (Castor) Seed Oil, Castor Isostearate Beeswax Succinate, Cellulose Gum, Caprylyl Glycol, Pullulan, Hydroxyacetophenone, Xanthan Gum, 1,2-Hexanediol, Cellulose, Sodium Phytate, Trisodium Ethylenediamine Disuccinate, Tocopherol, Niacinamide, Panthenol, Cetyl Alcohol, Sodium Carbonate, Methyl Dihydroabietate, Sodium Hydroxide
Warnings from packaging:
Use as directed","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,W3ll People Expressionist Pro Mascara - Purple (2022 formulation),EWG Verified,Mascara,,,,,"Ingredients from packaging:
Water, Benzyl Alcohol, Cellulose, Beeswax*, copernicia Cerifera Cera/Copernicia Cerifera (Carnauba) Wax*, Caster Isostearate, Beeswax Succinate, Dehydroacetic Acid, Geraniol, Glycerin, Glyceryl Stearate, Helianthus Annus Seed Oil/Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Palm Glycerides, Limonene, Sodium Hydroxide, Stearic Acid, tocopherol, Xanthan Gum, [+/- CI 77499, 77007, 77499, CI 77891, CI 75470]* Ingredient from Organic Farming **Eco Certified
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,W3ll People Expressionist Pro Mascara - Brown (2022 formulation),EWG Verified,Mascara,,,,,"Ingredients from packaging:
Water, Benzyl Alcohol, Cellulose, Beeswax*, copernicia Cerifera Cera/Copernicia Cerifera (Carnauba) Wax*, Caster Isostearate, Beeswax Succinate, Dehydroacetic Acid, Geraniol, Glycerin, Glyceryl Stearate, Helianthus Annus Seed Oil/Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Palm Glycerides, Limonene, Sodium Hydroxide, Stearic Acid, tocopherol, Xanthan Gum, [+/- CI 77499, 77007, 77499, CI 77891, CI 75470]* Ingredient from Organic Farming **Eco Certified
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,Beautycounter Think Big All-in-One Mascara,EWG Verified,Mascara,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Iron Oxides (CI 77499), Synthetic Beeswax, Palmitic Acid, Stearic Acid, Oryza Sativa (Rice) Bran Wax, Acacia Senegal Gum, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Polyurethane-35, Polyglyceryl-2 Isostearate/Dimer Dilinoleate Copolymer, Aminomethyl Propanediol, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, VP/Eicosene Copolymer, Glycerin, Glyceryl Stearate, Biotinoyl Tripeptide-1, Panthenol, Pentylene Glycol, Microcrystalline Cellulose, Polylactic Acid, Cellulose, Methylpropanediol, Cellulose Gum, Caprylyl Glycol, Silica, Phenylpropanol, Phenoxyethanol.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Honest Beauty,"Honest Beauty Honestly Healthy Serum-Infused Lash Tint, Brown",EWG Verified,Mascara,,,,,"Ingredients from packaging:
Water (Aqua/Eau), Beeswax (Cera Alba), Copernicia Cerifera (Carnauba) Wax, Glyceryl Stearate, Polyhydroxystearic Acid, Potassium Cetyl Phosphate, Glycerin, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Cetearyl Alcohol, Jojoba Esters, Trifolium Pratense (Clover)/Vigna Radiata Sprout Extract, Hydrolyzed Vegetable Protein, Ricinus Communis (Castor) Seed Oil, Castor Isostearate Beeswax Succinate, Cellulose Gum, Caprylyl Glycol, Pullulan, Hydroxyacetophenone, Xanthan Gum, 1,2-Hexanediol, Cellulose, Sodium Phytate, Trisodium Ethylenediamine Disuccinate, Tocopherol, Niacinamide, Panthenol, Cetyl Alcohol, Sodium Carbonate, Methyl Dihydroabietate, Sodium Hydroxide, May Contain (+/-) Iron Oxides (Cl 77491, CI 77499, CI 77492)
Warnings from packaging:
Use as directed","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,W3ll People Expressionist Pro Mascara - Blue (2022 formulation),EWG Verified,Mascara,,,,,"Ingredients from packaging:
Water, Benzyl Alcohol, Cellulose, Beeswax*, copernicia Cerifera Cera/Copernicia Cerifera (Carnauba) Wax*, Caster Isostearate, Beeswax Succinate, Dehydroacetic Acid, Geraniol, Glycerin, Glyceryl Stearate, Helianthus Annus Seed Oil/Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Palm Glycerides, Limonene, Sodium Hydroxide, Stearic Acid, tocopherol, Xanthan Gum, [+/- CI 77499, 77007, 77499, CI 77891, CI 75470]* Ingredient from Organic Farming **Eco Certified
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
