Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Coastal Classic Creations,Coastal Classic Creations Refreshing Mist Foundation Base Primer,EWG Verified,Makeup Primer,,,,,"Ingredients from packaging:
Kaolinite
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Revlon,Revlon Photoready Prime Plus Perfecting + Smoothing Primer,EWG Verified,Makeup Primer,,,,,"Ingredients from packaging:
: Aqua/Water/Eau, C10-11 Isoparaffin, Dimethicone, Glycerin, Polysilicone-11, PEG/PPG-19/19 Dimethicone, C13-16 Isoparaffin, Panthenol, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Butylene Glycol, C10-13 Isoparaffin, Caprylyl Glycol, Carbomer, Citric Acid, Cucurbita Pepo (Pumpkin) Seed Extract, Ethylhexylglycerin, Isohexadecane, Laureth-12, Maris Aqua/Sea Water/Eau De Mer, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Polysorbate 20, Polysorbate 80, Sodium Hyaluronate, Tocopherol, Phenoxyethanol, Potassium Sorbate","EWG Verified,Product's animal testing policies,Unknown"
Honest Beauty,Honest Beauty Everything Glow +2HA Primer,EWG Verified,Makeup Primer,,,,,"Ingredients from packaging:
Water (Aqua/Eau), Glyceryl Stearate SE, Glycerin, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Cetearyl Alcohol, Dimethicone, Butyrospermum Parkii (Shea) Butter, Capryloyl Glycerin/Sebacic Acid Copolymer, Propanediol, Sodium Acetylated Hyaluronate, Hydrolyzed Sodium Hyaluronate, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Sodium Lactate, Sodium PCA, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Hectorite, Cellulose, 1,2-Hexanediol, Caprylyl Glycol, Hydroxyacetophenone, Citric Acid, Tocopherol, Synthetic Fluorphlogopite, Tin Oxide, Potassium Sorbate, Sodium Benzoate, Mica (CI 77019), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491)","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,Beautycounter Glow First Priming Serum,EWG Verified,Makeup Primer,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Diglycerin, Glycerin, Coco-Caprylate/Caprate, Caprylic/Capric Triglyceride, Pentylene Glycol, Isononyl Isononanoate, Jojoba Esters, Acetyl Tetrapeptide-2, Castor Oil/IPDI Copolymer, Caesalpinia Spinosa Fruit Extract, Acrylates/C10-30 Acrylate Crosspolymer, Carbomer, Kappaphycus Alvarezii Extract, Sodium Hydroxide, Trisodium Ethylenediamine Disuccinate, Mica, Caprylyl Glycol, Tocopherol, Amodimethicone, Phenoxyethanol, Tin Oxide, Titanium Dioxide (CI 77891).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Clean Faced Cosmetics,"Clean Faced Cosmetics Bentonite Clay Natural Lash Lengthener, Eye Primer, Setting Powder, Translucent",01,Makeup Primer,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
kaolin clay, bentonite clay, organic tapioca starch","Product's animal testing policies,Unknown"
Medusa&#39;s Make-up,Medusa's Make-up Eyeliner Seal,01,Makeup Primer,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
water, VP/VA Copolymer, Propylene Glycol.","Product's animal testing policies,PETA Cruelty-free Companies"
Medusa&#39;s Make-up,"Medusa's Make-up Eye Primer, Stick it!",01,Makeup Primer,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Olea Europaea (Organic Olive) Oil, Euphorbia Anisyphilitica (Candelilla) Wax, Cocos Nucifera (Organic Coconut) Oil, Butyrospermum Parkii (Organic Shea) Butter, Elaeis Guineensis (Organic Palm) Oil, Simmondsia Chinensis (Organic Jojoba) Seed Oil, Rosa Canina (Rosehip) Fruit Oil, Tocopherol (Vitamin E), Rosmarinus Officinalis (Rosemary) Leaf Extract, Azadirachta Indica (Neem) Seed Oil, Titanium Dioxide.","Product's animal testing policies,PETA Cruelty-free Companies"
Averr Aglow,Averr Aglow No.1 Clarifying Hydration Dew,01,Makeup Primer,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Deionized Water, Rosa Damascena (Rose) Flower Distillate, Calendula Officinalis Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Serenoa Repens (Saw Palmetto) Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Sodium Levulinate, Sodium Anisate, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Coccinia Indica Fruit Extract, Melia Azadirachta Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Ocimum Sanctum Leaf Extract, Curcuma Longa (Turmeric) Root Extract","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
ULTA,Ulta Beauty Matte Eye Primer Nude,01,Makeup Primer,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ISODODECANE, MICA, CYCLOPENTASILOXANE, DISTEARDIMONIUM HECTORITE, TRIMETHYLSILOXYSILICATE, SYNTHETIC BEESWAX, CYCLOHEXASILOXANE, QUATERNIUM-90 BENTONITE, SORBITAN SESQUIOLEATE, TRIHYDROXYSTEARIN, PROPYLENE CARBONATE, TRIETHOXYCAPRYLYLSILANE. MAY CONTAIN: IRON OXIDES (CI 77491, CI 77492, CI 77499), TITANIUM DIOXIDE (CI 77891).","Product's animal testing policies,Unknown"
Klarity Kosmetics,Klarity Kosmetics Matte Liquid Lipstick Base,01,Makeup Primer,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
: Isododecane, Trimethylsiloxysilicate, Polypropylsilsesquioxane, Nylon 12, Silica Dimethyl Silylate, ,Magnesium Stearate, Carnauba Wax, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol.","Product's animal testing policies,Unknown"
