Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Be Natural Organics,Be Natural Organics Micellar Cleansing Water,EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Aqua, Helichrysum italicum floral water, propanediol, sodium lactate, sorbitan oleate decylglucoside crosspolymer, benzyl alcohol, salicylic acid, glycerin, sorbic acid, glycerin, laminaria (algae) extract, glycerin, cucumis sativus (cucumber) fruit extract, glycerin, water, crithmum maritimum (sea fennel) extract, glycerin, laminaria digitata (sea kelp) extract.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Three Ships,Three Ships Clarify Tea Tree + MCT Cleansing Oil,EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Caprylic/Capric Trigylceride (Fractionated Coconut Oil), Cedrus Atlantica (Cedarwood) Wood Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil","EWG Verified,Product's animal testing policies,Leaping Bunny"
Dore,Dore La Micellaire,EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
AQUA (WATER/EAU), GLYCERIN, CENTAUREA CYANUS FLOWER WATER, XYLITYLGLUCOSIDE, LEVULINIC ACID, SODIUM BENZOATE, ANDROXYLITOL, SODIUM LEVULINATE, XYLITOL, ROSA DAMASCENA FLOWER WATER, SODIUM HYDROXIDE, CAPRYLYL/CAPRYL GLUCOSIDE, ALOE BARBADENSIS LEAF EXTRACT, CITRIC ACID, POTASSIUM SORBATE","EWG Verified,Product's animal testing policies,Unknown"
Leaf Simple,Leaf Simple Daily Mild Cleasing Pad,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Water, Betaine, Polyglyceryl-6 Caprylate, Polyglyceryl-4 Caprate, Glycerin, Bisabolol, Brasenia Schreberi Leaf Extract, Trehalose, Glycolipids, Coco-Glucoside, Dipotassium Glycyrrhizate, Zingiber Officinale (Ginger) Root Extract, Sodium Hyaluronate, Centella Asiatica Leaf Extract, Butylene Glycol, Propanediol, 1,2-Hexanediol, Hydroxyacetophenone.
Warnings from packaging:
Cautions: Please apply some to skin behind the ears for a test before using. It can be used after testing without any adverse reactions. During the cleasing, take care not to get into your eyes. If in eyes accidentally, please rinse immediately with water in the proper manner and do not rub your eyes vigorously.","EWG Verified,Product's animal testing policies,Unknown"
W/O,W/O Remove,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Hamamelis Virginiana Extract (Witch Hazel)* , Cold Pressed Virgin Unrefined Vitis vinifera Oil (Grapeseed Oil)*","EWG Verified,Product's animal testing policies,Leaping Bunny"
Exactly! Organics,Exactly! Organics Eye Makeup and Mascara Remover,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Oil*, Simmondsia Chinensis (Jojoba)*, Argania Spinsosa (Argan) Oil*, Organic Rosa Rubiginosa (Rose Hip) Oil*, *Certified Organic
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Unknown"
Planted in Beauty,Planted in Beauty PURIFY + CONDITION MAKEUP REMOVER,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Aloe Barbadensis (Aloe Vera) Leaf Juice, Glycerin, Citrus Aurantium Dulcis (Orange) Fruit Water, Water, Polyglyceryl-4 Caprate, Decyl Glucoside, Lycium Chinense Fruit Extract, Morus Alba Root Extract, Carica Papaya (Papaya) Fruit Extract, Gaultheria Procumbens (Wintergreen) Leaf Extract, Sodium PCA, Sucrose Laurate, Levulinic Acid, Sodium Hydroxide, P-Anisic Acid, Sodium Levulinate, Amyris Balsamifera Bark Oil, Phytic Acid, Linalool, Citronellol
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Unknown"
Organic to Green,"Organic to Green Coco Oil Liquid Coconut Oil, Rose",EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride (coconut Fractionated), Cocos Nucifera (Organic Coconut Virgin) Oil*, Rosa Otto Damascena (Rose) Essential Oil*, Aniba Rosaeodora (Rosewood) Wood Oil*, Rosa Mosqueta (Rosehip) Fruit Oil*, Leontopodium Alpinum (Edelweiss) Extract*, L-Ascorbic Acid (Vitamin C), Tocopheryl Acetate (Vitamin E). *Certified Organic (USDA or Ecocert)
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rejuva Minerals,Rejuva Minerals Cranberry Fruit Makeup Remover Pads,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
*Vaccinium Macrocarpon (Cranberry) Fruit Water, *Aloe Barbadensis Leaf Juice, *Glycerin, Coconut Oil Glycereth-8 Esters, Aqua (Water), Sodium Levulinate, Sodium Anisate, Caprylyl Glycol, Phenethyl Alcohol *Organic.
Warnings from packaging:
Avoid direct contact with eyes. Rinse thorougly should product get into eyes. If irritation occurs, discontinue use.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Organic to Green,"Organic to Green Coco Oil Liquid Coconut Oil, Vanilla Chamomile",EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride (coconut Fractionated), Cocos Nucifera (Organic Coconut Virgin) Oil*, Vanilla Tahitensis Fruit (Vanilla) Oil*, Anthemis Nobilis Flower (Roman Chamomile) Oil*, Aloe Barbadensis Leaf (Aloe Vera) Extract*, Calendula Officinalis (Calendula) Flower Extract*, Marrubium Vulgare (Marrubium) Extract*, Tocopheryl Acetate (Vitamin E). *Certified Organic (USDA or Ecocert)
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Organic to Green,"Organic to Green Coco Oil Liquid Coconut Oil, Lemon",EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride (coconut Fractionated), Cocos Nucifera (Organic Coconut Virgin) Oil*, Citrus Medica Limonum (Lemon) Peel Oil*, Rubus Ideaus (Red Raspberry) Seed Oil*, Salvia Officinalis (Sage) Extract Oil*, Arctium Lappa (Burdock) Root Extract*, Tocopheryl Acetate (Vitamin E). *Certified Organic (USDA or Ecocert)
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
