Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Lipsmacker,Lip Smacker Press on Nails,01,Nail Glue,LOW,LOW,LOW,LOW,"Ingredients from packaging:
POLYMETHYL METHACRYLATE, WATER (AQUA)","Product's animal testing policies,Unknown"
L.A. Colors,"L.a. Colors Gel Nails On! Nail Tips and Glue Kit, Topless Short Nail Cnt132",01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
NAIL GLUE INGREDIENTS: ETHYL CYANOACRYLATE, POLYMETHYL METHACRYLATE.","Product's animal testing policies,Unknown"
Almar,"Almar Ice Queen Press on Nails, Halloween Essentials",01,Nail Glue,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ETHYLENE/VA COPOLYMER, WATER","Product's animal testing policies,Unknown"
Almar,"Almar Press on Nails, Spiders & Sass",01,Nail Glue,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ETHYLENE/VA COPOLYMER, WATER","Product's animal testing policies,Unknown"
Kiss,"Kiss Impress Tab to Go Super Adhesive Tabs, 86750",01,Nail Glue,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
ADHESIVE TABS: ACRYLIC ACID, ETHYLHEXYL ACRYLATE, HYDROXYCYCLOHEXYL PHENYL KETONE","Product's animal testing policies,Unknown"
Almar Sales Co,Almar Sales Company Self Adhesive Press on Nails,01,Nail Glue,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ETHYLENE/VA COPOLYMER, WATER","Product's animal testing policies,Unknown"
Almar Sales Co,Almar Sales Company Squad Ghouls Nails,01,Nail Glue,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ETHYLENE/VA COPOLYMER, WATER","Product's animal testing policies,Unknown"
L.A. Girl Cosmetics,"L.a. Girl Oh... So Shiny Artificial Nails Tips, Wishful",01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ETHYL CYANOACRYLATE, POLYMETHYL METHACRYLATE","Product's animal testing policies,PETA Cruelty-free Companies"
L.A. Girl Cosmetics,"L.a. Girl Gel Shine Nail Tips, edgy",01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ETHYL CYANOACRYLATE, POLYMETHYL METHACRYLATE","Product's animal testing policies,PETA Cruelty-free Companies"
,Pretty Woman Fantasy Dreams Kids Press on Faux Nails,01,Nail Glue,LOW,LOW,LOW,LOW,"Ingredients from packaging:
PRE-GLUE: ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, WATER (AQUA)","Product's animal testing policies,Unknown"
,Townley Girl Press on Nails,01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER (AQUA/EAU), ACRYLATES COPOLYMER, PHENOXYETHANOL","Product's animal testing policies,Unknown"
,Disney Princess Press on Nails,01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER (AQUA/EAU), ACRYLATES COPOLYMER, PHENOXYETHANOL.","Product's animal testing policies,Unknown"
More Than Magic,More Than Magic Press on Nail Set,01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, POLYVINYL ALCOHOL, GLYCERIN, SODIUM STEARATE, PHENOXYETHANOL","Product's animal testing policies,Unknown"
L.A. Colors,"L.a. Colors Nail Frill Glue, True Beauty Cnt466",01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
NAIL GLUE : ETHYL CYANOACRYLATE, POLYMETHYL METHACRYLATE","Product's animal testing policies,Unknown"
,Vacay Vibe's Press on Nails,01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, POLYVINYL ALCOHOL, GLYCERIN, SODIUM STEARATE, PHENOXYETHANOL","Product's animal testing policies,Unknown"
L.A. Colors,"L.a. Colors Artificial Nails, Magical Almond Cnt236",01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ETHYL CYANOACRYLATE, POLYMETHYL METHACRYLATE","Product's animal testing policies,Unknown"
Kiss,"Kiss Classy Trendy Shape & Style Medium Length Nails, 83604 Kcs04",01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
NAILS: ABS PLASTIC. PINK GEL GLUE: ETHYL CYANOACRYLATE, POLYMETHYL METHACRYLATE, RED 7 LAKE (CI 15850:1).","Product's animal testing policies,Unknown"
Nailene,"Nailene Nails Ongles, Pink 71643",01,Nail Glue,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ETHYL CYANOACRYLATE, POLYMETHYL METHACRYLATE, METHYLENE DI-T-BUTYLCRESOL, ACETYL TRIBUTYL CITRATE, TOCOPHEROL, PANTHENOL, RED 7 (CI 15850)","Product's animal testing policies,Unknown"
