Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Piggy Paint,"Piggy Paint Nail Polish, Sea Ya Later",01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
AQUA, ACRYLATES COPOLYMERS, MELIA AZADIRACHTA (NEEM OIL).","Product's animal testing policies,Unknown"
Piggy Paint,"Piggy Paint Nail Polish, Fairy Berry",01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
AQUA, ACRYLATES COPOLYMERS, MELIA AZADIRACHTA (NEEM OIL). May contain: Mica, ultramarines, red 28","Product's animal testing policies,Unknown"
Ella+mila,Ella + Mila Nail Polish Thinner,01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
BUTYL ACETATE, ETHYL ACETATE, ISOPROPYL ALCOHOL","Product's animal testing policies,Unknown"
Piggy Paint,"Piggy Paint Nail Polish, Muddles the Pig",01,Nail Polish,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
AQUA, ACRYLATES COPOLYMERS, MELIA AZADIRACHTA (NEEM OIL). MAY CONTAIN: MICA, ULTRAMARINES, TITANIUM DIOXIDE, VIOLET 2.","Product's animal testing policies,Unknown"
Piggy Paint,Piggy Paint Glitter Topcoat,01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
AQUA, ACRYLATES COPOLYMERS, MELIA AZADIRACHTA (NEEM OIL). MAY CONTAIN: MICA, ULTRAMARINES.","Product's animal testing policies,Unknown"
Piggy Paint,"Piggy Paint Sophi Nail Polish, Fir Sure",01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
AQUA, ACRYLATES COPOLYMERS, MELIA AZADIRACHTA (NEEM OIL). MAY CONTAIN: TITANIUM DIOXIDE, ULTRAMARINES, CHROME GREEN.","Product's animal testing policies,Unknown"
Nail Aid,"Nail Aid, Dry Fast + Shine Top Coat, Grapeseed + Safflower Seed Oils",01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ETHYL ACETATE, BUTYL ACETATE, NITROCELLULOSE, ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE COPOLYMER, ISOPROPYL ALCOHOL, SUCROSE BENZOATE, ACETYL TRIBUTYL CITRATE, CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL, VITIS VINIFERA (GRAPE) SEED OIL, DIPROPYLENE GLYCOL DIBENZOATE, ETOCRYLENE.","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
China Glaze,"China Glaze Nail Lacquer With hardeners,t.rex Appeal 85229",01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
INHALTSSTOFFE: BUTYL ACETATE, ETHYL ACETATE, NITROCELLULOSE, ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE COPOLYMER, DIPROPYLENE GLYCOL DIBENZOATE, ISOPROPYL ALCOHOL, STEARALKONIUM BENTONITE ACRYLATES COPOLYMER, IRON OXIDES (C177499), FERRIC FERROCYANIDE (C177510), TITANIUM DIOXIDE (C177891)","Product's animal testing policies,PETA Cruelty-free Companies"
Nailtural,Nailtural Base Coat,01,Nail Polish,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
: Butyl Acetate, Alcohol Denat., Ethyl Acetate, Polyvinyl Butyral, Tosylamide/Epoxy Resin, Trimethyl Pentanyl Diisobutyrate, Nitrocellulose, Isopropyl Alcohol, Etocrylene, Violet 2 (Ci 60725)","Product's animal testing policies,Unknown"
L.A. Colors,"L.A. Colors Color Last Nail Polish, Crystal Top Coat",01,Nail Polish,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ETHYL ACETATE, BUTYL ACETATE, ALCOHOL DENAT., CELLULOSE ACETATE BUTYRATE, ACRYLATES COPOLYMER, ACETYL TRIBUTYL CITRATE, DIMETHICONE
Warnings from packaging:
CAUTION: flammable. Keep awey from heat \u0026 flame. Keep away from small children.","Product's animal testing policies,Unknown"
Ella+mila,"Ella+mila Dream Nail Polish, Time for a Bond Fire",01,Nail Polish,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
BUTYL ACETATE, ETHYL ACETATE, NITROCELLULOSE, ACETYL TRIBUTYL CITRATE, PHTHALIC ANHYDRIDE/TRIMELLITIC ANHYDRIDE/GLYCOLS COPOLYMER, ISOPROPYL ALCOHOL, STEARALKONIUM HECTORITE, ADIPIC ACID/FUMARIC ACID/PHTHALIC ACID/TRICYCLODECANE DIMETHANOL COPOLYMER, CITRIC ACID, BIS[GLYCIDOXYPHENYL PROPANE/BISAMINO METHYLNORBORNANE COPOLYMER, ALUMINUM HYDROXIDE, POLYBUTYLENE TEREPHTHALATE, POLYETHYLENE TEREPHTHALATE, STYRENE/ACRYLATES COPOLYMER May Contain [+/-]: Aluminum Powder [CI 77000], Iron Oxides [CI 77499 / CI 77491], Red 34 Lake[CI 15880], Red 6 Lake [CI 15850], Red 7 Lake [CI 15850], Yellow 5 Lake [CI 19140], Ferric Ammonium Ferrocya- nide [CI 77510], Mica [CI 77019], Blue 1 [CI 42090], Yellow 11 [CI 47000], Titanium Dioxide [CI 77891], Violet 2 [CI 60725], Yellow 10 [CI 47005], Red 28 [CI 45410], Red 22 [CI 45380]","Product's animal testing policies,Unknown"
POP-ARAZZI,"Pop Arazzi Nail Polish, Top Coat Clear Quick Dry",01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
BUTYL ACETATE, ETHYL ACETATE. ACRYLAIES COPOLYMER, NITROCELLULOSE. ALCOHOL DENAT., ACETYL TRIBUTYL CITRATE, ISOPROPYL ALCOHOL, STEARALKONIUM HECTORITE.","Product's animal testing policies,PETA Cruelty-free Companies"
Olive &amp; June,Olive and June Olive & June Nail Strengthener Nail Care Treatment with Celery Seed Extract,01,Nail Polish,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Ethyl Acetate, Isopropylidenediphenyl Bisoxyhydroxypropyl Methacrylate, Dimethyl Urea, Caprylic/Capric Triglyceride, Apium Graveolens (Celery) Seed Extract, Water, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Cymbopogon Schoenanthus Extract, Lavandula Angustifolia (Lavender) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Butylene Glycol, 1,2-Hexanediol
Directions from packaging:
See instructions on packaging.","Product's animal testing policies,Unknown"
