Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Onyx Professional,"Onyx Professional, Acetone Nail Polish Remover Wipes",01,Polish Remover,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ACETONE, AQUA, GLYCERIN","Product's animal testing policies,Unknown"
White Rain,White Rain Acetone Nail Polish Remover,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE","Product's animal testing policies,Unknown"
Signature Care,Signature Care Acetone Nail Polish Remover,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
Cutex,Cutex Spot on Jelly Nail Polish Remover,01,Polish Remover,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
ACETONE, WATER, HYDROXYPROPYLCELLULOSE, Parfum (FRAGRANCE), TOCOPHERYL ACETATE, BENZYL SALICYLATE, LINALOOL.","Product's animal testing policies,Unknown"
,Exo Salon Strength Acetone Gel Nail Polish Remover,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, WATER, OLEA EUROPAEA (OLIVE) FRUIT OIL, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL","Product's animal testing policies,Unknown"
One+Other,One+other Pro Strength Gel Nail Polish Remover Pads,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
One+Other,One+other Pro Strength Nail Polish Remover Dip,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
White Rain,White Rain 100% Non Acetone Nail Polish Remover,01,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ETHYL ACETATE, ALCOHOL DENAT, AQUA, PROPYLENE GLYCOL, GLYCERIN","Product's animal testing policies,Unknown"
Nailtural,Nailtural Nail Color Remover,01,Polish Remover,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
: METHYL SOYATE, GLYCERIN, ETHYL LACTATE, LIMONENE","Product's animal testing policies,Unknown"
Kroger,Kroger Nail Polish Remover,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
,Sound Body Nail Polish Remover,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
Beauty Secrets,Beauty Secrets Nail Polish Remover Pads,01,Polish Remover,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
WATER , ACETONE , DIMETHYL GLUTARATE , PROPYLENE CARBONATE , TOCOPHERYL ACETATE , PANTHENOL","Product's animal testing policies,Unknown"
,Olive & June Nail Polish Remover Pot,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ETHYL ACETATE, BUTYL ACETATE, ALCOHOL, WATER/AQUA/EAU","Product's animal testing policies,Unknown"
Beauty 360,Beauty 360 Advanced Nail Polish Remover Gel,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, HYDROXYPROPYL CELLULOSE, AQUA, BUTYLENE GLYCOL, LAVANDULA ANGUSTIFOLIA FLOWER EXTRACT.","Product's animal testing policies,Unknown"
Beauty 360,Beauty 360 Pro Strength Gel Nail Polish Remover Pads,01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, DENATONIUM BENZOATE.","Product's animal testing policies,Unknown"
Walgreens,"Walgreens, 100% Acetone Nail Polish Remover",01,Polish Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE, DENATONIUM BENZOATE.","Product's animal testing policies,Unknown"
