Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Happy,"HAPPY Mouth Rinse, Unflavored, Clear",EWG Verified,Mouthwash,,,,,"Ingredients from packaging:
Purified water (distilled), Erythritol powder, organic aloe vera leaf juice, sodium bicarbonate, citric acid","EWG Verified,Product's animal testing policies,Unknown"
Modere,Modere Mouth Rinse REFRESH,EWG Verified,Mouthwash,,,,,"Ingredients from packaging:
Water, sodium chlorite, Mentha Piperita (Peppermint) Oil, Butylene Glycol.
Warnings from packaging:
Store below 25C. Do not expose to direct sunlight. Do not swallow. Do not use if sealed wrapper around the bottle and cap is broken or missing.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
,Lazy Acres Healthy Gums,01,Mouthwash,LOW,LOW,LOW,LOW,"Ingredients from packaging:
EXTRA VIRGIN OLIVE FRUIT OIL (OLEA EUROPAEA), PEPPERMINT LEAF OIL, CLOVE BUD OIL, OREGANO LEAF OIL, TEA TREE OIL, ROSEMARY LEAF OIL","Product's animal testing policies,Unknown"
,Fresh Thyme Healthy Gums With Oregano Oil,01,Mouthwash,LOW,LOW,LOW,LOW,"Ingredients from packaging:
EXTRA VIRGIN OLIVE FRUIT OIL (OLEA EUROPAEA), Essential Oils of: Peppermint Leaf, Clove Bud, Oregano Leaf, Tea Tree Leaf, Rosemary Leaf","Product's animal testing policies,Unknown"
,"Rowe Casa Orgainics, Mouthwash",02,Mouthwash,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
DISTILLED WATER, ORGANIC FRACTIONATED COCONUT OIL, HIMALAYAN SALT, COLLOIDAL SILVER, ORGANIC STEVIA, 100% PURE THERAPEUTIC GRADE ESSENTIAL OILS: SPEARMINT, CLOVE, LEMON, EUCALYPTUS, ROSEMARY, CINNAMON BARK.","Product's animal testing policies,Unknown"
Signature Care,"Signature Care Fresh Breath Oral Rinse, Smooth Mint",02,Mouthwash,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
PURIFIED WATER, GLYCERIN, PEG-40 HYDROGENATED CASTOR OIL, SODIUM BENZOATE, SODIUM CHLORITE, FLAVOR, DISODIUM EDTA, SODIUM BICARBONATE","Product's animal testing policies,Unknown"
Simply Silver,"Simply Silver Mouthwash, Cinnamon",02,Mouthwash,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Advanced silver solution (15 ppm) proprietary formula, 100% raw Croton lechleri sap, Black Walnut Hull tincture, CoQ10, essential oils proprietary blend of cinnamon, clove, tea tree, myrrh and stevia (Stevia rebaudiana, vegetable glycerin, and deoinized water), Menthol (Mentha arvensis).
Warnings from packaging:
Do not swallow","Product's animal testing policies,Unknown"
Simply Silver,"Simply Silver Mouthwash, Mint",02,Mouthwash,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Advanced silver solution (15 ppm) proprietary formula, 100% raw Croton lechleri sap, Black Walnut Hull tincture, CoQ10, essential oils proprietary blend of peppermint, clove, tea tree, myrrh and stevia (Stevia rebaudiana, vegetable glycerin, and deoinized water), Menthol (Mentha arvensis).
Warnings from packaging:
Do not swallow","Product's animal testing policies,Unknown"
Simply Silver,"Simply Silver Mouthwash, Spearmint",02,Mouthwash,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Advanced silver solution (24 ppm), xylitol (reduces bacteria and raises pH), organic extra virgin coconut oil, proprietary blend of spearmint extract and spearmint essential oil, stevia rebaudiana, trace minerals, nano hydroxyapatite, baking soda (neutralizes acid, pH is 7.85) and menthol (Mentha arvensis)
Warnings from packaging:
Do not swallow","Product's animal testing policies,Unknown"
Simply Silver,"Simply Silver Breath Spray, Cinnamon",02,Mouthwash,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Colloidal silver (15 ppm), cinnamon oil (cinnamomum verum)) and Menthol (Mentha arvensis)
Warnings from packaging:
none","Product's animal testing policies,Unknown"
