ID,Name,EWG_ID,EWG,ScoreMin,ScoreMax,Description,Cancer,Allergies,Toxicity,Restriction
I_0,WATER,706945,1,1,1,,LOW,LOW,LOW,LOW
I_1,FRAGRANCE,702512,8,8,8,"The word ""fragrance"" or ""parfum"" on the product label represents an undisclosed mixture of various scent chemicals and ingredients used as fragrance dispersants such as diethyl phthalate. Fragrance mixes have been associated with allergies, dermatitis, respiratory distress and potential effects on the reproductive system.",LOW,HIGH,LOW,LOW
I_2,GLYCERIN,702620,1_2,1,2,Glycerin (also called glycerol) is a naturally occurring alcohol compound and a component of many lipids. Glycerin may be of animal or vegetable origin. This ingredient is listed in the PETA's Caring Consumer guide as a byproduct of soap manufacture which typically uses animal fat.,LOW,LOW,LOW,MODERATE
I_3,PHENOXYETHANOL,704811,2_4,2,4,Phenoxyethanol is a preservative used in cosmetics and personal care products.,LOW,LOW,LOW,MODERATE
I_4,IRON OXIDES,706410,3,3,3,Iron oxides are inorganic chemicals used as colorants.,LOW,LOW,LOW,LOW
I_5,TITANIUM DIOXIDE,706561,1_3,1,3,Titanium dioxide is an inorganic compound used in a range of body care products such as sunscreens and makeup. It appears to have low skin penetration but inhalation is a concern.,MODERATE,LOW,LOW,LOW
I_6,TOCOPHEROL,706564,1_2,1,2,Tocopherols are a class of naturally occurring chemical compounds related to Vitamin E,LOW,LOW,LOW,LOW
I_7,MICA,703949,2,2,2,Mica is a type of highly brittle silicate minerals with diverse chemical composition; typically used as a colorant.,LOW,LOW,LOW,LOW
I_8,CITRIC ACID,701385,1_2,1,2,"Citric acid is an alpha hydroxy acid used in personal care products to adjust the acidity or promote skin peeling and re-growth in the case of anti-aging products. Citric acid is naturally found in citric fruits and juices, providing the characteristic acidic taste.",LOW,LOW,LOW,MODERATE
I_9,TOCOPHERYL ACETATE,706569,2_3,2,3,Tocopheryl acetate is a chemical compound that consists of acetic acid and tocopherol (vitamin E),LOW,MODERATE,LOW,LOW
I_10,DIMETHICONE,702011,2_4,2,4,Dimethicone (also called polymethylsiloxane) is a silicon-based polymer used as a lubricant and conditioning agent.,LOW,LOW,LOW,MODERATE
I_11,"SILICA, AMORPHOUS",705911,1_3,1,3,"Silica is the most common constituent of sand. Fine silica, typically used in industrial applications and inhaled by workers, is associated with a wide range of disorders, particularly affecting the lungs and respiratory system. In cosmetics for skin use, regular sand presents little, if any risk to people. In contrast, for products that might be inhaled (such as a facial powder), silica particles are finely ground down and may be associated with respiratory toxicity.",MODERATE,LOW,LOW,LOW
I_12,ETHYLHEXYLGLYCERIN,702352,2,2,2,Ethylhexylglycerin is a glyceryl ether used as a weak preservative and skin conditioning agent.,LOW,LOW,LOW,LOW
I_13,CAPRYLYL GLYCOL,701067,1,1,1,"Caprylyl glycol (1,2-octanediol) is used as a skin conditioning agent; has some antimicrobial activity.",LOW,LOW,LOW,LOW
I_14,CAPRYLIC/ CAPRIC TRIGLYCERIDE,701056,1,1,1,Caprylic/Capric Triglyceride is a mixed triester of glycerin and caprylic and capric acids.,LOW,LOW,LOW,LOW
I_15,BUTYROSPERMUM PARKII (SHEA) BUTTER,700875,1,1,1,"Shea butter is a vegetable fat obtained from the fruit of a tree native to Africa, Butyrospermum parkii. Shea butter is primarily composed of fatty acids such as stearic and oleic acids.",LOW,LOW,LOW,LOW
I_16,SODIUM CHLORIDE,706025,1,1,1,Sodium Chloride is an inorganic salt (also called table salt).,LOW,LOW,LOW,LOW
I_17,SODIUM BENZOATE,705989,1_3,1,3,"Sodium benzoate is a preservative commonly used in foods, pharmaceuticals and cosmetics.",LOW,LOW,LOW,MODERATE
I_18,DISODIUM EDTA,702146,1,1,1,"EDTA (ethylenediaminetetraacetic acid) is a chelating agent, used to sequester and decrease the reactivity of metal ions that may be present in a product.",LOW,LOW,LOW,LOW
