Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
belif,Belif the True Cream Aqua Bomb,04,Facial Moisturizer/Treatment,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
AQUA(WATER)/EAU, DIPROPYLENE GLYCOL, GLYCERIN, METHYL TRIMETHICONE, ALCOHOL DENAT., DIMETHICONE, CYCLOPENTASILOXANE, 1,2-HEXANEDIOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, PENTAERYTHRITYL TETRAETHYLHEXANOATE, PEG/PPG/POLYBUTENE GLYCOL-8/5/3 GLYCERIN, AVENA SATIVA (OAT) KERNEL EXTRACT*, CALENDULA OFFICINALIS FLOWER EXTRACT*, NEPETA CATARIA EXTRACT*, RUBUS IDAEUS (RASPBERRY) LEAF EXTRACT*, BAPTISIA TINCTORIA ROOT EXTRACT*, STELLARIA MEDIA (CHICKWEED) EXTRACT*+, ALCHEMILLA VULGARIS LEAF EXTRACT+, EQUISETUM ARVENSE LEAF EXTRACT+, URTICA DIOICA (NETTLE) LEAF EXTRACT+, BUTYROSPERMUM PARKII (SHEA) BUTTER, PANTHENOL, CERAMIDE NP, CHOLESTEROL, MACADAMIA TERNIFOLIA SEED OIL, PHENYL TRIMETHICONE, PENTAERYTHRITYL TETRAISOSTEARATE, PEG-150, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, SQUALANE, PEG-40 HYDROGENATED CASTOR OIL, DIMETHICONOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, C14-22 ALCOHOLS, POLYSORBATE 60, MALACHITE EXTRACT, TRIETHYLHEXANOIN, ARACHIDYL GLUCOSIDE, HYDROGENATED LECITHIN, GLYCERYL STEARATE, STEARIC ACID, PEG-100 STEARATE, POLYMETHYLSILSESQUIOXANE, CARBOMER, TROMETHAMINE, TRISODIUM EDTA, CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL**, CITRUS AURANTIFOLIA (LIME) OIL**, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL**, PELARGONIUM GRAVEOLENS FLOWER OIL**, CITRAL, CITRONELLOL, LIMONENE, GERANIOL, LINALOOL","Product's animal testing policies,Unknown"
belif,Belif the True Cream Aqua Bomb,05,Facial Moisturizer/Treatment,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, DIPROPYLENE GLYCOL, GLYCERIN, METHYL TRIMETHICONE, ALCOHOL DENAT., DIMETHICONE, CYCLOPENTASILOXANE, 1,2-HEXANEDIOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, PENTAERYTHRITYL TETRAETHYLHEXANOATE, PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN, STELLARIA MEDIA (CHICKWEED) EXTRACT*+, BAPTISIA TINCTORIA ROOT EXTRACT*, CALENDULA OFFICINALIS FLOWER EXTRACT*, NEPETA CATARIA EXTRACT*, AVENA SATIVA (OAT) KERNEL EXTRACT*, RUBUS IDAEUS (RASPBERRY) LEAF EXTRACT*, ALCHEMILLA VULGARIS LEAF EXTRACT+, EQUISETUM ARVENSE LEAF EXTRACT+, URTICA DIOICA (NETTLE) LEAF EXTRACT+, BUTYROSPERMUM PARKII (SHEA) BUTTER, PANTHENOL, CERAMIDE NP, CHOLESTEROL, MACADAMIA TERNIFOLIA SEED OIL, PHENYL TRIMETHICONE, PENTAERYTHRITYL TETRAISOSTEARATE, PEG-150, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, SQUALANE, PEG-40 HYDROGENATED CASTOR OIL, DIMETHICONOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, C14-22 ALCOHOLS, POLYSORBATE 60, MALACHITE EXTRACT, TRIETHYLHEXANOIN, ARACHIDYL GLUCOSIDE, HYDROGENATED LECITHIN, GLYCERYL STEARATE, STEARIC ACID, PEG-100 STEARATE, POLYMETHYLSILSESQUIOXANE, CARBOMER, TROMETHAMINE, TRISODIUM EDTA, FRAGRANCE**, CITRAL, CITRONELLOL, LIMONENE, GERANIOL, LINALOOL","Product's animal testing policies,Unknown"
belif,Belif Cleansing Herb Water (2017 formulation),03,Makeup Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
WATER, DIPROPYLENE GLYCOL, EUCALYPTUS GLOBULUS LEAF EXTRACT, OLIVE OIL, PEG-7 ESTERS, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, 1,2-HEXANEDIOL, MENTHA ROTUNDIFOLIA LEAF EXTRACT, ROSA CANINA FRUIT EXTRACT, ARCTIUM LAPPA ROOT EXTRACT, HYPERICUM PERFORATUM EXTRACT, PEUCEDANUM GRAVEOLENS (DILL) EXTRACT, AVENA SATIVA (OAT) KERNEL EXTRACT, CALENDULA OFFICINALIS FLOWER EXTRACT, NEPETA CATARIA EXTRACT, RUBUS IDAEUS (RASPBERRY) LEAF EXTRACT, BAPTISIA TINCTORIA ROOT EXTRACT, STELLARIA MEDIA (CHICKWEED) EXTRACT, PANTHENOL, SODIUM CITRATE, TRISODIUM EDTA, FRAGRANCE, LIMONENE
Warnings from packaging:
For external use only. Do not get into eyes.","Product's animal testing policies,Unknown"
belif,Belif Hungarian Water Essence (old formulation),04,Facial Moisturizer/Treatment,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, DIPROPYLENE GLYCOL, GLYCERIN, 1,2-HEXANEDIOL, ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT, CENTELLA ASIATICA EXTRACT, LAVANDULA ANGUSTIFOLIA (LAVENDER) EXTRACT, SALVIA OFFICINALIS(SAGE) LEAF EXTRACT, MELISSA OFFICINALIS LEAF EXTRACT, ACHILLEA MILLEFOLIUM EXTRACT, PEUCEDANUM GRAVEOLENS (DILL) EXTRACT, ALCHEMILLA VULGARIS EXTRACT, ROSE EXTRACT, PONCIRUS TRIFOLIATA FRUIT EXTRACT, PORTULACA OLERACEA EXTRACT, AVENA SATIVA (OAT) KERNEL EXTRACT*, CALENDULA OFFICINALIS FLOWER EXTRACT*, NEPETA CATARIA EXTRACT*, RUBUS IDAEUS (RASPBERRY) LEAF EXTRACT*, BAPTISIA TINCTORIA ROOT EXTRACT*, STELLARIA MEDIA (CHICKWEED) EXTRACT*, +ALCHEMILLA VULGARIS LEAF EXTRACT, *EQUISETUM ARVENSE LEAF EXTRACT*, *URTICA DIOICA (NETTLE) LEAF EXTRACT*, *PLANTAGO LANCEOLATA LEAF EXTRACT*, SODIUM HYALURONATE, CYCLOPENTASILOXANE, TRIETHYLHEXANOIN, TROMETHAMINE, SCLEROTIUM GUM, AMMONIUM ACRYLOYLDIMETHLTAURATE/VP COPOLYMER, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, TRISODIUM EDTA, FRAGRANCE, CITRONNELLOL, LIMONENE
Warnings from packaging:
For external use only. Do not get into eyes. Keep out of reach of children.","Product's animal testing policies,Unknown"
belif,Belif Hungarian Water Essence (2018 formulation),04,Serums & Essences,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Water, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Rosmarinus Officinalis (Rosemary) Extract, Centella Asiatica Extract, Lavandula Angustifolia (Lavender) Extract, Salvia Officinalis(Sage) Leaf Extract, Melissa Officinalis Leaf Extract, Achillea Millefolium Extract, Peucedanum Graveolens (Dill) Extract, Alchemilla Vulgaris Extract, Rose Extract, Poncirus Trifoliata Fruit Extract, Portulaca Oleracea Extract, *Avena Sativa (Oat) Kernel Extract, *Calendula Officinalis Flower Extract, *Nepeta Cataria Extract, *Rubus Idaeus (Raspberry) Leaf Extract, *Baptisia Tinctoria Root Extract, *Stellaria Media (Chickweed) Extract, +Alchemilla Vulgaris Leaf Extract, **Equisetum Arvense Leaf Extract, **Urtica Dioica (Nettle) Leaf Extract, **Plantago Lanceolata Leaf Extract, Sodium Hyaluronate, Cyclopentasiloxane, Triethylhexanoin, Tromethamine, Sclerotium Gum, Ammonium Acryloyldimethltaurate/Vp Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium EDTA, ***Fragrance, Citronnellol, Limonene
Warnings from packaging:
For external use only. Do not get into eyes.","Product's animal testing policies,Unknown"
belif,Belif Classic Essence Increment (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Water, Glycerin, Bis-Peg-18 Methyl Ether Dimethyl Silane, Dipropylene Glycol, Squalane, Hydrogenated Polydecene, Dipentaerythrityl Hexa C5-9 Acid Esters, Caprylic/Capric Triglyceride, 1,2-Hexanediol, Cyclopentasiloxane, Panthenol, Trehalose, PEG-40 Stearate, Cyclohexasiloxane, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, Nepeta Cataria Extract, Rubus Idaeus (Raspberry) Leaf Extract, Baptisia Tinctoria Root Extract, Stellaria Media (Chickweed) Extract, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Calendula Officinalis Flower Oil, Borago Officinalis Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Chamomilla Recutita (Matricaria) Flower Oil, Lavandula Angustifolia (Lavender) Oil, Rose Flower Oil, Alchemilla Vulgaris Leaf Extract, Viola Tricolor Extract, Rosa Damascena Flower Extract, Spiraea Ulmaria Flower Extract, Althaea Officinalis Root Extract, Dimethicone, Algae Extract, Butylene Glycol, Glycosyl Trehalose, Hydrogenated Starch Hydrolysate, Sodium Hyaluronate, Lactobacillus/Soybean Ferment Extract, Saccharomyces/Viscum Album (Mistletoe) Ferment Extract, Saccharomyces/Imperata Cylindrica Root Ferment Extract, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Methyl Glucose Sesquistearate, Sorbitan Stearate, Xanthan Gum, Carbomer, Tromethamine, Trisodium EDTA, Mica, Iron Oxide(Ci 77491), Titanium Dioxide, Fragrance, Citronnellol, Limonene.
Warnings from packaging:
For external use only. Do not get into eyes.","Product's animal testing policies,Unknown"
belif,"belif The True Cream, Aqua Bomb (2019 formulation)",05,Facial Moisturizer/Treatment,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Water, Dipropylene Glycol, Glycerin, Methl Trimethicone, Alcohol Denat, Dimethicone, Cyclopentasiloxane, 1,2-Hexanediol, Malakite Extract, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Alchemilla Vulgaris Leaf Extract, Equisetum Arvense Leaf Extract, Stellaria Media (Chickweed) Extract, Urtica Dioica (Nettle) Leaf Extract, Plantago Lanceolata Leaf Extract, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, Nepeta Cataria Extract, Rubus Idaeus (Raspberry) Leaf Extract, Baptisia Tinctoria Root Extract, Dimethiconol, Polymethylsilsesquioxane, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Isohexadecane, Polysorbate 60, Ceramide 3, Cholesterol, Butyrospermum Parkii (Shea) Butter, Phenl Trimethicone, Pentaerythrityl Tetraisostearate, Panthenol, Squalane, Triethylhexanoin, Macadamia Ternifolia Seed Oil, PEG-150, PEG-40 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arachidyl Glucoside, Hydrogenated Lecithin, PEG-100 Stearate, Stearic Acid, Glyceryl Stearate, Carbomer, Tromethamine, Trisodium EDTA, Fragrance, Citronellol, Limonene, Citral, Geraniol, Linalool","Product's animal testing policies,Unknown"
belif,Belif Hydra Sebum Control Essence (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water, Citrus Unshiu Peel Extract, Dipropylene Glycol, Cyclopentasiloxane, 1,2-Hexanediol, Polymethyl Methacrylate, Dimethicone, Glycerin, Triethylhexanoin, Biosaccharide Gum-1, Butylene Glycol, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, Nepeta Cataria Extract, Rubus Idaeus (Raspberry) Leaf Extract, Baptisia Tinctoria Root Extract, *Stellaria Media (Chickweed) Extract, Silica, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, PEG-40 Hydrogenated Castor Oil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Montmorillonite, Hydroxyethyl Acrylate/Sodium Acryloydimethyl Taurate Copolymer, Trisodium EDTA, Isohexadecane, +Fragrance, Citral, Citronnellol, Limonene, Geraniol, Linalool
Warnings from packaging:
For external use only. Do not get into eyes.","Product's animal testing policies,Unknown"
belif,Belif Problem Solution Essence (2018 formulation),06,Serums & Essences,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Water, Dipropylene Glycol, 1,2-Hexanediol, Glycerin, Poncirus Trifoliata Fruit Extract, Panthenol, Neopentyl Glycol Dicaprate, Dimethicone, Polymethyl Methacrylate, Hydrogenated Polydecene, Hexyldecyl Ethylhexanoate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Calendula Officinalis Flower Extract*+, Avena Sativa (Oat) Kernel Extract*, Nepeta Cataria Extract*, Rubus Idaeus (Raspberry) Leaf Extract*, Stellaria Media (Chickweed) Extract*, Baptisia Tinctoria Root Extract*, Arctium Lappa Root Extract+, Rosmarinus Officinalis (Rosemary) Leaf Extract+, Lavandula Angustifolia (Lavender) Flower Extract+, Echinacea Angustifolia Extract+, Salix Alba (Willow) Bark Extract, Magnolia Kobus Bark Extract, Glycine Soja (Soybean) Sprout Extract, Spiraea Ulmaria Extract, Stearyl Alcohol, Ceteareth-6 Olivate, PEG-40 Stearate, C14-22 Alcohols, Sorbitan Stearate, Montmorillonite, C12-20 Alkyl Glucoside, Azelaic Acid, Ammonium Acryloyldimethyltaurate/VP Copolymer, Xanthan Gum, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Dextrin, Mica, Titanium Dioxide, Iron Oxides(CI 77491), Tromethamine, Trisodium EDTA, Citrus aurantium bergamia (bergamot) fruit oil, Eucalyptus globulus leaf oil, Rosmarinus officinalis (rosemary) leaf oil, Fragrance**, Citronellol, Limonene","Product's animal testing policies,Unknown"
belif,Belif Peat Miracle Revital Serum Concentrate (2018 formulation),05,Serums & Essences,LOW,HIGH,MODERATE,MODERATE,"Ingredients from packaging:
Water, Peat Extract(20%), Dipropylene Glycol, Alcohol Denat., Glycerin, Methyl Gluceth-20, Butylene Glycol, Lactobacillus/Soybean Ferment Extract, 1,2-Hexanediol, PEG-150, Aminobutyric Acid, Rosa Damascena Flower Extract*, Althaea Officinalis Root Extract*, Spiraea Ulmaria Flower Extract*, Viola Tricolor Extract*, Alchemilla Vulgaris Leaf Extract*, Nepeta Cataria Extract+, Avena Sativa (Oat) Kernel Extract+, Rubus Idaeus (Raspberry) Leaf Extract+, Calendula Officinalis Flower Extract+, Stellaria Media (Chickweed) Extract+, Baptisia Tinctoria Root Extract+, Glycyrrhiza Glabra (Licorice) Root Extract**, Achillea Millefolium Flower Extract**, Euphrasia Officinalis Extract**, Aesculus Hippocastanum (Horse Chestnut) Leaf Extract**, Rhodiola Rosea Root Extract**, Vaccinium Myrtillus Fruit Extract**, Equisetum Arvense Leaf Extract**, Sodium Hyaluronate, Saccharomyces/Potato Extract Ferment Filtrate, Saccharomyces/Barley Seed Ferment Filtrate, Panthenol, Theobroma Cacao (Cocoa) Extract, PEG-40 Hydrogenated Castor Oil, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydroxyethylcellulose, Sodium Polyacrylate, Trisodium EDTA, Fragrance++, Citronellol, Limonene, Geraniol, Linalool
Warnings from packaging:
Do not get the product into the eyes.","Product's animal testing policies,Unknown"
