Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
innisfree,Innisfree Minimum For Sensitive Skin Concentrated Serum (2018 formulation),01,Serums & Essences,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, PROPANEDIOL, GLYCERIN, 1,2-HEXANEDIOL, XANTHAN GUM, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, GLYCERYL CAPRYLATE, MADECASSOSIDE","Product's animal testing policies,Unknown"
innisfree,Innisfree Firming Energy Essence with Fermented Soybean (2018 formulation),02,Serums & Essences,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, PROPANEDIOL, BACILLUS/ SOYBEAN FERMENT EXTRACT, ARBUTIN, POLYGLYCERIN-3, 1,2-HEXANEDIOL, PPG-13-DECYLTETRADECETH-24, BETAINE, SODIUM POLYACRYLATE, AVENA SATIVA (OAT) KERNEL EXTRACT, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, ADENOSINE, HYDROXYPROPYL CYCLODEXTRIN, PHENOXYETHANOL","Product's animal testing policies,Unknown"
innisfree,innisfree skin solution mask- Madecassoside (2017 formulation),03,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, DIPROPYLENE GLYCOL, 1,2-HEXANEDIOL, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, GLYCERETH-26, BETAINE, ARGININE, CARBOMER, PEG-6 HYDROGENATED CASTOR OIL, CELLULOSE GUM, MADECASSOSIDE, GLYCERIN, CITRUS UNSHIU PEEL EXTRACT, ORCHID EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CAMELLIA JAPONICA LEAF EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, CITRUS MEDICA LIMONUM (LEMON) PEEL OIL, PELARGONIUM GRAVEOLENS FLOWER OIL, DISODIUM EDTA","Product's animal testing policies,Unknown"
innisfree,innisfree skin solution mask- Hyaluronic acid (2017 formulation),03,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, DIPROPYLENE GLYCOL, 1,2-HEXANEDIOL, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, GLYCERETH-26, BETAINE, CARBOMER, ARGININE, PEG-6 HYDROGENATED CASTOR OIL, CELLULOSE GUM, SODIUM HYALURONATE, GLYCERIN, CITRUS UNSHIU PEEL EXTRACT, ORCHID EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CAMELLIA JAPONICA LEAF EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL, CITRUS LIMON (LEMON) PEEL OIL, DISODIUM EDTA","Product's animal testing policies,Unknown"
innisfree,innisfree skin solution mask- Peptide (2017 formulation),03,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, DIPROPYLENE GLYCOL, 1,2-HEXANEDIOL, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, GLYCERETH-26, BETAINE, CARBOMER, ARGININE, PEG-6 HYDROGENATED CASTOR OIL, CELLULOSE GUM, ADENOSINE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, OLEA EUROPAEA (OLIVE) FRUIT OIL, GLYCERIN, CITRUS GRANDIS (GRAPEFRUIT) PEEL OIL, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL, PELARGONIUM GRAVEOLENS FLOWER OIL, CITRUS UNSHIU PEEL EXTRACT, ORCHID EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CAMELLIA JAPONICA LEAF EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, COPAIFERA OFFICINALIS (BALSAM COPAIBA) RESIN, JASMINUM OFFICINALE (JASMINE) OIL, SALVIA OFFICINALIS (SAGE) OIL, ROSE FLOWER OIL, ELETTARIA CARDAMOMUM SEED OIL, ETHYLHEXYLGLYCERIN, COPPER TRIPEPTIDE-1, DISODIUM EDTA","Product's animal testing policies,Unknown"
innisfree,innisfree skin solution mask- Vita C (2017 formulation),04,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, DIPROPYLENE GLYCOL, NIACINAMIDE, 1,2-HEXANEDIOL, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, GLYCERETH-26, BETAINE, CARBOMER, ARGININE, PEG-6 HYDROGENATED CASTOR OIL, CELLULOSE GUM, MAGNESIUM ASCORBYL PHOSPHATE, GLYCERIN, CITRUS UNSHIU PEEL EXTRACT, ORCHID EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CAMELLIA JAPONICA LEAF EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL, CITRUS MEDICA LIMONUM (LEMON) PEEL OIL, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL, ABIES SIBIRICA OIL, MENTHA PIPERITA (PEPPERMINT) OIL, EUCALYPTUS GLOBULUS LEAF OIL, JUNIPERUS VIRGINIANA OIL, EUGENIA CARYOPHYLLUS(CLOVE) LEAF OIL, DISODIUM EDTA","Product's animal testing policies,Unknown"
innisfree,innisfree skin solution mask- BHA (2017 formulation),04,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, DIPROPYLENE GLYCOL, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, 1,2-HEXANEDIOL, GLYCERETH-26, BETAINE, CARBOMER, ARGININE, PEG-6 HYDROGENATED CASTOR OIL, CELLULOSE GUM, SALICYLIC ACID, GLYCERIN, CITRUS UNSHIU PEEL EXTRACT, ORCHID EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CAMELLIA JAPONICA LEAF EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, JUNIPERUS VIRGINIANA OIL, ABIES SIBIRICA OIL, JUNIPERUS COMMUNIS FRUIT OIL, CITRUS LIMON (LEMON) PEEL OIL, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL, CITRUS AURANTIFOLIA (LIME) OIL, DISODIUM EDTA","Product's animal testing policies,Unknown"
innisfree,innisfree skin solution mask- Collagen (2017 formulation),04,Mask,MODERATE,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, DIPROPYLENE GLYCOL, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, 1,2-HEXANEDIOL, GLYCERETH-26, BETAINE, CARBOMER, ARGININE, PEG-6 HYDROGENATED CASTOR OIL, CELLULOSE GUM, CITRUS AURANTIUM DULCIS (ORANGE) OIL, HYDROLYZED COLLAGEN, CITRUS GRANDIS (GRAPEFRUIT) PEEL OIL, GLYCERIN, CITRUS MEDICA LIMONUM (LEMON) FRUIT EXTRACT, CITRUS UNSHIU PEEL EXTRACT, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL, PELARGONIUM GRAVEOLENS FLOWER OIL, OCIMUM BASILICUM (BASIL) OIL, ORCHID EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CAMELLIA JAPONICA LEAF EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL, SALVIA SCLAREA (CLARY) OIL, DISODIUM EDTA","Product's animal testing policies,Unknown"
innisfree,Innisfree Moisture-Volumizing Eye Serum with Lava Seawater (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
SEA WATER, BUTYLENE GLYCOL, GLYCERIN, SQUALANE, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE, WATER, PHENOXYETHANOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, XANTHAN GUM, POLYSORBATE 20, TROMETHAMINE, FRAGRANCE, PENTYLENE GLYCOL, ETHYLHEXYLGLYCERIN, ADENOSINE, DISODIUM EDTA, CAMELLIA JAPONICA LEAF EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CITRUS UNSHIU PEEL EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, ORCHID EXTRACT, ACHILLEA MILLEFOLIUM EXTRACT","Product's animal testing policies,Unknown"
innisfree,innisfree Fermented Soybean Bio Cellulose Mask Moisturizing (2017 formulation),05,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, ALCOHOL, 1,2-HEXANEDIOL, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, PEG-60 HYDROGENATED CASTOR OIL, CARBOMER, SILICA, FRAGRANCE, ETHYLHEXYLGLYCERIN, POTASSIUM HYDROXIDE, DISODIUM EDTA, PROPANEDIOL, SODIUM HYALURONATE, GLYCERIN, BACILLUS/SOYBEAN FERMENT EXTRACT, NELUMBO NUCIFERA FLOWER EXTRACT, PRUNUS MUME FRUIT EXTRACT, CITRIC ACID, LACTIC ACID","Product's animal testing policies,Unknown"
innisfree,Innisfree Daily Refining Serum with Green Barley (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, PROPANEDIOL, ALCOHOL, GLYCERIN, SODIUM LACTATE, ACHILLEA MILLEFOLIUM EXTRACT, GLYCOLIC ACID, LACTOBIONIC ACID, SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE, ORYZA SATIVA (RICE) EXTRACT, HORDEUM VULGARE SEED EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, CAMELLIA JAPONICA LEAF EXTRACT, CITRUS UNSHIU PEEL EXTRACT, ORCHID EXTRACT, BUTYLENE GLYCOL, PENTYLENE GLYCOL, GLYCERYL CAPRYLATE, ETHYLHEXYLGLYCERIN, XANTHAN GUM, DISTEARETH-100 IPDI, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, PEG-60 HYDROGENATED CASTOR OIL, DISODIUM EDTA, FRAGRANCE
Warnings from packaging:
Sunburn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin's sensitivity to the sun and particularly the possibility of sunburn. Use a sunscreen, wear protective clothing, and limit sun exposure while using this product and for a week afterwards.","Product's animal testing policies,Unknown"
innisfree,innisfree Fermented Soybean Bio Cellulose Mask Lifting (2017 formulation),05,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BUTYLENE GLYCOL, ALCOHOL, GLYCERETH-26, 1,2-HEXANEDIOL, DIETHOXYETHYL SUCCINATE, GLYCERYL POLYMETHACRYLATE, PEG-60 HYDROGENATED CASTOR OIL, DIPHENYLSILOXY PHENYL TRIMETHICONE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, CARBOMER, FRAGRANCE, ETHYLHEXYLGLYCERIN, POTASSIUM HYDROXIDE, DISODIUM EDTA, PROPANEDIOL, HYDROLYZED COLLAGEN, GLYCERIN, BACILLUS/SOYBEAN FERMENT EXTRACT, NELUMBO NUCIFERA FLOWER EXTRACT, PHENOXYETHANOL, PRUNUS MUME FRUIT EXTRACT, CITRIC ACID, LACTIC ACID","Product's animal testing policies,Unknown"
innisfree,Innisfree Moisture-Volumizing Rich Serum with Lava Seawater (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
SEA WATER, SQUALANE, BUTYLENE GLYCOL, GLYCERIN, METHYL GLUCETH-20, PCA DIMETHICONE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, HYDROXYPROPYL BISPALMITAMIDE MEA, PHENOXYETHANOL, SUCROSE, FRAGRANCE, XANTHAN GUM, HYDROGENATED LECITHIN, ZEA MAYS (CORN) STARCH, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, ADENOSINE, MICROCRYSTALLINE CELLULOSE, MANNITOL, WATER, CHOLESTERYL NONANOATE, CAMELLIA JAPONICA LEAF EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CITRUS UNSHIU PEEL EXTRACT, OPUNTIA COCCINELLIFERA FRUIT EXTRACT, ORCHID EXTRACT, STEARIC ACID, PEG-100","Product's animal testing policies,Unknown"
